Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alice Brown,Gordon Campbell,Will Hansma,Colin Mayes,Harry Naegel,Neville O'Grady,Darren Seymour,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Okanagan--Shuswap/Okanagan--Shuswap"," 111","Vernon",75,0,46,88,7,1,2,0,219,412
"Okanagan--Shuswap/Okanagan--Shuswap"," 112","Vernon",48,0,60,67,6,0,1,0,182,319
"Okanagan--Shuswap/Okanagan--Shuswap"," 113","Vernon",35,0,49,94,7,0,5,0,190,334
"Okanagan--Shuswap/Okanagan--Shuswap"," 114A","Vernon",35,2,31,95,1,0,3,1,168,308
"Okanagan--Shuswap/Okanagan--Shuswap"," 114B","Vernon",37,0,33,84,7,0,1,0,162,301
"Okanagan--Shuswap/Okanagan--Shuswap"," 115A","Vernon",29,1,35,56,2,1,2,0,126,222
"Okanagan--Shuswap/Okanagan--Shuswap"," 115B","Vernon",34,0,24,68,5,2,2,0,135,221
"Okanagan--Shuswap/Okanagan--Shuswap"," 116A","Vernon",33,0,30,43,8,1,0,1,116,250
"Okanagan--Shuswap/Okanagan--Shuswap"," 116B","Vernon",56,1,38,48,4,0,4,0,151,261
"Okanagan--Shuswap/Okanagan--Shuswap"," 117","Vernon",71,1,55,80,2,0,2,1,212,393
"Okanagan--Shuswap/Okanagan--Shuswap"," 118A","Vernon",62,1,45,108,4,1,4,0,225,413
"Okanagan--Shuswap/Okanagan--Shuswap"," 118B","Vernon",55,0,49,98,7,0,1,1,211,407
"Okanagan--Shuswap/Okanagan--Shuswap"," 119","Vernon",71,3,46,98,4,0,1,1,224,414
"Okanagan--Shuswap/Okanagan--Shuswap"," 120","Vernon",57,3,33,77,5,0,1,2,178,356
"Okanagan--Shuswap/Okanagan--Shuswap"," 121A","Vernon",35,2,27,52,9,0,1,0,126,247
"Okanagan--Shuswap/Okanagan--Shuswap"," 121B","Vernon",41,2,33,37,7,0,1,0,121,245
"Okanagan--Shuswap/Okanagan--Shuswap"," 122A","Vernon",73,1,39,82,13,3,1,0,212,457
"Okanagan--Shuswap/Okanagan--Shuswap"," 122B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,,13
"Okanagan--Shuswap/Okanagan--Shuswap"," 123","Vernon",51,1,36,57,10,0,2,0,157,356
"Okanagan--Shuswap/Okanagan--Shuswap"," 124A","Vernon",47,2,33,55,5,0,2,1,145,379
"Okanagan--Shuswap/Okanagan--Shuswap"," 124B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,,50
"Okanagan--Shuswap/Okanagan--Shuswap"," 125A","Vernon",33,1,24,43,5,1,0,0,107,253
"Okanagan--Shuswap/Okanagan--Shuswap"," 125B","Vernon",27,6,30,38,3,1,0,0,105,251
"Okanagan--Shuswap/Okanagan--Shuswap"," 126A","Vernon",39,0,24,35,5,0,2,0,105,281
"Okanagan--Shuswap/Okanagan--Shuswap"," 126B","Vernon",32,3,30,60,4,1,3,0,133,279
"Okanagan--Shuswap/Okanagan--Shuswap"," 127A","Vernon",36,0,18,41,8,0,0,0,103,263
"Okanagan--Shuswap/Okanagan--Shuswap"," 127B","Vernon",32,0,27,60,5,1,0,0,125,273
"Okanagan--Shuswap/Okanagan--Shuswap"," 128","Vernon",68,3,45,82,7,1,0,1,207,448
"Okanagan--Shuswap/Okanagan--Shuswap"," 129A","Vernon",37,1,22,60,2,1,2,0,125,345
"Okanagan--Shuswap/Okanagan--Shuswap"," 129B","Vernon",33,4,29,39,4,1,1,0,111,327
"Okanagan--Shuswap/Okanagan--Shuswap"," 130","Vernon",18,0,10,16,6,1,1,0,52,138
"Okanagan--Shuswap/Okanagan--Shuswap"," 131","Vernon",60,3,30,55,7,0,1,1,157,360
"Okanagan--Shuswap/Okanagan--Shuswap"," 132A","Vernon",45,1,20,25,12,0,0,1,104,269
"Okanagan--Shuswap/Okanagan--Shuswap"," 132B","Vernon",52,1,13,25,7,0,3,0,101,240
"Okanagan--Shuswap/Okanagan--Shuswap"," 133","Vernon",84,0,54,64,17,0,1,0,220,381
"Okanagan--Shuswap/Okanagan--Shuswap"," 134","Vernon",81,5,48,79,14,1,0,0,228,440
"Okanagan--Shuswap/Okanagan--Shuswap"," 135A","Vernon",44,2,44,44,8,0,0,1,143,274
"Okanagan--Shuswap/Okanagan--Shuswap"," 135B","Vernon",47,1,28,59,6,1,0,0,142,282
"Okanagan--Shuswap/Okanagan--Shuswap"," 136","Vernon",77,1,31,104,8,0,1,1,223,406
"Okanagan--Shuswap/Okanagan--Shuswap"," 137","Vernon",55,1,47,93,6,0,0,1,203,373
"Okanagan--Shuswap/Okanagan--Shuswap"," 138A","Vernon",32,0,19,52,7,0,2,0,112,253
"Okanagan--Shuswap/Okanagan--Shuswap"," 138B","Vernon",32,0,26,52,5,1,0,0,116,258
"Okanagan--Shuswap/Okanagan--Shuswap"," 139","Vernon",71,1,45,91,5,0,1,0,214,430
"Okanagan--Shuswap/Okanagan--Shuswap"," 140A","Vernon",40,0,36,57,7,1,0,1,142,255
"Okanagan--Shuswap/Okanagan--Shuswap"," 140B","Vernon",43,2,33,57,7,0,0,2,144,247
"Okanagan--Shuswap/Okanagan--Shuswap"," 141A","Vernon",43,0,28,63,5,0,2,0,141,238
"Okanagan--Shuswap/Okanagan--Shuswap"," 141B","Vernon",40,1,44,72,9,0,0,0,166,257
"Okanagan--Shuswap/Okanagan--Shuswap"," 142A","Vernon",48,1,37,58,8,0,3,0,155,342
"Okanagan--Shuswap/Okanagan--Shuswap"," 142B","Vernon",69,1,31,60,11,1,4,0,177,341
"Okanagan--Shuswap/Okanagan--Shuswap"," 143A","Vernon",45,0,25,50,3,0,2,0,125,260
"Okanagan--Shuswap/Okanagan--Shuswap"," 143B","Vernon",44,0,14,69,8,0,1,1,137,265
"Okanagan--Shuswap/Okanagan--Shuswap"," 144A","Vernon",35,1,32,69,8,0,0,0,145,281
