Province,Electoral District/Circonscription,Candidate/Candidat,Candidate Residence/Résidence du candidat,Candidate Occupation/Profession du candidat,Votes Obtained/Votes obtenus,Percentage of Votes Obtained /Pourcentage des votes obtenus,Majority/Majorité,Majority Percentage/Pourcentage de majorité
"Quebec/Québec","Louis-Saint-Laurent","Lucien Gravelle Green Party/Parti Vert","Québec, Que./Qc","Driver/Chauffeur",1468,2.96,,
"Quebec/Québec","Manicouagan","Gérard Asselin ** Bloc Québécois/Bloc Québécois","Baie-Comeau, Que./Qc","Parliamentarian/Parlementaire",18601,51.1,     11691,  32.1
"Quebec/Québec","Manicouagan","Pierre Paradis Conservative/Conservateur","Baie-Comeau, Que./Qc","Consultant/Consultant",6910,18.98,,
"Quebec/Québec","Manicouagan","Randy Jones Liberal/Libéral","Gros-Mécatina, Que./Qc","Captain/Capitaine",5214,14.32,,
"Quebec/Québec","Manicouagan","Pierre Ducasse N.D.P./N.P.D.","Sept-Îles, Que./Qc","Political Advisor/Conseiller politique",4657,12.79,,
"Quebec/Québec","Manicouagan","Jacques Gélineau Green Party/Parti Vert","Sept-Îles, Que./Qc","Building Technician/Technicien en bâtiment",824,2.26,,
"Quebec/Québec","Manicouagan","Eric Vivier Independent/Indépendant","La Romaine, Que./Qc","Psychoeducator/Psychoéducateur",195,.54,,
"Quebec/Québec","Marc-Aurèle-Fortin","Serge Ménard ** Bloc Québécois/Bloc Québécois","Saint-Lambert, Que./Qc","Lawyer/Avocat",27638,51,     16540,  30.5
"Quebec/Québec","Marc-Aurèle-Fortin","Claude Moreau Conservative/Conservateur","Lorraine, Que./Qc","Financial Advisor/Conseiller financier",11098,20.48,,
"Quebec/Québec","Marc-Aurèle-Fortin","Renée Gagné Liberal/Libéral","Sainte-Thérèse, Que./Qc","Development Officer/Agente de développement",8407,15.51,,
"Quebec/Québec","Marc-Aurèle-Fortin","Martin Duplantis N.D.P./N.P.D.","Montréal, Que./Qc","Student/Étudiant",4313,7.96,,
"Quebec/Québec","Marc-Aurèle-Fortin","Lise Bissonnette Green Party/Parti Vert","Boisbriand, Que./Qc","Self-employed Worker/Travailleuse autonome",2733,5.04,,
"Quebec/Québec","Mégantic--L'Érable","Christian Paradis Conservative/Conservateur","Thetford Mines, Que./Qc","Lawyer/Avocat",23550,49.85,      8140,  17.2
"Quebec/Québec","Mégantic--L'Érable","Marc Boulianne ** Bloc Québécois/Bloc Québécois","Thetford Mines, Que./Qc","Parliamentarian/Parlementaire",15410,32.62,,
"Quebec/Québec","Mégantic--L'Érable","Yvan Corriveau Liberal/Libéral","Thetford Mines, Que./Qc","Lawyer/Avocat",4912,10.4,,
"Quebec/Québec","Mégantic--L'Érable","Isabelle Tremblay N.D.P./N.P.D.","Gatineau, Que./Qc","Student/Étudiante",1836,3.89,,
"Quebec/Québec","Mégantic--L'Érable","Jean François Hamel Green Party/Parti Vert","Irlande, Que./Qc","Artistic Director/Directeur artistique",1534,3.25,,
"Quebec/Québec","Montcalm","Roger Gaudet ** Bloc Québécois/Bloc Québécois","Saint-Liguori, Que./Qc","Parliamentarian/Parlementaire",34975,62.28,     24157,  43.0
"Quebec/Québec","Montcalm","Michel Paulette Conservative/Conservateur","Mascouche, Que./Qc","Entrepreneur/Entrepreneur",10818,19.26,,
"Quebec/Québec","Montcalm","Luc Fortin Liberal/Libéral","Lachenaie, Que./Qc","Ph.D. Student/Étudiant universitaire (doctorat)",4645,8.27,,
"Quebec/Québec","Montcalm","Nancy Leclerc N.D.P./N.P.D.","Montréal, Que./Qc","College Teacher/Enseignante au collégial",3766,6.71,,
"Quebec/Québec","Montcalm","Wendy Gorchinsky Green Party/Parti Vert","Rawdon, Que./Qc","Environmental Entrepreneur/Entrepreneure environnementale",1954,3.48,,
"Quebec/Québec","Montmagny--L'Islet--Kamouraska--Rivière-du-Loup","Paul Crête ** Bloc Québécois/Bloc Québécois","La Pocatière, Que./Qc","Parliamentarian/Parlementaire",24117,52.44,     12588,  27.4
"Quebec/Québec","Montmagny--L'Islet--Kamouraska--Rivière-du-Loup","Daniel Nadeau Conservative/Conservateur","Sainte-Foy, Que./Qc","Engineer/Ingénieur",11529,25.07,,
"Quebec/Québec","Montmagny--L'Islet--Kamouraska--Rivière-du-Loup","Lise M. Vachon Liberal/Libéral","Montmagny, Que./Qc","Director, Service Centre/Directrice (centre de service)",6466,14.06,,
"Quebec/Québec","Montmagny--L'Islet--Kamouraska--Rivière-du-Loup","Myriam Leblanc N.D.P./N.P.D.","Rivière-du-Loup, Que./Qc","Student/Étudiante",2107,4.58,,
"Quebec/Québec","Montmagny--L'Islet--Kamouraska--Rivière-du-Loup","Serge Lemay Green Party/Parti Vert","Notre-Dame-du-Portage, Que./Qc","Development Officer/Agent de développement",1768,3.84,,
"Quebec/Québec","Montmorency--Charlevoix--Haute-Côte-Nord","Michel Guimond ** Bloc Québécois/Bloc Québécois","Boischatel, Que./Qc","Lawyer/Avocat",22169,49.11,      7610,  16.9
"Quebec/Québec","Montmorency--Charlevoix--Haute-Côte-Nord","Yves Laberge Conservative/Conservateur","Québec, Que./Qc","Sociologist/Consultant/Sociologue (consultant)",14559,32.25,,
"Quebec/Québec","Montmorency--Charlevoix--Haute-Côte-Nord","Robert Gauthier Liberal/Libéral","Saint-Irénée, Que./Qc","Retired/Retraité",3989,8.84,,
"Quebec/Québec","Montmorency--Charlevoix--Haute-Côte-Nord","Martin Cauchon N.D.P./N.P.D.","Québec, Que./Qc","Data Processing Manager/Directeur informatique",2896,6.42,,
"Quebec/Québec","Montmorency--Charlevoix--Haute-Côte-Nord","Yves Jourdain Green Party/Parti Vert","Baie-Sainte-Catherine, Que./Qc","Seaman/Marin",1527,3.38,,
"Quebec/Québec","Mount Royal/Mont-Royal","Irwin Cotler ** Liberal/Libéral","Côte-Saint-Luc, Que./Qc","Parliamentarian/Parlementaire",24248,65.55,     17627,  47.7
"Quebec/Québec","Mount Royal/Mont-Royal","Neil Martin Drabkin Conservative/Conservateur","Côte-Saint-Luc, Que./Qc","Lawyer/Avocat",6621,17.9,,
"Quebec/Québec","Mount Royal/Mont-Royal","Nicolas R. Thibodeau N.D.P./N.P.D.","Mont-Royal, Que./Qc","Student/Étudiant",2479,6.7,,
"Quebec/Québec","Mount Royal/Mont-Royal","Guillaume Dussault Bloc Québécois/Bloc Québécois","Montréal, Que./Qc","Programmer/Analyst/Programmeur-Analyste",2112,5.71,,
"Quebec/Québec","Mount Royal/Mont-Royal","Damien Pichereau Green Party/Parti Vert","Montréal, Que./Qc","Social Worker/Intervenant social",1423,3.85,,
"Quebec/Québec","Mount Royal/Mont-Royal","Diane Johnston Marxist-Leninist/Marxiste-Léniniste","Montréal, Que./Qc","Secretary/Secrétaire",106,.29,,
"Quebec/Québec","Notre-Dame-de-Grâce--Lachine","Marlene Jennings ** Liberal/Libéral","Montréal, Que./Qc","Parliamentarian/Parlementaire",20235,43.85,     10850,  23.5
"Quebec/Québec","Notre-Dame-de-Grâce--Lachine","Alexandre Lambert Bloc Québécois/Bloc Québécois","Montréal, Que./Qc","Student/Étudiant",9385,20.34,,
"Quebec/Québec","Notre-Dame-de-Grâce--Lachine","Allen F. Mackenzie Conservative/Conservateur","Montréal, Que./Qc","Agency Director/Directeur d'agence",8048,17.44,,
"Quebec/Québec","Notre-Dame-de-Grâce--Lachine","Peter Deslauriers N.D.P./N.P.D.","Montréal-Ouest, Que./Qc","Teacher/Enseignant",5455,11.82,,
"Quebec/Québec","Notre-Dame-de-Grâce--Lachine","Pierre-Albert Sévigny Green Party/Parti Vert","Montréal, Que./Qc","Journalist/Journaliste",2754,5.97,,
"Quebec/Québec","Notre-Dame-de-Grâce--Lachine","Earl Wertheimer Libertarian/Libertarien","Montréal-Ouest, Que./Qc","Computer Consultant/Consultant en informatique",152,.33,,
"Quebec/Québec","Notre-Dame-de-Grâce--Lachine","Rachel Hoffman Marxist-Leninist/Marxiste-Léniniste","Montréal, Que./Qc","Artistic Director/Directrice artistique",118,.26,,
"Quebec/Québec","Outremont","Jean-C. Lapierre ** Liberal/Libéral","Outremont, Que./Qc","Lawyer/Avocat",14282,35.18,      2504,   6.2
"Quebec/Québec","Outremont","Jacques Léonard Bloc Québécois/Bloc Québécois","Montréal, Que./Qc","Chartered Accountant/Comptable agréé",11778,29.01,,
"Quebec/Québec","Outremont","Léo-Paul Lauzon N.D.P./N.P.D.","Montréal, Que./Qc","Professor/Professeur",6984,17.2,,
"Quebec/Québec","Outremont","Daniel Fournier Conservative/Conservateur","Outremont, Que./Qc","Corporate Administrator/Administrateur d'entreprise",5168,12.73,,
"Quebec/Québec","Outremont","François Pilon Green Party/Parti Vert","Montréal, Que./Qc","Self-employed Worker/Travailleur autonome",1957,4.82,,
"Quebec/Québec","Outremont","Eric Roach Denis Independent/Indépendant","Montréal, Que./Qc","Filmmaker/Cinéaste",101,.25,,
"Quebec/Québec","Outremont","Philip Paynter PC Party/Parti PC","Montréal, Que./Qc","Student/Étudiant",94,.23,,
"Quebec/Québec","Outremont","Linda Sullivan Marxist-Leninist/Marxiste-Léniniste","Montréal, Que./Qc","Student/Étudiante",88,.22,,
"Quebec/Québec","Outremont","Yan Lacombe Independent/Indépendant","Montréal, Que./Qc","Door Attendant/Portier",85,.21,,
"Quebec/Québec","Outremont","Xavier Rochon Independent/Indépendant","Montréal, Que./Qc","Student/Étudiant",34,.08,,
"Quebec/Québec","Outremont","Régent Millette Independent/Indépendant","Laval, Que./Qc","Professor/Professeur",22,.05,,
"Quebec/Québec","Papineau","Vivian Barbot Bloc Québécois/Bloc Québécois","Montréal, Que./Qc","Retired/Retraitée",17775,40.75,       990,   2.3
"Quebec/Québec","Papineau","Pierre Pettigrew ** Liberal/Libéral","Montréal, Que./Qc","Parliamentarian/Parlementaire",16785,38.48,,
"Quebec/Québec","Papineau","Mustaque A. Sarker Conservative/Conservateur","Montréal, Que./Qc","Accountant/Business Consultant/Comptable-Conseiller en affaires",3630,8.32,,
"Quebec/Québec","Papineau","Marc Hasbani N.D.P./N.P.D.","Montréal, Que./Qc","Researcher/Chercheur",3358,7.7,,
"Quebec/Québec","Papineau","Louis-Philippe Verenka Green Party/Parti Vert","Montréal, Que./Qc","Transportation Agent/Agent interligne (transport)",1572,3.6,,
"Quebec/Québec","Papineau","Peter Macrisopoulos Marxist-Leninist/Marxiste-Léniniste","Montréal, Que./Qc","Painter/Peintre",317,.73,,
"Quebec/Québec","Papineau","Mahmood-Raza Baig Canadian Action/Action canadienne","Montréal, Que./Qc","Journalist/Consultant/Journaliste-Consultant",185,.42,,
"Quebec/Québec","Pierrefonds--Dollard","Bernard Patry ** Liberal/Libéral","L'Île-Bizard, Que./Qc","Medical Doctor/Médecin",24388,51.12,     13375,  28.0
"Quebec/Québec","Pierrefonds--Dollard","Don Rae Conservative/Conservateur","Pointe-Claire, Que./Qc","Engineer/Ingénieur",11013,23.08,,
"Quebec/Québec","Pierrefonds--Dollard","Denis Martel Bloc Québécois/Bloc Québécois","Montréal, Que./Qc","Clerk/Commis",5901,12.37,,
"Quebec/Québec","Pierrefonds--Dollard","Shameem Siddiqui N.D.P./N.P.D.","Dollard-des-Ormeaux, Que./Qc","Stock Room Person/Préposé à l'entrepôt",3664,7.68,,
"Quebec/Québec","Pierrefonds--Dollard","Leo Williams Green Party/Parti Vert","Saint-Laurent, Que./Qc","Project Manager/Gestionnaire de projet",2645,5.54,,
"Quebec/Québec","Pierrefonds--Dollard","Garnet Colly Marxist-Leninist/Marxiste-Léniniste","Montréal, Que./Qc","Flight Attendant/Agent de bord",96,.2,,
"Quebec/Québec","Pontiac","Lawrence Cannon Conservative/Conservateur","Gatineau, Que./Qc","Businessman/Homme d'affaires",16069,33.68,      2371,   5.0
"Quebec/Québec","Pontiac","Christine Émond Lapointe Bloc Québécois/Bloc Québécois","Cantley, Que./Qc","President, School Board/Présidente (commission scolaire)",13698,28.71,,
"Quebec/Québec","Pontiac","David Smith ** Liberal/Libéral","Chelsea, Que./Qc","Parliamentarian/Parlementaire",11561,24.23,,
"Quebec/Québec","Pontiac","Céline Brault N.D.P./N.P.D.","Chelsea, Que./Qc","Teacher/Enseignante",4759,9.98,,
"Quebec/Québec","Pontiac","Moe Garahan Green Party/Parti Vert","Chelsea, Que./Qc","Community Developer/Développement communautaire",1512,3.17,,
"Quebec/Québec","Pontiac","Benoit Legros Marxist-Leninist/Marxiste-Léniniste","Gatineau, Que./Qc","Student/Étudiant",107,.22,,
"Quebec/Québec","Portneuf--Jacques-Cartier","André Arthur Independent/Indépendant","Québec, Que./Qc","Journalist/Moderator/Journaliste-Animateur",20158,39.84,      7064,  14.0
"Quebec/Québec","Portneuf--Jacques-Cartier","Guy Côté ** Bloc Québécois/Bloc Québécois","Pont-Rouge, Que./Qc","Parliamentarian/Parlementaire",13094,25.88,,
"Quebec/Québec","Portneuf--Jacques-Cartier","Howard M. Bruce Conservative/Conservateur","Sainte-Foy, Que./Qc","Lawyer/Avocat",11472,22.67,,
"Quebec/Québec","Portneuf--Jacques-Cartier","Gilles Landry Liberal/Libéral","Fossambault-sur-le-Lac, Que./Qc","Retired/Retraité",2489,4.92,,
"Quebec/Québec","Portneuf--Jacques-Cartier","Jean-Marie Fiset N.D.P./N.P.D.","Québec, Que./Qc","Wardmaster/Préposé aux bénéficiaires",1956,3.87,,
"Quebec/Québec","Portneuf--Jacques-Cartier","Jérôme Beaulieu Green Party/Parti Vert","Sainte-Brigitte-de-Laval, Que./Qc","Biologist/Biologiste",1431,2.83,,
"Quebec/Québec","Québec","Christiane Gagnon ** Bloc Québécois/Bloc Québécois","Québec, Que./Qc","Real Estate Agent/Agente d'immeubles",20845,41.53,      5902,  11.8
"Quebec/Québec","Québec","Frédérik Boisvert Conservative/Conservateur","Québec, Que./Qc","Teaching Assistant/Auxiliaire d'enseignement",14943,29.77,,
"Quebec/Québec","Québec","Caroline Drolet Liberal/Libéral","Québec, Que./Qc","Lawyer/Avocate",5743,11.44,,
"Quebec/Québec","Québec","Michaël Lessard N.D.P./N.P.D.","Québec, Que./Qc","Community Coordinator/Coordonnateur communautaire",4629,9.22,,
"Quebec/Québec","Québec","Yonnel Bonaventure Green Party/Parti Vert","Québec, Que./Qc","Industrial Entrepreneur/Industriel",2372,4.73,,
"Quebec/Québec","Québec","Dan Aubut Independent/Indépendant","Québec, Que./Qc","Driving Instructor/Instructeur de conduite",813,1.62,,
"Quebec/Québec","Québec","Alexandre Raymond-Labrie PC Party/Parti PC","Québec, Que./Qc","Student/Étudiant",520,1.04,,
"Quebec/Québec","Québec","Francis Bedard Libertarian/Libertarien","Beauport, Que./Qc","Retired/Retraité",325,.65,,
"Quebec/Québec","Repentigny","Benoît Sauvageau ** Bloc Québécois/Bloc Québécois","Repentigny, Que./Qc","Parliamentarian/Parlementaire",34958,62.42,     24834,  44.3
"Quebec/Québec","Repentigny","Claude Jr Lafortune Conservative/Conservateur","Le Gardeur, Que./Qc","Student/Étudiant",10124,18.08,,
"Quebec/Québec","Repentigny","Josyanne Forest Liberal/Libéral","Saint-Jacques, Que./Qc","Technician, Sports Centre/Technicienne (centre sportif)",4847,8.65,,
"Quebec/Québec","Repentigny","Réjean Bellemare N.D.P./N.P.D.","Le Gardeur, Que./Qc","Economist/Économiste",4337,7.74,,
"Quebec/Québec","Repentigny","Adam Jastrzebski Green Party/Parti Vert","Rawdon, Que./Qc","Marketing Manager/Gérant de marketing",1742,3.11,,
"Quebec/Québec","Richmond--Arthabaska","André Bellavance ** Bloc Québécois/Bloc Québécois","Victoriaville, Que./Qc","Parliamentarian/Parlementaire",24466,47.89,      8001,  15.7
"Quebec/Québec","Richmond--Arthabaska","Jean Landry Conservative/Conservateur","Saint-Valère, Que./Qc","Photographer/Photographe",16465,32.23,,
"Quebec/Québec","Richmond--Arthabaska","Louis Napoléon Mercier Liberal/Libéral","Ham-Nord, Que./Qc","Civil Law Student/Étudiant en droit civil",5294,10.36,,
"Quebec/Québec","Richmond--Arthabaska","Isabelle Maguire N.D.P./N.P.D.","Sherbrooke, Que./Qc","Student/Étudiante",2507,4.91,,
"Quebec/Québec","Richmond--Arthabaska","Laurier Busque Green Party/Parti Vert","Canton Melbourne, Que./Qc","Professor (Retired)/Professeur retraité",2355,4.61,,
"Quebec/Québec","Rimouski-Neigette--Témiscouata--Les Basques","Louise Thibault ** Bloc Québécois/Bloc Québécois","Le Bic, Que./Qc","Parliamentarian/Parlementaire",19804,46.38,     10323,  24.2
"Quebec/Québec","Rimouski-Neigette--Témiscouata--Les Basques","Roger Picard Conservative/Conservateur","Saint-Eugène-de-Ladrière, Que./Qc","Representative/Représentant",9481,22.2,,
"Quebec/Québec","Rimouski-Neigette--Témiscouata--Les Basques","Michel Tremblay Liberal/Libéral","Rimouski, Que./Qc","Retired/Retraité",8254,19.33,,
"Quebec/Québec","Rimouski-Neigette--Témiscouata--Les Basques","Guy Caron N.D.P./N.P.D.","Gatineau, Que./Qc","Economist/Économiste",4186,9.8,,
"Quebec/Québec","Rimouski-Neigette--Témiscouata--Les Basques","François Bédard Green Party/Parti Vert","Vanier, Que./Qc","Environmental Entrepreneur/Entrepreneur environnemental",973,2.28,,
"Quebec/Québec","Rivière-des-Mille-Îles","Gilles-A. Perron ** Bloc Québécois/Bloc Québécois","Saint-Eustache, Que./Qc","Parliamentarian/Parlementaire",26272,53.9,     16099,  33.0
"Quebec/Québec","Rivière-des-Mille-Îles","Érick Gauthier Conservative/Conservateur","Saint-Eustache, Que./Qc","Director of Education/Directeur en éducation",10173,20.87,,
"Quebec/Québec","Rivière-des-Mille-Îles","Robert Frégeau Liberal/Libéral","Boisbriand, Que./Qc","Notary/Notaire",6239,12.8,,
"Quebec/Québec","Rivière-des-Mille-Îles","Francis Chartrand N.D.P./N.P.D.","Deux-Montagnes, Que./Qc","Grocery Clerk/Technical Advisor/Commis d'épicerie-Conseiller technique",3418,7.01,,
"Quebec/Québec","Rivière-des-Mille-Îles","Marie Martine Bédard Green Party/Parti Vert","Deux-Montagnes, Que./Qc","Analyst/Analyste",2643,5.42,,
"Quebec/Québec","Rivière-du-Nord","Monique Guay ** Bloc Québécois/Bloc Québécois","Prévost, Que./Qc","Parliamentarian/Parlementaire",27789,59.08,     18020,  38.3
"Quebec/Québec","Rivière-du-Nord","Pierre Albert Conservative/Conservateur","Laval, Que./Qc","Director/Directeur",9769,20.77,,
"Quebec/Québec","Rivière-du-Nord","Yannick Guénette Liberal/Libéral","Saint-Léonard, Que./Qc","Entrepreneur/Entrepreneur",4365,9.28,,
"Quebec/Québec","Rivière-du-Nord","Simon Bernier N.D.P./N.P.D.","Saint-Jérôme, Que./Qc","Assistant Technical Specialist/Spécialiste technique adjoint",3393,7.21,,
"Quebec/Québec","Rivière-du-Nord","Maude Genet Green Party/Parti Vert","Lachute, Que./Qc","Student/Étudiante",1722,3.66,,
"Quebec/Québec","Roberval--Lac-Saint-Jean","Michel Gauthier ** Bloc Québécois/Bloc Québécois","Roberval, Que./Qc","Parliamentarian/Parlementaire",17586,45.2,      3123,   8.0
"Quebec/Québec","Roberval--Lac-Saint-Jean","Ghislain Lavoie Conservative/Conservateur","Roberval, Que./Qc","Storekeeper/Commerçant",14463,37.18,,
"Quebec/Québec","Roberval--Lac-Saint-Jean","Luc Chiasson Liberal/Libéral","Chambord, Que./Qc","Student/Étudiant",3014,7.75,,
"Quebec/Québec","Roberval--Lac-Saint-Jean","François Privé N.D.P./N.P.D.","Alma, Que./Qc","Professor/Professeur",2151,5.53,,
"Quebec/Québec","Roberval--Lac-Saint-Jean","Sébastien Girard Green Party/Parti Vert","Saint-Félicien, Que./Qc","Student/Étudiant",1689,4.34,,
"Quebec/Québec","Rosemont--La Petite-Patrie","Bernard Bigras ** Bloc Québécois/Bloc Québécois","Montréal, Que./Qc","Parliamentarian/Parlementaire",29336,55.99,     21077,  40.2
"Quebec/Québec","Rosemont--La Petite-Patrie","Suzanne Harvey Liberal/Libéral","Montréal, Que./Qc","Manager/Gestionnaire",8259,15.76,,
"Quebec/Québec","Rosemont--La Petite-Patrie","Chantal Reeves N.D.P./N.P.D.","Montréal, Que./Qc","Telecommunications Clerk/Préposée aux télécommunications",6051,11.55,,
"Quebec/Québec","Rosemont--La Petite-Patrie","Michel Sauvé Conservative/Conservateur","Montréal, Que./Qc","Counsellor/Conseiller",4873,9.3,,
"Quebec/Québec","Rosemont--La Petite-Patrie","Marc-André Gadoury Green Party/Parti Vert","Montréal, Que./Qc","Public Health Researcher/Chercheur en santé publique",3457,6.6,,
"Quebec/Québec","Rosemont--La Petite-Patrie","Hugô St-Onge Marijuana Party/Parti Marijuana","Montréal, Que./Qc","Gardener/Jardinier",419,.8,,
"Quebec/Québec","Saint-Bruno--Saint-Hubert","Carole Lavallée ** Bloc Québécois/Bloc Québécois","Longueuil, Que./Qc","Communicator/Communicatrice",26509,50.29,     16058,  30.5
"Quebec/Québec","Saint-Bruno--Saint-Hubert","Nicolas Waldteufel Conservative/Conservateur","Brossard, Que./Qc","Business Operations Director/Directeur d'opération d'une entreprise",10451,19.83,,
"Quebec/Québec","Saint-Bruno--Saint-Hubert","Kerline Joseph Liberal/Libéral","Longueuil, Que./Qc","Counsel/Criminologist/Juriste-Criminologue",8643,16.4,,
"Quebec/Québec","Saint-Bruno--Saint-Hubert","Marie Henretta N.D.P./N.P.D.","Mont-Saint-Hilaire, Que./Qc","Teacher/Enseignante",4359,8.27,,
"Quebec/Québec","Saint-Bruno--Saint-Hubert","Elisabeth Papin Green Party/Parti Vert","Saint-Bruno, Que./Qc","Volunteer/Bénévole",2364,4.48,,
"Quebec/Québec","Saint-Bruno--Saint-Hubert","Jules Édouard Gaudet Independent/Indépendant","Saint-Hubert, Que./Qc","Lawyer/Avocat",387,.73,,
"Quebec/Québec","Saint-Hyacinthe--Bagot","Yvan Loubier ** Bloc Québécois/Bloc Québécois","Saint-Hyacinthe, Que./Qc","Economist/Économiste",27838,56.02,     15515,  31.2
"Quebec/Québec","Saint-Hyacinthe--Bagot","Huguette Guilhaumon Conservative/Conservateur","Montréal, Que./Qc","Public Affairs Advisor/Consultante en affaires publiques",12323,24.8,,
"Quebec/Québec","Saint-Hyacinthe--Bagot","Stéphane Deschênes Liberal/Libéral","Montréal, Que./Qc","Computer Consultant/Consultant en informatique",4884,9.83,,
"Quebec/Québec","Saint-Hyacinthe--Bagot","Joëlle Chevrier N.D.P./N.P.D.","Montréal, Que./Qc","Executive Secretary/Secrétaire de direction",2723,5.48,,
"Quebec/Québec","Saint-Hyacinthe--Bagot","Jacques Tétreault Green Party/Parti Vert","Saint-Dominique, Que./Qc","Teacher/Enseignant",1925,3.87,,
"Quebec/Québec","Saint-Jean","Claude Bachand ** Bloc Québécois/Bloc Québécois","Saint-Jean-sur-Richelieu, Que./Qc","Educator/Éducateur",28070,53.98,     16554,  31.8
"Quebec/Québec","Saint-Jean","Francis Lévesque Conservative/Conservateur","Longueuil, Que./Qc","Student/Étudiant",11516,22.14,,
"Quebec/Québec","Saint-Jean","Maro Akoury Liberal/Libéral","Montréal, Que./Qc","Consultant/Consultante",6426,12.36,,
"Quebec/Québec","Saint-Jean","Mathieu-Gilles Lanciault N.D.P./N.P.D.","Montréal, Que./Qc","Music Publishing Coordinator/Coordonnateur aux éditions musicales",3622,6.96,,
"Quebec/Québec","Saint-Jean","Véronique Bisaillon Green Party/Parti Vert","Saint-Jean-sur-Richelieu, Que./Qc","Student/Étudiante",2371,4.56,,
"Quebec/Québec","Saint-Lambert","Maka Kotto ** Bloc Québécois/Bloc Québécois","Montréal, Que./Qc","Parliamentarian/Parlementaire",20949,45.3,     10172,  22.0
"Quebec/Québec","Saint-Lambert","Jean-Jacques Hermans Liberal/Libéral","Varennes, Que./Qc","Manager/Gestionnaire",10777,23.31,,
"Quebec/Québec","Saint-Lambert","Patrick Clune Conservative/Conservateur","Saint-Lambert, Que./Qc","Businessman/Homme d'affaires",9097,19.67,,
"Quebec/Québec","Saint-Lambert","Ronaldo Garcia N.D.P./N.P.D.","Longueuil, Que./Qc","Teacher/Enseignant",3404,7.36,,
"Quebec/Québec","Saint-Lambert","Sonia Ziadé Green Party/Parti Vert","Brossard, Que./Qc","Building Manager/Gérante d'immeuble",1819,3.93,,
"Quebec/Québec","Saint-Lambert","Normand Fournier Marxist-Leninist/Marxiste-Léniniste","Rimouski, Que./Qc","Prospector/Prospecteur",196,.42,,
"Quebec/Québec","Saint-Laurent--Cartierville","Stéphane Dion ** Liberal/Libéral","Montréal, Que./Qc","Parliamentarian/Parlementaire",25412,59.85,     19220,  45.3
"Quebec/Québec","Saint-Laurent--Cartierville","William Fayad Bloc Québécois/Bloc Québécois","Montréal, Que./Qc","Teacher/Enseignant",6192,14.58,,
"Quebec/Québec","Saint-Laurent--Cartierville","Ishrat Alam Conservative/Conservateur","Pierrefonds, Que./Qc","Business Owner/Propriétaire d'entreprise",5590,13.17,,
"Quebec/Québec","Saint-Laurent--Cartierville","Liz Elder N.D.P./N.P.D.","Saint-Laurent, Que./Qc","Project Manager/Gestionnaire de projets",3279,7.72,,
"Quebec/Québec","Saint-Laurent--Cartierville","Gilles Mercier Green Party/Parti Vert","Montréal, Que./Qc","Inspector/Inspecteur",1810,4.26,,
"Quebec/Québec","Saint-Laurent--Cartierville","Fernand Deschamps Marxist-Leninist/Marxiste-Léniniste","Montréal, Que./Qc","Teacher/Enseignant",177,.42,,
"Quebec/Québec","Saint-Léonard--Saint-Michel","Massimo Pacetti ** Liberal/Libéral","Saint-Léonard, Que./Qc","Parliamentarian/Parlementaire",23705,57.17,     15933,  38.4
"Quebec/Québec","Saint-Léonard--Saint-Michel","Justine Charlemagne Bloc Québécois/Bloc Québécois","Montréal, Que./Qc","Periodicals Publisher /Éditrice de périodique",7772,18.74,,
"Quebec/Québec","Saint-Léonard--Saint-Michel","Ercolano Pingiotti Conservative/Conservateur","Saint-Léonard, Que./Qc","Businessman/Homme d'affaires",5975,14.41,,
"Quebec/Québec","Saint-Léonard--Saint-Michel","Laura Colella N.D.P./N.P.D.","Saint-Léonard, Que./Qc","Lawyer/Avocate",2831,6.83,,
"Quebec/Québec","Saint-Léonard--Saint-Michel","Pierre-Louis Parant Green Party/Parti Vert","Verdun, Que./Qc","Designer/Designer",961,2.32,,
"Quebec/Québec","Saint-Léonard--Saint-Michel","Stéphane Chénier Marxist-Leninist/Marxiste-Léniniste","Montréal, Que./Qc","Social Work Technician/Technicien en travail social",219,.53,,
"Quebec/Québec","Saint-Maurice--Champlain","Jean-Yves Laforest Bloc Québécois/Bloc Québécois","Shawinigan-Sud, Que./Qc","Physical Educator/Éducateur physique",21532,44.34,      5504,  11.3
"Quebec/Québec","Saint-Maurice--Champlain","Martial Toupin Conservative/Conservateur","Saint-Maurice, Que./Qc","Farmer/Agriculteur",16028,33.01,,
"Quebec/Québec","Saint-Maurice--Champlain","Lucille Whissell Liberal/Libéral","Trois-Rivières, Que./Qc","Store Manager/Gérante de commerce",5612,11.56,,
"Quebec/Québec","Saint-Maurice--Champlain","Claude Larocque N.D.P./N.P.D.","Shawinigan, Que./Qc","Engineer/Ingénieur",3684,7.59,,
"Quebec/Québec","Saint-Maurice--Champlain","Pierre Audette Green Party/Parti Vert","Clova, Que./Qc","Self-employed Worker/Travailleur autonome",1705,3.51,,
"Quebec/Québec","Shefford","Robert Vincent ** Bloc Québécois/Bloc Québécois","Granby, Que./Qc","Parliamentarian/Parlementaire",22159,43.09,      9425,  18.3
"Quebec/Québec","Shefford","Jean Lambert Conservative/Conservateur","Bromont, Que./Qc","Public Relations Officer/Relationniste",12734,24.76,,
"Quebec/Québec","Shefford","Diane St-Jacques Liberal/Libéral","Granby, Que./Qc","Tourism Development Commissioner/Commissaire (développement touristique)",12043,23.42,,
