Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Yvan Côté,Sarah Desjardins,Rodrigue Drapeau,Kim Leclerc,Stéphane Ricard,Jean-Yves Roy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 151","Saint-Gabriel",2,10,101,17,13,133,2,278,439
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 152","Saint-Gabriel",2,0,30,17,2,62,2,115,205
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 153","Saint-Gabriel",3,1,36,25,9,65,3,142,278
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 154","Saint-François-Xavier-des-Hauteurs",4,4,52,16,9,87,1,173,282
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 155","Saint-François-Xavier-des-Hauteurs",2,1,33,10,5,42,1,94,158
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 156","Saint-Charles-Garnier",1,0,30,6,2,97,0,136,240
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 157","Sainte-Angèle-de-Mérici",4,8,62,14,22,113,2,225,398
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 158","Sainte-Angèle-de-Mérici",0,1,38,13,3,67,0,122,228
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 159","Sainte-Angèle-de-Mérici",1,2,32,16,2,59,1,113,204
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 160","Sainte-Jeanne-d'Arc",2,7,30,13,4,85,3,144,238
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 161","La Rédemption",1,1,55,30,7,88,0,182,376
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 162","Amqui",4,6,88,10,11,77,0,196,380
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 163","Amqui",6,11,64,9,17,114,1,222,410
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 164","Amqui",1,2,54,4,4,80,2,147,296
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 165","Amqui",2,6,64,4,7,59,0,142,309
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 166","Amqui",2,4,52,8,11,76,1,154,329
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 167","Amqui",1,2,38,9,8,54,0,112,264
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 168","Amqui",3,6,92,13,9,65,0,188,358
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 169","Amqui",6,3,47,11,12,60,2,141,342
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 170","Amqui",1,6,64,9,7,97,2,186,315
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 171","Amqui",6,11,61,22,13,76,1,190,381
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 172","Amqui",15,12,79,19,14,85,2,226,436
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 173","Amqui",2,5,57,28,7,56,0,155,298
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 174","Amqui",4,5,60,12,13,68,4,166,331
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 175","Amqui",5,3,50,18,12,72,3,163,337
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 176","Amqui",8,5,47,8,12,72,1,153,318
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 177","Saint-Léon-le-Grand",0,1,35,19,4,37,1,97,193
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 178","Saint-Léon-le-Grand",1,3,41,11,8,55,1,120,224
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 179","Saint-Zénon-du-Lac-Humqui",6,6,73,17,13,72,1,188,316
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 180","Saint-Léon-le-Grand",1,1,87,36,16,99,3,243,416
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 500","Mobile poll/Bureau itinérant",5,0,20,27,2,12,2,68,104
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 501","Mobile poll/Bureau itinérant",1,1,14,7,0,7,1,31,102
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 502","Mobile poll/Bureau itinérant",2,2,9,17,2,13,1,46,112
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 503","Mobile poll/Bureau itinérant",1,1,6,6,1,13,3,31,78
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 504","Mobile poll/Bureau itinérant",2,1,24,34,1,11,1,74,174
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 505A","Mobile poll/Bureau itinérant",1,1,17,18,2,13,5,57,83
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 505B","Mobile poll/Bureau itinérant",2,0,12,10,2,8,2,36,124
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 506","Mobile poll/Bureau itinérant",4,3,22,29,4,16,3,81,112
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 600","Sainte-Luce",1,7,62,29,13,110,2,224,
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 601","Mont-Joli",10,12,189,135,41,326,11,724,
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 602","Price",2,4,34,26,10,72,2,150,
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 603","Saint-Ulric",1,2,22,16,9,49,2,101,
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 604","Matane",18,7,124,76,16,221,3,465,
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 605","Matane",6,4,87,46,8,149,3,303,
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 606","Les Méchins",1,1,32,21,6,89,1,151,
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 607","Cap-Chat",2,4,63,57,2,109,2,239,
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 608","Sainte-Anne-des-Monts",7,8,105,52,18,121,0,311,
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 609","Sainte-Anne-des-Monts",1,0,43,37,6,97,5,189,
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 610","Saint-Maxime-du-Mont-Louis",0,1,14,13,6,41,0,75,
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 611","Causapscal",4,2,67,57,18,107,1,256,
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 612","Sayabec",4,3,57,42,5,112,4,227,
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 613","Amqui",4,5,119,81,32,253,5,499,
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia",,Group 1/Groupe 1,1,6,29,22,7,31,1,97,253
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia",,Group 2/Groupe 2,13,11,87,129,36,322,14,612,
