Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bill Casey,N. Bruce Farrell,Gary Richard,Margaret Sagar,Rick Simpson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 177","Upper Stewiacke",114,4,43,52,3,1,217,311
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 178","Meadowvale",54,4,21,17,0,0,96,173
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 179","Middle Stewiacke",125,5,74,44,2,1,251,391
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 180","Brookfield",98,1,67,57,3,0,226,437
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 181","Brookfield",135,5,48,42,0,1,231,346
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 182","Brookfield",73,3,34,15,0,0,125,236
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 183","Brookfield",126,3,61,40,1,0,231,390
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 184","Fort Ellis",73,5,42,22,1,2,145,237
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 185","Stewiacke East",39,2,28,22,0,1,92,188
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 186","Wittenburg",75,1,13,45,1,0,135,223
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 187","Shubenacadie East",72,4,35,52,0,1,164,348
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 188","Shubenacadie East",67,6,59,52,1,1,186,321
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 189","Stewiacke",80,1,38,36,1,4,160,307
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 190","Stewiacke",66,4,34,46,0,1,151,307
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 191","Stewiacke",38,2,30,18,0,0,88,181
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 192","Stewiacke",130,4,55,57,2,0,248,465
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 193","Dean",60,1,23,35,0,0,119,218
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 194","Upper Musquodoboit",47,2,18,35,1,0,103,189
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 195","Upper Musquodoboit",91,3,35,57,0,0,186,332
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 196","Middle Musquodoboit",65,2,34,29,0,3,133,276
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 197","Middle Musquodoboit",46,0,16,34,0,1,97,232
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 198","Middle Musquodoboit",55,2,32,18,2,0,109,211
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 199","Chaswood",87,2,29,34,0,0,152,263
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 200","Cooks Brook",72,9,64,65,1,1,212,312
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 201","Elderbank",62,4,28,30,0,0,124,191
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 202","Meaghers Grant",61,1,40,83,1,1,187,276
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 203","Porters Lake",Void/Supprimé,,,,,,,
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 204","Dutch Settlement",46,2,52,52,1,0,153,287
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 205","Carrolls Corner",65,3,48,51,2,0,169,282
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 206","Dutch Settlement",42,4,52,45,2,0,145,284
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 207","Lantz",63,4,71,59,1,0,198,348
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 208","Goffs",61,9,62,101,1,0,234,414
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 209","Fletchers Lake",24,1,10,23,0,0,58,120
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 500","Mobile poll/Bureau itinérant",62,1,20,2,1,4,90,168
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 501","Mobile poll/Bureau itinérant",62,7,40,20,1,3,133,329
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 600","Maccan",197,5,61,31,3,0,297,
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 601","Amherst",376,11,154,42,8,2,593,
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 602","Oxford",115,2,37,6,5,1,166,
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 603","Springhill",206,7,82,41,9,4,349,
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 604","Pugwash",126,5,40,19,1,2,193,
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 605","Tatamagouche",129,6,63,33,1,0,232,
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 606","Parrsboro",109,1,42,11,1,1,165,
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 607","Bass River",80,0,34,18,0,0,132,
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 608","Onslow",228,2,101,61,2,1,395,
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 609","Lower Truro",106,2,33,21,1,0,163,
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 610","Truro",446,13,237,119,3,5,823,
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 611","Bible Hill",233,4,125,58,1,1,422,
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 612","Stewiacke",153,4,90,55,0,0,302,
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 613","Middle Musquodoboit",55,3,42,38,0,0,138,
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 614","Dutch Settlement",46,1,30,23,0,1,101,
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley",,Group 1/Groupe 1,96,5,56,16,2,6,181,484
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley",,Group 2/Groupe 2,820,24,332,176,7,22,1381,
