Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marie-Josée Carbonneau,Charles Lavergne,Marc Lemay,Christine Moore,Patrick Rancourt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 223","Témiscaming",44,63,39,17,8,2,173,375
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 224","Témiscaming",21,56,32,34,3,2,148,328
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 225","Témiscaming",31,70,38,13,4,1,157,334
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 226","Témiscaming",50,68,29,26,6,3,182,362
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 227","Témiscaming",31,27,57,25,4,0,144,289
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 228","Tee Lake",40,62,34,21,6,0,163,310
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 229","Kipawa",9,133,9,19,2,0,172,284
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 230","Laniel",15,9,17,2,0,1,44,67
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 500","Mobile poll/Bureau itinérant",15,20,22,1,4,2,64,131
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 501","Mobile poll/Bureau itinérant",28,56,37,4,4,2,131,167
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 502","Mobile poll/Bureau itinérant",16,19,14,2,0,1,52,91
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 503","Mobile poll/Bureau itinérant",12,10,20,2,0,0,44,72
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 600","Normétal",12,8,30,1,2,2,55,
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 601","La Sarre",172,94,265,42,11,6,590,
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 602","Macamic",42,53,60,7,5,2,169,
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 603","Duparquet",8,15,31,6,2,0,62,
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 604","D'Alembert",7,4,40,4,3,0,58,
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 605","Amos",25,13,85,6,1,2,132,
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 606","Amos",189,129,363,38,8,5,732,
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 607","Rochebaucourt",20,11,57,1,0,2,91,
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 608","Évain",51,36,119,11,3,1,221,
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 609","Rouyn-Noranda",107,132,204,36,9,2,490,
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 610","Rouyn-Noranda",128,154,273,31,8,10,604,
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 611","Rouyn-Noranda",98,77,205,15,11,3,409,
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 612","Notre-Dame-du-Nord",17,18,17,4,0,0,56,
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 613","Latulipe",4,2,20,3,1,0,30,
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 614","Ville-Marie",72,75,158,20,7,2,334,
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 615","Témiscaming",45,115,50,20,5,1,236,
"Abitibi--Témiscamingue/Abitibi--Témiscamingue",,Group 1/Groupe 1,49,34,45,8,5,6,147,308
"Abitibi--Témiscamingue/Abitibi--Témiscamingue",,Group 2/Groupe 2,270,420,1133,93,25,31,1972,
