Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bob Mann,Wayne Marston,Jo Pavlov,Frank Rukavina,Tony Valeri,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 602","Hamilton ",3,144,12,59,58,5,281,
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 603","Hamilton ",1,252,23,174,186,2,638,
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 604","Hamilton ",2,134,6,198,235,4,579,
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 605","Hamilton ",3,98,9,87,119,0,316,
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 606","Hamilton ",2,86,4,105,131,1,329,
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 607","Stoney Creek",2,219,23,343,361,3,951,
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 608","Stoney Creek",1,112,13,217,209,3,555,
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 609","Stoney Creek",1,112,20,348,302,6,789,
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek",,Group 1/Groupe 1,1,20,4,24,40,7,96,188
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek",,Group 2/Groupe 2,4,292,27,322,455,8,1108,
