Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Martin Cauchon,Robert Gauthier,Michel Guimond,Yves Jourdain,Yves Laberge,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 153","L'Ange-Gardien",26,15,121,14,117,2,295,506
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 154","Saint-Jean-de-Boischatel",22,18,99,5,95,15,254,455
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 155","Saint-Jean-de-Boischatel",31,22,136,18,113,3,323,512
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 156","Saint-Jean-de-Boischatel",24,7,109,12,82,3,237,419
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 157A","Saint-Jean-de-Boischatel",26,10,133,8,92,0,269,427
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 157B","Saint-Jean-de-Boischatel",31,6,103,6,126,3,275,442
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 158","Saint-Jean-de-Boischatel",20,13,122,7,104,3,269,472
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 159","Saint-Jean-de-Boischatel",27,11,116,10,84,3,251,402
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 160","Saint-Jean-de-Boischatel",14,23,103,6,90,3,239,375
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 161","Saint-Jean-de-Boischatel",27,10,95,15,101,7,255,404
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 162","Beauport",15,11,122,9,124,10,291,483
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 163","Beauport",Void/Supprimé,,,,,,,
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 164","Beauport",25,5,130,19,126,2,307,548
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 165A","Beauport",16,4,82,5,94,1,202,317
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 165B","Beauport",11,2,70,2,106,0,191,305
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 166","Beauport",22,7,111,4,107,6,257,433
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 167","Beauport",38,12,107,8,82,5,252,401
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 168","Beauport",22,17,73,7,83,2,204,374
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 169","Beauport",15,15,83,5,88,2,208,371
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 170","Beauport",19,7,81,15,64,3,189,429
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 171","Beauport",13,16,84,10,79,1,203,394
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 172","Beauport",6,5,86,8,73,3,181,373
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 173","Beauport",14,11,73,12,44,3,157,396
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 174","Beauport",6,10,66,6,73,3,164,360
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 175","Beauport",14,13,86,5,59,1,178,352
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 176","Beauport",5,11,59,6,67,1,149,303
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 177","Beauport",9,6,52,0,35,1,103,249
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 178","Beauport",5,4,73,3,38,0,123,289
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 179","Beauport",10,6,60,3,60,3,142,300
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 180","Beauport",13,15,61,8,76,4,177,310
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 181A","Beauport",8,5,26,0,19,2,60,127
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 181B","Mobile poll/Bureau itinérant",Merged with No. 504/Fusionné avec le nº 504,,,,,,,379
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 182","Beauport",5,7,81,2,53,1,149,305
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 183","Beauport",1,8,62,3,53,3,130,228
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 184","Beauport",15,11,59,5,57,3,150,355
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 185A","Beauport",11,8,69,3,64,1,156,298
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 185B","Beauport",16,5,52,5,84,0,162,307
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 186","Beauport",30,11,114,6,92,1,254,454
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 187","Beauport",22,9,110,8,117,3,269,497
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 188","Beauport",32,9,123,9,119,2,294,511
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 189","Beauport",32,13,164,15,121,5,350,569
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 190","Beauport",16,14,85,12,70,0,197,382
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 191","Beauport",12,11,45,6,67,2,143,319
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 192","Beauport",11,11,42,3,81,0,148,299
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 193","Beauport",19,15,68,5,75,1,183,367
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 194","Beauport",10,7,70,9,80,4,180,533
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 195","Beauport",13,9,76,2,86,1,187,320
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 196","Beauport",15,27,67,5,71,1,186,365
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 197","Beauport",21,14,96,9,59,1,200,366
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 198","Beauport",12,15,62,11,97,0,197,336
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 199","Beauport",19,18,62,11,68,0,178,293
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 200","Beauport",12,4,39,5,33,2,95,200
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 201","Beauport",16,28,89,3,72,1,209,455
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 500A","Mobile poll/Bureau itinérant",3,18,16,0,3,2,42,124
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 500B","Mobile poll/Bureau itinérant",5,19,24,2,13,1,64,50
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 501","Mobile poll/Bureau itinérant",6,25,27,0,15,1,74,129
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 502","Mobile poll/Bureau itinérant",2,30,31,1,12,3,79,201
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 503","Mobile poll/Bureau itinérant",4,23,40,2,19,5,93,163
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 504","Mobile poll/Bureau itinérant",4,24,43,3,18,4,96,48
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 600","Forestville",19,26,222,8,50,5,330,
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 601","Les Escoumins",8,17,117,3,50,0,195,
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 602","Saint-Siméon",6,19,62,2,27,2,118,
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 603","Clermont",15,22,108,2,36,1,184,
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 604","La Malbaie",16,62,236,14,93,6,427,
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 605","L'Île-aux-Coudres",2,11,31,2,25,0,71,
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 606","Baie-Saint-Paul--Les Éboulements",42,90,394,17,178,4,725,
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 607","Lac-Jacques-Cartier--Sainte-Anne-de-Beaupré",30,92,193,6,150,1,472,
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 608","Beaupré",29,65,254,11,134,1,494,
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 609","St. Laurent",25,44,161,8,97,0,335,
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 610","L'Ange-Gardien",26,36,205,10,178,7,462,
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 611","Beauport",43,62,334,15,266,6,726,
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 612","Beauport",21,51,187,8,179,3,449,
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 613","Beauport",18,47,122,9,89,5,290,
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord",,Group 1/Groupe 1,4,13,42,0,43,7,109,262
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord",,Group 2/Groupe 2,37,162,388,9,131,12,739,
