Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Andrew House,Martin MacKinnon,Alexa McDonough,Tony Seed,Nick Wright,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Halifax/Halifax"," 62","Halifax",5,7,42,0,1,0,55,83
"Halifax/Halifax"," 63A","Halifax",13,43,119,1,11,0,187,319
"Halifax/Halifax"," 63B","Halifax",15,55,74,0,1,0,145,230
"Halifax/Halifax"," 64","Halifax",18,45,82,2,11,0,158,367
"Halifax/Halifax"," 65","Halifax",4,44,143,4,11,0,206,346
"Halifax/Halifax"," 66","Halifax",14,51,147,2,17,0,231,423
"Halifax/Halifax"," 67","Halifax",21,62,160,0,17,0,260,444
"Halifax/Halifax"," 68A","Halifax",17,54,101,2,12,0,186,364
"Halifax/Halifax"," 68B","Halifax",9,21,16,0,0,2,48,148
"Halifax/Halifax"," 69A","Halifax",15,50,97,1,8,1,172,361
"Halifax/Halifax"," 69B","Halifax",20,54,95,1,15,1,186,304
"Halifax/Halifax"," 70A","Halifax",23,62,137,0,13,0,235,385
"Halifax/Halifax"," 70B","Halifax",23,60,149,5,9,1,247,429
"Halifax/Halifax"," 71A","Halifax",13,49,107,2,8,2,181,318
"Halifax/Halifax"," 71B","Halifax",17,59,98,1,2,1,178,286
"Halifax/Halifax"," 72A","Halifax",20,47,107,0,14,1,189,256
"Halifax/Halifax"," 72B","Halifax",42,42,119,1,16,2,222,322
"Halifax/Halifax"," 73A","Halifax",36,60,93,0,5,0,194,293
"Halifax/Halifax"," 73B","Halifax",21,44,85,0,8,0,158,243
"Halifax/Halifax"," 74","Halifax",74,96,85,0,9,1,265,376
"Halifax/Halifax"," 75","Halifax",21,79,66,0,9,0,175,278
"Halifax/Halifax"," 76","Halifax",52,98,126,1,6,0,283,423
"Halifax/Halifax"," 77","Halifax",26,100,102,1,8,6,243,441
"Halifax/Halifax"," 78","Halifax",43,98,58,0,4,0,203,309
"Halifax/Halifax"," 79A","Halifax",36,57,53,0,6,2,154,251
