Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Siobhan Coady,Barry Crozier,Loyola Hearn,Peg Norman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 83","Mount Pearl",74,2,116,54,0,246,411
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 84","Mount Pearl",66,1,86,44,0,197,395
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 85A","Mount Pearl",61,0,69,19,1,150,254
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 85B","Mount Pearl",49,0,67,30,0,146,259
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 86A","Mount Pearl",83,1,129,66,0,279,577
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 86B","Mobile poll/Bureau itinérant",Merged with No. 95B/Fusionné avec le nº 95B,,,,,,19
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 87","Mount Pearl",67,0,56,35,0,158,298
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 88","Mount Pearl",50,0,54,24,3,131,290
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 89A","Mount Pearl",110,0,116,14,2,242,385
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 89B","Mobile poll/Bureau itinérant",Merged with No. 95B/Fusionné avec le nº 95B,,,,,,9
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 90","Mount Pearl",89,0,111,52,1,253,422
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 91","Mount Pearl",47,3,91,48,0,189,318
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 92","Mount Pearl",53,1,76,33,1,164,296
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 93","Mount Pearl",52,1,81,25,0,159,292
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 94","Mount Pearl",49,0,82,30,0,161,274
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 95A","Mount Pearl",74,1,89,53,0,217,368
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 95B","Mobile poll/Bureau itinérant",52,2,53,9,9,125,34
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 96","Mount Pearl",63,0,115,34,0,212,349
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 97","Mount Pearl",60,0,82,40,2,184,352
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 98","Mount Pearl",64,0,77,31,0,172,312
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 99","Mount Pearl",59,0,86,43,0,188,380
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 100","Mount Pearl",42,0,59,29,0,130,243
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 101","Mount Pearl",79,0,112,80,0,271,449
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 102","Mount Pearl",59,1,88,40,2,190,312
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 103","Mount Pearl",45,2,70,37,0,154,269
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 104","Mount Pearl",50,2,64,34,1,151,327
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 105","Mount Pearl",41,2,62,46,0,151,305
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 106","Mount Pearl",75,2,92,38,0,207,385
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 107","Mount Pearl",80,1,87,48,0,216,362
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 108","Mount Pearl",94,1,79,51,0,225,414
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 109","Mount Pearl",50,3,93,53,0,199,351
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 110","Mount Pearl",64,3,69,22,1,159,290
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 111","Mount Pearl",78,0,94,37,0,209,358
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 112","Mount Pearl",56,2,92,29,0,179,297
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 113","Mount Pearl",82,1,101,34,0,218,377
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 114","Mount Pearl",72,2,94,51,0,219,362
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 115","Mount Pearl",72,3,75,39,0,189,307
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 116","Mount Pearl",71,3,95,50,2,221,418
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 117","Mount Pearl",91,0,117,57,0,265,445
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 118A","Mount Pearl",48,0,75,47,1,171,267
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 118B","Mount Pearl",67,0,56,41,0,164,250
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 119","Mount Pearl",74,4,106,58,0,242,386
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 120A","Mount Pearl",68,0,48,31,0,147,262
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 120B","Mount Pearl",37,0,53,33,0,123,238
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 121","Mount Pearl",46,0,77,29,1,153,272
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 122","St. John's",56,1,59,39,1,156,304
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 123","St. John's",47,2,77,34,0,160,260
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 124","Mount Pearl",78,0,78,49,2,207,395
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 125","Mount Pearl",70,4,120,67,0,261,474
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 126A","Mount Pearl",60,0,74,38,0,172,269
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 126B","Mount Pearl",58,1,63,43,0,165,258
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 127A","Mount Pearl",67,1,93,29,0,190,276
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 127B","Mount Pearl",62,0,91,25,0,178,265
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 128A","Mount Pearl",50,3,96,28,0,177,270
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 128B","Mount Pearl",55,1,70,35,0,161,250
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 129A","Mount Pearl",69,1,111,17,0,198,315
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 129B","Mount Pearl",67,1,100,26,0,194,302
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 130","Mount Pearl",93,2,103,35,1,234,391
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 131","Mount Pearl",83,2,89,28,0,202,309
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 132","Mount Pearl",80,0,154,61,0,295,462
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 133","St. John's",38,0,124,19,0,181,363
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 134","St. John's",57,3,120,33,0,213,447
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 135","St. John's",35,0,87,25,4,151,326
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 136","St. John's",43,0,95,21,0,159,287
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 137","St. John's",91,2,107,84,0,284,435
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 138","St. John's",64,1,81,32,0,178,285
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 139A","St. John's",63,2,82,22,0,169,256
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 139B","St. John's",57,1,67,35,0,160,253
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 140A","St. John's",53,3,86,44,0,186,330
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 140B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,90
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 141A","St. John's",51,0,88,22,0,161,275
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 141B","St. John's",59,1,70,22,0,152,272
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 142A","St. John's",40,3,64,47,0,154,266
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 142B","St. John's",54,0,59,34,0,147,275
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 143","St. John's",55,2,88,44,0,189,431
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 144","St. John's",61,0,108,32,0,201,306
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 145","St. John's",55,1,91,39,0,186,344
