Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bill Brooks,Angel Claypool,Patrick Meyer,Vicki Lee Sloan,Mark Warawa,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Langley/Langley"," 35","Langley",31,29,5,0,72,0,137,227
"Langley/Langley"," 36A","Langley",64,35,8,0,129,0,236,337
"Langley/Langley"," 36B","Langley",70,21,9,1,130,0,231,330
"Langley/Langley"," 37","Langley",43,37,10,1,121,0,212,302
"Langley/Langley"," 38","Langley",75,42,5,0,155,0,277,513
"Langley/Langley"," 38-1A","Langley",40,30,7,1,56,0,134,190
"Langley/Langley"," 38-1B","Langley",22,17,2,0,27,0,68,107
"Langley/Langley"," 39","Langley",72,75,23,2,195,0,367,560
"Langley/Langley"," 40","Langley",83,45,25,0,162,1,316,510
"Langley/Langley"," 41A","Langley",56,42,7,2,117,0,224,372
"Langley/Langley"," 41B","Langley",56,35,9,1,93,1,195,366
"Langley/Langley"," 42","Langley",41,59,11,1,125,0,237,395
"Langley/Langley"," 43A","Langley",67,36,5,1,97,0,206,322
"Langley/Langley"," 43B","Langley",58,43,2,0,99,0,202,329
"Langley/Langley"," 44","Langley",38,28,18,0,86,0,170,280
"Langley/Langley"," 45A","Langley",66,57,20,4,135,0,282,472
"Langley/Langley"," 45B","Langley",63,37,18,0,150,0,268,433
"Langley/Langley"," 46","Langley",66,60,8,0,170,1,305,466
"Langley/Langley"," 47","Langley",82,41,12,3,158,0,296,501
"Langley/Langley"," 48","Langley",83,36,12,0,172,0,303,528
"Langley/Langley"," 49","Langley",49,33,3,0,111,0,196,305
"Langley/Langley"," 50","Langley",43,41,4,0,119,0,207,292
"Langley/Langley"," 51","Langley",89,43,9,0,171,0,312,463
"Langley/Langley"," 52","Langley",98,40,15,1,156,1,311,464
"Langley/Langley"," 53","Langley",88,45,14,0,154,1,302,479
"Langley/Langley"," 54","Langley",36,52,16,0,93,1,198,351
"Langley/Langley"," 55","Langley",59,36,7,1,101,0,204,341
"Langley/Langley"," 56","Langley",33,53,17,2,71,0,176,274
"Langley/Langley"," 57","Langley",48,27,11,1,125,0,212,391
"Langley/Langley"," 58","Langley",71,56,17,2,153,2,301,460
"Langley/Langley"," 59","Langley",61,60,12,1,133,3,270,439
"Langley/Langley"," 60A","Langley",76,60,9,1,157,1,304,575
"Langley/Langley"," 60B","Langley",87,63,12,1,173,0,336,596
"Langley/Langley"," 60C","Langley",88,63,19,1,179,0,350,611
"Langley/Langley"," 61","Langley",29,36,5,0,160,0,230,360
"Langley/Langley"," 62","Langley",22,26,3,1,70,0,122,183
"Langley/Langley"," 63","Langley",27,15,4,0,76,0,122,177
"Langley/Langley"," 64","Langley",61,29,17,1,197,0,305,506
"Langley/Langley"," 65","Langley",39,33,27,1,208,0,308,599
"Langley/Langley"," 66","Langley",49,44,12,2,165,0,272,423
"Langley/Langley"," 67","Langley",50,47,18,0,171,1,287,442
"Langley/Langley"," 68","Langley",33,53,23,1,158,2,270,366
"Langley/Langley"," 69","Langley",45,30,11,1,117,1,205,286
"Langley/Langley"," 70","Langley",68,49,17,2,217,1,354,505
"Langley/Langley"," 71","Langley",39,62,16,3,145,0,265,401
"Langley/Langley"," 72","Langley",51,23,4,0,90,0,168,238
"Langley/Langley"," 73","Langley",65,45,29,0,139,0,278,442
"Langley/Langley"," 74","Langley",77,40,25,0,156,0,298,490
"Langley/Langley"," 75","Langley",62,39,9,1,115,0,226,370
"Langley/Langley"," 76","Langley",40,35,11,0,108,0,194,261
"Langley/Langley"," 77","Langley",88,69,17,1,153,0,328,509
"Langley/Langley"," 78","Langley",66,56,10,1,113,0,246,543
"Langley/Langley"," 79A","Langley",34,32,7,0,69,0,142,300
"Langley/Langley"," 79B","Langley",29,31,16,2,67,0,145,312
"Langley/Langley"," 80A","Langley",64,52,15,1,100,0,232,394
"Langley/Langley"," 80B","Langley",68,33,8,2,117,0,228,389
"Langley/Langley"," 81","Langley",19,19,8,1,33,0,80,233
"Langley/Langley"," 82","Langley",50,43,15,2,83,0,193,435
"Langley/Langley"," 83","Langley",66,41,5,0,106,0,218,389
"Langley/Langley"," 84","Langley",15,11,6,0,24,0,56,143
"Langley/Langley"," 85A","Langley",32,33,7,1,86,1,160,277
"Langley/Langley"," 85B","Langley",26,33,4,2,70,0,135,183
"Langley/Langley"," 86","Langley",63,44,13,1,141,0,262,422
"Langley/Langley"," 87","Langley",59,29,11,0,129,1,229,363
"Langley/Langley"," 88","Langley",70,57,7,0,128,0,262,449
"Langley/Langley"," 89","Langley",33,43,7,1,86,0,170,299
"Langley/Langley"," 90","Langley",75,62,16,0,114,0,267,484
"Langley/Langley"," 91","Langley",70,66,20,0,103,0,259,578
"Langley/Langley"," 92A","Langley",58,39,3,0,65,0,165,319
"Langley/Langley"," 92B","Langley",40,36,9,0,68,2,155,321
"Langley/Langley"," 93","Langley",47,42,19,0,77,2,187,415
"Langley/Langley"," 94","Langley",72,61,19,1,112,0,265,521
"Langley/Langley"," 95","Langley",48,49,21,0,112,0,230,466
"Langley/Langley"," 96A","Langley",28,31,2,0,42,0,103,190
"Langley/Langley"," 96B","Langley",37,39,3,0,45,0,124,196
"Langley/Langley"," 97","Langley",62,60,6,0,84,0,212,385
"Langley/Langley"," 98","Langley",33,62,17,0,84,0,196,411
"Langley/Langley"," 99","Langley",63,66,11,0,106,1,247,390
"Langley/Langley"," 100","Langley",63,52,8,0,105,1,229,346
"Langley/Langley"," 101","Langley",64,61,5,2,129,0,261,509
"Langley/Langley"," 102","Langley",33,50,12,2,84,0,181,428
"Langley/Langley"," 103","Langley",41,32,15,0,71,1,160,271
"Langley/Langley"," 104","Langley",30,45,8,0,84,0,167,280
"Langley/Langley"," 105","Langley",54,31,12,2,138,2,239,374
