Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peter Deslauriers,Rachel Hoffman,Marlene Jennings,Alexandre Lambert,Allen F. Mackenzie,Pierre-Albert Sévigny,Earl Wertheimer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 178","Montréal",29,1,138,9,34,8,1,7,227,441
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 179","Montréal",54,0,80,30,15,17,0,0,196,283
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 180","Montréal",29,0,93,34,39,20,1,1,217,342
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 181","Montréal",42,2,108,49,27,26,1,1,256,422
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 182","Montréal",16,0,87,11,18,15,0,0,147,350
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 183","Montréal",59,0,72,18,26,16,0,0,191,393
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 184","Montréal",73,1,92,31,28,35,0,0,260,475
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 185","Montréal",36,1,84,10,21,9,0,1,162,383
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 186A","Montréal",20,0,84,17,15,14,1,0,151,433
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 186B","Mobile poll/Bureau itinérant",Merged with No. 501B/Fusionné avec le nº 501B,,,,,,,,,15
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 187","Montréal",17,0,55,12,29,10,0,0,123,296
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 188","Montréal",35,1,125,19,44,15,2,2,243,611
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 189","Montréal",17,0,109,10,21,13,0,2,172,375
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 190","Montréal",17,4,98,17,33,12,0,3,184,549
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 400","Montréal",15,0,76,4,24,11,0,0,130,332
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 401","Montréal",23,3,106,8,22,8,1,0,171,395
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 500A","Mobile poll/Bureau itinérant",5,1,65,6,9,0,2,1,89,43
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 500B","Mobile poll/Bureau itinérant",6,2,42,21,10,2,2,4,89,86
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 500C","Mobile poll/Bureau itinérant",6,0,71,10,18,4,0,0,109,44
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 500D","Mobile poll/Bureau itinérant",2,0,50,10,12,1,0,2,77,3
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 501A","Mobile poll/Bureau itinérant",6,5,50,0,12,0,2,0,75,93
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 501B","Mobile poll/Bureau itinérant",6,1,67,2,15,1,2,5,99,88
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 600","Pointe-Claire--Dorval",54,0,409,45,186,36,2,3,735,
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 601","Dorval--Lachine",91,0,427,158,204,43,1,2,926,
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 602","Lachine",33,4,242,133,132,11,2,10,567,
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 603","Lachine",33,1,216,224,105,16,0,10,605,
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 604","Lachine--Montréal",10,1,111,86,43,12,2,6,271,
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 605","Montréal-Ouest--Montréal",69,1,333,30,130,42,2,3,610,
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 606","Montréal",48,0,334,33,94,29,3,3,544,
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 607","Montréal",57,0,317,34,99,25,1,2,535,
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine",,Group 1/Groupe 1,16,2,56,18,25,5,0,7,129,211
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine",,Group 2/Groupe 2,97,0,585,169,162,37,1,23,1074,
