Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ted Alexander,Chris Marquis,Garry Moore,David Tilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Dufferin--Caledon/Dufferin--Caledon"," 161","Caledon",16,25,74,87,3,205,367
"Dufferin--Caledon/Dufferin--Caledon"," 162","Caledon",28,25,56,85,2,196,389
"Dufferin--Caledon/Dufferin--Caledon"," 163","Caledon",14,29,121,73,1,238,446
"Dufferin--Caledon/Dufferin--Caledon"," 164","Caledon",12,30,112,103,0,257,478
"Dufferin--Caledon/Dufferin--Caledon"," 165","Caledon",15,28,120,102,2,267,496
"Dufferin--Caledon/Dufferin--Caledon"," 166A","Caledon",11,24,64,46,1,146,274
"Dufferin--Caledon/Dufferin--Caledon"," 166B","Caledon",5,19,77,39,0,140,274
"Dufferin--Caledon/Dufferin--Caledon"," 167","Caledon",3,14,81,63,1,162,352
"Dufferin--Caledon/Dufferin--Caledon"," 168A","Caledon",6,18,66,63,0,153,301
"Dufferin--Caledon/Dufferin--Caledon"," 168B","Caledon",12,27,57,57,0,153,287
"Dufferin--Caledon/Dufferin--Caledon"," 169","Caledon",10,17,34,61,3,125,287
"Dufferin--Caledon/Dufferin--Caledon"," 170","Caledon",10,26,93,61,1,191,381
"Dufferin--Caledon/Dufferin--Caledon"," 171A","Caledon",12,23,67,52,1,155,322
"Dufferin--Caledon/Dufferin--Caledon"," 171B","Caledon",9,23,62,65,0,159,348
"Dufferin--Caledon/Dufferin--Caledon"," 500","Mobile poll/Bureau itinérant",4,11,29,37,0,81,111
"Dufferin--Caledon/Dufferin--Caledon"," 501","Mobile poll/Bureau itinérant",0,3,15,16,0,34,120
"Dufferin--Caledon/Dufferin--Caledon"," 600","Shelburne",76,57,199,379,1,712,
"Dufferin--Caledon/Dufferin--Caledon"," 601","Grand Valley",36,25,81,178,0,320,
"Dufferin--Caledon/Dufferin--Caledon"," 602","Mono",64,31,126,310,1,532,
"Dufferin--Caledon/Dufferin--Caledon"," 603","Orangeville",59,58,169,364,0,650,
"Dufferin--Caledon/Dufferin--Caledon"," 604","Orangeville",49,81,136,422,1,689,
"Dufferin--Caledon/Dufferin--Caledon"," 605","Caledon Village",51,32,158,310,1,552,
"Dufferin--Caledon/Dufferin--Caledon"," 606","Inglewood",40,36,174,324,0,574,
"Dufferin--Caledon/Dufferin--Caledon"," 607","Caledon East",83,53,296,481,5,918,
"Dufferin--Caledon/Dufferin--Caledon"," 608","Bolton",43,32,175,340,0,590,
"Dufferin--Caledon/Dufferin--Caledon"," 609","Bolton",38,37,247,347,0,669,
"Dufferin--Caledon/Dufferin--Caledon",,Group 1/Groupe 1,15,3,15,23,3,59,124
"Dufferin--Caledon/Dufferin--Caledon",,Group 2/Groupe 2,121,116,390,674,20,1321,
