Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stéphane Bourgon,Meili Faille,Marc Garneau,Bert Markgraf,Pierre Pariseau-Legault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 139A","Saint-Lazare",41,84,43,14,6,2,190,287
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 139B","Saint-Lazare",49,107,48,20,10,3,237,340
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 140A","Saint-Lazare",40,98,45,10,7,0,200,291
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 140B","Saint-Lazare",37,86,40,12,9,2,186,282
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 141","Saint-Lazare",64,85,87,17,15,4,272,416
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 142A","Saint-Lazare",64,52,124,17,14,0,271,430
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 142B","Saint-Lazare",79,56,124,24,16,0,299,449
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 143","Saint-Lazare",47,14,120,4,5,0,190,297
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 144","Saint-Lazare",70,14,169,12,10,0,275,431
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 145A","Saint-Lazare",47,7,61,11,9,1,136,247
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 145B","Saint-Lazare",30,6,96,14,7,0,153,245
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 146A","Saint-Lazare",47,31,94,16,7,2,197,315
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 146B","Saint-Lazare",43,30,71,14,12,2,172,288
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 147","Saint-Lazare",62,56,129,19,15,3,284,425
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 148","Saint-Lazare",48,85,129,19,14,1,296,465
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 149","Saint-Lazare",63,107,78,21,12,4,285,446
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 150","Saint-Lazare",38,80,47,10,4,4,183,312
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 151","Saint-Lazare",38,80,51,13,5,0,187,315
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 152","Saint-Lazare",39,110,40,3,5,0,197,377
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 153A","Saint-Lazare",39,81,57,17,6,1,201,315
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 153B","Saint-Lazare",57,78,54,13,13,2,217,333
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 154","Saint-Lazare",42,131,98,17,4,2,294,466
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 155","Saint-Lazare",56,64,100,17,7,0,244,380
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 156A","Saint-Lazare",55,78,84,16,9,1,243,380
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 156B","Saint-Lazare",68,75,92,21,8,1,265,402
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 157A","Saint-Clet",29,118,37,3,5,0,192,266
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 157B","Saint-Clet",34,111,29,4,8,6,192,275
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 158","Saint-Clet",60,160,43,14,7,2,286,393
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 159","Saint-Clet",26,123,23,12,7,0,191,302
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 160","Coteau-du-Lac",25,49,19,1,1,1,96,164
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 161A","Coteau-du-Lac",31,83,23,8,2,2,149,274
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 161B","Coteau-du-Lac",44,107,33,15,5,3,207,328
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 162","Coteau-du-Lac",18,113,24,10,6,1,172,274
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 163","Coteau-du-Lac",18,67,18,5,4,2,114,156
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 164A","Coteau-du-Lac",47,113,24,9,10,4,207,290
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 164B","Coteau-du-Lac",40,145,21,15,7,3,231,339
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 165","Coteau-du-Lac",38,101,28,13,7,1,188,316
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 166","Coteau-du-Lac",32,145,36,11,2,2,228,358
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 167","Coteau-du-Lac",50,143,33,9,4,1,240,379
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 168A","Coteau-du-Lac",25,93,25,12,6,3,164,237
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 168B","Coteau-du-Lac",29,123,27,6,1,3,189,261
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 169","Coteau-du-Lac",43,152,31,8,11,1,246,463
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 170","Coteau-du-Lac",38,143,37,12,7,2,239,429
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 171","Coteau-du-Lac",82,158,53,19,7,2,321,483
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 172A","Les Coteaux",27,110,28,6,3,1,175,269
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 172B","Les Coteaux",36,150,33,8,4,4,235,368
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 173A","Les Coteaux",34,118,38,10,8,3,211,298
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 173B","Les Coteaux",35,118,29,20,8,2,212,332
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 174A","Les Coteaux",24,137,31,6,3,5,206,329
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 174B","Les Coteaux",36,139,25,5,8,3,216,363
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 175A","Les Coteaux",29,81,20,9,3,1,143,236
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 175B","Les Coteaux",33,132,22,11,5,4,207,323
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 176","Les Coteaux",37,93,30,11,3,5,179,305
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 177A","Très-Saint-Rédempteur",17,85,36,4,10,1,153,264
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 177B","Très-Saint-Rédempteur",29,92,35,7,8,4,175,285
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 178","Sainte-Marthe",26,28,41,5,11,0,111,178
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 179A","Sainte-Marthe",35,100,57,11,14,2,219,343
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 179B","Sainte-Marthe",36,103,65,14,7,4,229,334
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 180","Sainte-Justine-de-Newton",46,125,39,15,9,3,237,349
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 181","Sainte-Justine-de-Newton",52,106,35,12,14,4,223,354
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 182","Saint-Télesphore",21,79,38,9,6,1,154,287
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 183","Saint-Polycarpe",32,184,30,20,7,6,279,440
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 184","Saint-Polycarpe",61,146,35,18,9,7,276,434
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 185","Saint-Polycarpe",39,127,40,11,3,5,225,351
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 186","Saint-Télesphore",46,110,47,10,10,1,224,368
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 187","Rivière-Beaudette",38,105,53,22,15,2,235,388
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 188","Rivière-Beaudette",44,149,37,28,9,5,272,437
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 189A","Saint-Zotique",35,63,16,10,1,4,129,217
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 189B","Saint-Zotique",45,86,28,7,7,1,174,302
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 190A","Saint-Zotique",32,80,20,1,4,1,138,239
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 190B","Saint-Zotique",23,86,13,6,4,5,137,256
