Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chris Axworthy,Don Cameron,Jim Maddin,Dale Sanders,Maurice Vellacott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 400","Saskatoon",30,1,4,1,46,0,82,105
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 401","Saskatoon",63,5,13,3,105,1,190,221
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 500","Mobile poll/Bureau itinérant",8,1,4,1,39,2,55,132
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 501","Mobile poll/Bureau itinérant",35,4,9,1,55,2,106,194
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 502","Mobile poll/Bureau itinérant",63,2,49,2,47,0,163,189
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 503","Mobile poll/Bureau itinérant",62,1,46,0,78,0,187,132
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 504","Mobile poll/Bureau itinérant",53,4,51,2,47,0,157,201
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 505","Mobile poll/Bureau itinérant",65,5,57,2,53,3,185,260
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 506","Mobile poll/Bureau itinérant",70,2,49,3,51,0,175,244
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 600","Blaine Lake",33,1,31,2,110,0,177,
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 601","Hafford",14,1,12,2,111,0,140,
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 602","Martensville",74,5,74,2,418,0,573,
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 603","Rosthern",37,6,23,4,105,0,175,
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 604","Saskatoon",253,20,117,1,399,1,791,
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 605","Saskatoon",114,9,96,3,171,0,393,
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 606","Saskatoon",170,16,151,0,203,0,540,
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 607","Saskatoon",284,30,130,1,364,1,810,
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin",,Group 1/Groupe 1,22,2,15,0,31,2,72,116
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin",,Group 2/Groupe 2,242,28,158,2,538,9,977,
