Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Saul Andersen,Robin Baird,Bruce Burnett,Ariel Lade,Fred Mallach,David Mulroney,Denise Savoie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Victoria/Victoria"," 166","Victoria",0,52,0,32,0,74,123,2,283,445
"Victoria/Victoria"," 167","Victoria",0,33,0,36,0,69,115,0,253,397
"Victoria/Victoria"," 168","Victoria",1,66,2,22,1,82,99,2,275,452
"Victoria/Victoria"," 169","Victoria",1,37,0,28,0,76,93,0,235,398
"Victoria/Victoria"," 170","Victoria",2,39,1,29,1,74,104,1,251,433
"Victoria/Victoria"," 171","Victoria",1,58,2,30,1,76,159,0,327,495
"Victoria/Victoria"," 172","Victoria",0,37,0,25,0,57,157,1,277,455
"Victoria/Victoria"," 173","Victoria",1,45,0,21,3,61,99,0,230,336
"Victoria/Victoria"," 174A","Victoria",2,28,0,15,1,38,82,0,166,295
"Victoria/Victoria"," 174B","Mobile poll/Bureau itinérant",2,28,0,15,1,38,82,0,166,10
"Victoria/Victoria"," 174C","Mobile poll/Bureau itinérant",Merged with No. 24B/Fusionné avec le nº 24B,,,,,,,,,13
"Victoria/Victoria"," 175","Victoria",0,41,0,20,0,47,92,1,201,292
"Victoria/Victoria"," 176","Victoria",2,21,1,15,0,46,65,0,150,231
"Victoria/Victoria"," 177","Victoria",1,41,2,26,7,68,93,0,238,414
"Victoria/Victoria"," 178","Victoria",0,38,0,17,0,44,57,1,157,273
"Victoria/Victoria"," 179","Victoria",1,61,0,18,1,110,98,2,291,450
"Victoria/Victoria"," 180","Victoria",2,76,0,23,1,65,126,0,293,458
"Victoria/Victoria"," 181","Victoria",0,48,0,27,2,78,159,1,315,462
"Victoria/Victoria"," 182","Victoria",1,62,2,12,1,101,120,1,300,464
"Victoria/Victoria"," 183A","Victoria",0,29,0,17,1,35,67,0,149,302
"Victoria/Victoria"," 183B","Mobile poll/Bureau itinérant",Merged with No. 134B/Fusionné avec le nº 134B,,,,,,,,,24
"Victoria/Victoria"," 184","Victoria",0,37,0,11,1,48,44,0,141,236
"Victoria/Victoria"," 185A","Victoria",0,46,1,12,1,41,59,0,160,250
"Victoria/Victoria"," 185B","Mobile poll/Bureau itinérant",Merged with No. 24B/Fusionné avec le nº 24B,,,,,,,,,16
"Victoria/Victoria"," 186A","Victoria",1,59,0,22,0,55,102,1,240,376
"Victoria/Victoria"," 186B","Mobile poll/Bureau itinérant",Merged with No. 218B/Fusionné avec le nº 218B,,,,,,,,,5
"Victoria/Victoria"," 187","Victoria",2,46,1,15,0,88,103,0,255,403
"Victoria/Victoria"," 188","Victoria",1,107,2,7,0,79,60,0,256,439
"Victoria/Victoria"," 189","Victoria",0,62,1,12,1,45,63,0,184,259
"Victoria/Victoria"," 190","Victoria",2,73,3,20,2,89,102,1,292,428
"Victoria/Victoria"," 191A","Victoria",0,40,0,20,1,39,88,0,188,324
"Victoria/Victoria"," 191B","Victoria",0,31,0,13,0,31,78,0,153,233
"Victoria/Victoria"," 192","Victoria",0,50,1,35,2,73,134,0,295,432
"Victoria/Victoria"," 193A","Victoria",0,88,1,21,0,89,66,0,265,368
"Victoria/Victoria"," 193B","Mobile poll/Bureau itinérant",Merged with No. 134B/Fusionné avec le nº 134B,,,,,,,,,21
"Victoria/Victoria"," 194","Victoria",0,60,0,27,1,60,128,0,276,381
"Victoria/Victoria"," 195","Victoria",2,54,0,27,0,60,131,0,274,387
"Victoria/Victoria"," 196","Victoria",0,50,0,21,2,66,151,0,290,389
"Victoria/Victoria"," 197","Victoria",1,35,0,16,2,68,118,0,240,334
"Victoria/Victoria"," 198","Victoria",0,23,0,20,1,64,113,1,222,367
"Victoria/Victoria"," 199","Victoria",0,27,1,17,1,51,104,0,201,325
"Victoria/Victoria"," 200","Victoria",2,49,0,25,1,67,149,0,293,422
"Victoria/Victoria"," 201","Victoria",0,44,1,27,2,70,122,0,266,415
"Victoria/Victoria"," 202","Victoria",0,40,0,15,1,80,126,0,262,387
"Victoria/Victoria"," 203","Oak Bay",0,71,3,23,1,97,102,0,297,510
"Victoria/Victoria"," 204","Oak Bay",0,67,0,8,0,68,72,2,217,361
"Victoria/Victoria"," 205","Oak Bay",0,104,1,16,0,118,89,1,329,495
"Victoria/Victoria"," 206","Oak Bay",0,73,0,6,0,82,36,1,198,373
"Victoria/Victoria"," 207","Oak Bay",0,105,2,17,1,78,85,1,289,454
"Victoria/Victoria"," 208","Oak Bay",2,64,0,16,0,65,100,0,247,375
"Victoria/Victoria"," 209","Oak Bay",0,72,0,16,0,62,62,1,213,322
"Victoria/Victoria"," 210","Oak Bay",0,75,0,11,0,78,65,0,229,321
"Victoria/Victoria"," 211","Oak Bay",0,81,0,18,0,127,142,4,372,494
"Victoria/Victoria"," 212","Oak Bay",1,48,0,13,0,48,55,1,166,239
"Victoria/Victoria"," 213","Oak Bay",1,79,0,15,1,77,67,1,241,410
"Victoria/Victoria"," 214","Oak Bay",0,88,0,19,0,99,62,0,268,409
"Victoria/Victoria"," 215","Oak Bay",1,125,0,16,0,99,76,0,317,501
"Victoria/Victoria"," 216","Oak Bay",0,96,0,24,1,69,106,0,296,413
"Victoria/Victoria"," 217","Oak Bay",0,62,0,26,0,89,90,0,267,358
"Victoria/Victoria"," 218A","Oak Bay",0,128,0,16,0,107,72,1,324,480
"Victoria/Victoria"," 218B","Mobile poll/Bureau itinérant",Merged with No. 174B/Fusionné avec le nº 174B,,,,,,,,,18
