Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lewis Dahlby,Scott Froom,Jon Kingsbury,James Moore,Mary Woo Sims,Greg Watrich,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 501","Mobile poll/Bureau itinérant",0,3,14,17,18,0,4,56,138
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 600","Port Moody",2,15,204,401,103,42,1,768,
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 601","Coquitlam",3,8,96,173,72,23,1,376,
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 602","Coquitlam",3,24,234,291,104,32,2,690,
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 603","Coquitlam",2,8,184,313,45,43,0,595,
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 604","Coquitlam",0,6,26,66,33,5,0,136,
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 605","Port Coquitlam",3,12,121,228,132,27,3,526,
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 606","Port Coquitlam",3,12,120,239,94,28,0,496,
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 607","Port Coquitlam",1,10,98,160,90,17,0,376,
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 608","Port Coquitlam",3,11,138,299,101,25,2,579,
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 609","Port Moody--Coquitlam",0,6,59,92,65,15,0,237,
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam",,Group 1/Groupe 1,0,4,33,22,11,0,9,79,129
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam",,Group 2/Groupe 2,6,13,139,286,100,26,3,573,
