Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jerry Ackerman,Jeffrey Bogaerts,Helen Forsey,Mike Nickerson,Ernest Rathwell,Scott Reid,Geoff Turner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 188","Greater Napanee",1,2,40,9,5,118,74,3,252,411
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 189","Greater Napanee",0,3,21,7,1,68,60,0,160,284
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 190","Greater Napanee",0,3,52,13,2,129,79,0,278,566
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 191","Greater Napanee",4,5,51,14,2,143,114,2,335,521
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 192A","Greater Napanee",1,2,25,11,1,55,43,0,138,189
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 192B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,,,,51
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 193","Greater Napanee",0,1,41,20,1,120,81,0,264,430
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 194","Greater Napanee",0,6,71,18,3,141,104,2,345,576
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 195","Greater Napanee",0,5,25,15,2,86,56,2,191,270
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 196","Greater Napanee",0,0,29,10,0,69,57,0,165,248
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 197","Greater Napanee",5,5,47,12,1,100,87,4,261,425
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 198","Ernestown",0,1,12,5,1,41,24,0,84,120
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 199","Ernestown",3,4,42,12,3,100,70,1,235,413
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 200","Ernestown",7,8,58,14,2,102,70,0,261,462
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 201","Ernestown",2,5,60,21,1,80,89,2,260,464
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 202","Ernestown",1,2,48,6,0,54,69,0,180,343
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 203","Ernestown",6,3,40,5,2,77,65,2,200,364
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 204","Ernestown",4,2,60,10,2,61,53,1,193,396
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 205","Ernestown",1,3,14,11,0,47,25,0,101,200
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 206","Ernestown",1,2,32,3,0,51,47,0,136,230
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 207","Ernestown",0,2,33,5,1,68,35,0,144,263
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 208","Bath",5,5,76,13,1,171,155,3,429,759
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 209","Bath",5,5,79,15,1,67,105,0,277,474
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 210","Bath",3,2,36,3,2,52,69,0,167,283
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 211","Bath",4,2,44,16,0,60,74,1,201,335
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 212","Ernestown",1,2,32,24,1,95,95,1,251,389
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 213","Ernestown",0,3,37,4,2,48,54,0,148,308
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 214A","Amherstview",1,3,34,6,0,35,38,0,117,244
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 214B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,,,140
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 215","Amherstview",1,3,38,6,2,61,83,0,194,335
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 216","Amherstview",0,6,91,8,3,122,116,0,346,601
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 217","Amherstview",0,7,31,11,0,55,92,0,196,299
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 218","Amherstview",1,3,36,10,2,74,80,1,207,369
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 219","Amherstview",1,3,43,1,1,52,74,0,175,315
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 220","Amherstview",1,3,45,4,0,18,35,1,107,280
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 221","Amherstview",2,2,46,10,1,64,67,1,193,361
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 222","Amherstview",0,0,49,10,0,43,79,1,182,319
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 223","Amherstview",0,1,28,2,3,13,31,0,78,243
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 224","Amherstview",0,1,30,4,1,41,74,0,151,266
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 225","Amherstview",1,5,65,8,0,68,91,1,239,404
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 226","Amherstview",0,12,73,14,6,104,68,0,277,525
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 227","Amherst Island",3,3,46,26,3,93,90,0,264,344
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 500","Mobile poll/Bureau itinérant",5,8,5,2,1,66,34,2,123,194
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 501","Mobile poll/Bureau itinérant",0,0,7,4,4,90,44,2,151,274
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 502","Mobile poll/Bureau itinérant",2,4,16,6,0,27,47,6,108,68
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 503","Mobile poll/Bureau itinérant",2,6,6,5,1,45,39,8,112,143
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 504","Mobile poll/Bureau itinérant",0,1,8,0,1,52,22,2,86,147
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 600","Carleton Place",0,9,65,37,5,786,141,8,1051,
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 601","Beckwith",1,3,38,27,4,547,102,2,724,
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 602","Smiths Falls",1,8,58,23,10,679,144,7,930,
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 603","Perth",0,3,24,9,0,284,42,0,362,
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 604","Lanark",0,5,46,36,2,510,72,0,671,
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 605","Perth",5,3,106,65,5,899,222,3,1308,
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 606","Cloyne",4,2,46,8,2,224,66,1,353,
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 607","Sharbot Lake",8,5,38,12,1,286,121,0,471,
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 608","Sydenham",4,8,86,50,4,396,260,2,810,
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 609","Stone Mills",3,6,30,18,0,119,80,0,256,
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 610","Napanee",8,8,75,26,7,394,190,3,711,
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 611","Odessa",5,6,36,12,1,135,73,0,268,
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 612","Amherstview",1,15,100,23,4,274,246,1,664,
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 613","Napanee",2,3,34,24,3,195,79,0,340,
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington",,Group 1/Groupe 1,0,3,14,11,2,79,61,7,177,435
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington",,Group 2/Groupe 2,3,3,152,64,2,855,394,18,1491,
