Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Barry Devolin,Andy Harjula,Anne MacDermid,Greg Walling,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 201","Cavan",147,25,57,91,1,321,587
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 202","Cavan",132,19,59,64,0,274,442
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 203","Cavan",115,17,65,63,0,260,447
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 204","Cavan",101,12,37,48,1,199,331
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 205","Cavan",147,18,45,51,0,261,489
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 206","Millbrook",180,25,103,93,1,402,632
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 207","Millbrook",153,24,63,50,1,291,455
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 208","Cavan",127,9,57,74,0,267,461
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 209","Cavan",148,15,46,58,2,269,482
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 500","Mobile poll/Bureau itinérant",51,4,6,16,1,78,145
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 501","Mobile poll/Bureau itinérant",42,1,9,22,2,76,161
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 502","Mobile poll/Bureau itinérant",20,1,11,25,0,57,90
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 503","Mobile poll/Bureau itinérant",65,6,32,63,1,167,234
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 504","Mobile poll/Bureau itinérant",34,2,11,27,0,74,120
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 505","Mobile poll/Bureau itinérant",51,4,15,36,1,107,167
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 506","Mobile poll/Bureau itinérant",37,3,14,28,4,86,190
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 507","Mobile poll/Bureau itinérant",52,3,15,26,0,96,172
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 600","Minden",444,21,101,219,0,785,
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 601","Haliburton",428,27,64,173,2,694,
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 602","North Kawartha--Apsley",150,16,22,80,0,268,
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 603","Coboconk",293,13,69,143,2,520,
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 604","Beaverton",466,29,82,190,0,767,
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 605","Mariposa",303,24,57,118,0,502,
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 606","Fenelon Falls",520,17,61,212,0,810,
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 607","Bobcaygeon",630,24,152,255,1,1062,
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 608","Lindsay",386,20,89,191,5,691,
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 609","Lindsay",406,13,37,199,0,655,
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 610","Lindsay",357,16,78,168,1,620,
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 611","Cavan--Millbrook",430,42,106,173,1,752,
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock",,Group 1/Groupe 1,39,12,15,40,8,114,222
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock",,Group 2/Groupe 2,1360,73,239,786,29,2487,
