Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Simon-Pierre Beaudet,Jean Bédard,Sylvie Boucher,Mario Laprise,Yves Picard,Christian Simard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Beauport--Limoilou/Beauport--Limoilou"," 604","Québec",22,1,126,5,42,133,1,330,
"Beauport--Limoilou/Beauport--Limoilou"," 605","Québec",22,1,149,13,50,108,5,348,
"Beauport--Limoilou/Beauport--Limoilou"," 606","Québec",19,2,179,1,36,112,2,351,
"Beauport--Limoilou/Beauport--Limoilou"," 607","Québec",7,0,74,4,32,44,0,161,
"Beauport--Limoilou/Beauport--Limoilou"," 608","Québec",10,1,137,2,54,95,0,299,
"Beauport--Limoilou/Beauport--Limoilou"," 609","Québec",9,2,84,8,70,90,0,263,
"Beauport--Limoilou/Beauport--Limoilou"," 610","Québec",24,1,99,7,72,117,3,323,
"Beauport--Limoilou/Beauport--Limoilou"," 611","Québec",16,1,103,17,72,112,11,332,
"Beauport--Limoilou/Beauport--Limoilou"," 612","Québec",14,0,72,10,36,72,5,209,
"Beauport--Limoilou/Beauport--Limoilou"," 613","Québec",19,2,85,14,35,76,6,237,
"Beauport--Limoilou/Beauport--Limoilou"," 614","Québec",18,0,150,6,95,105,4,378,
"Beauport--Limoilou/Beauport--Limoilou"," 615","Québec",16,3,74,3,43,70,2,211,
"Beauport--Limoilou/Beauport--Limoilou"," 616","Québec",8,0,131,4,55,76,3,277,
"Beauport--Limoilou/Beauport--Limoilou"," 617","Québec",11,1,122,7,46,82,4,273,
"Beauport--Limoilou/Beauport--Limoilou"," 618","Québec",10,0,71,11,35,113,0,240,
"Beauport--Limoilou/Beauport--Limoilou"," 619","Québec",17,2,88,7,53,101,3,271,
"Beauport--Limoilou/Beauport--Limoilou",,Group 1/Groupe 1,10,0,84,15,23,50,21,203,471
"Beauport--Limoilou/Beauport--Limoilou",,Group 2/Groupe 2,50,1,185,19,193,338,14,800,
