Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Guy André,Anne-Marie Aubert,Marie-Claude Godue,Nathalie Gratton,Serge Lafrenière,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Berthier--Maskinongé/Berthier--Maskinongé"," 603","Trois-Rivières-Ouest",307,33,289,22,83,6,740,
"Berthier--Maskinongé/Berthier--Maskinongé"," 604","Trois-Rivières-Ouest",221,20,198,11,94,9,553,
"Berthier--Maskinongé/Berthier--Maskinongé"," 605","Pointe-du-Lac",168,24,139,10,66,6,413,
"Berthier--Maskinongé/Berthier--Maskinongé"," 606","Louiseville",171,17,173,9,142,8,520,
"Berthier--Maskinongé/Berthier--Maskinongé"," 607","Louiseville",143,15,111,10,123,2,404,
"Berthier--Maskinongé/Berthier--Maskinongé"," 608","Saint-Gabriel",270,24,164,13,75,10,556,
"Berthier--Maskinongé/Berthier--Maskinongé"," 609","Berthierville",83,17,87,6,27,1,221,
"Berthier--Maskinongé/Berthier--Maskinongé"," 610","Berthierville",200,17,124,12,84,13,450,
"Berthier--Maskinongé/Berthier--Maskinongé"," 611","Lavaltrie",392,48,179,22,84,13,738,
"Berthier--Maskinongé/Berthier--Maskinongé",,Group 1/Groupe 1,41,5,37,5,20,8,116,259
"Berthier--Maskinongé/Berthier--Maskinongé",,Group 2/Groupe 2,570,59,224,29,226,17,1125,
