Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sandra Cooze,Judy Davis,Aaron Hynes,Scott Simms,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 176","Sandy Cove--Eastport",31,1,123,160,0,315,553
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 177","Happy Adventure",8,1,32,92,1,134,201
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 178","Salvage",12,0,31,34,4,81,140
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 179","Buchans Junction--Millertown",13,3,41,73,0,130,193
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 180A","Buchans",14,1,69,127,1,212,368
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 180B","Buchans",19,3,68,111,0,201,353
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 181","Port Blandford",19,2,55,111,1,188,316
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 182","Port Blandford",7,1,33,41,1,83,150
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 183","Shoal Harbour",Void/Supprimé,,,,,,
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 184A","Charlottetown-Terra Nova",7,2,43,98,0,150,237
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 184B","Charlottetown-Terra Nova",3,0,20,12,0,35,46
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 185","Bunyan's Cove",11,1,37,104,0,153,348
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 186","Shoal Harbour",Void/Supprimé,,,,,,
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 187","Milton",Void/Supprimé,,,,,,
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 188","Georges Brook",Void/Supprimé,,,,,,
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 189","Cannings Cove",9,0,25,76,0,110,211
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 190","Musgravetown",8,0,54,24,0,86,177
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 191A","Musgravetown",22,1,58,76,0,157,306
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 191B","Mobile poll/Bureau itinérant",Merged with No. 169B/Fusionné avec le nº 169B,,,,,,13
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 192","Bloomfield",22,0,95,54,0,171,445
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 193A","Lethbridge",21,0,62,65,0,148,321
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 193B","Lethbridge",10,2,49,71,1,133,304
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 194","Lethbridge",Void/Supprimé,,,,,,
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 195A","Portland--Jamestown--Winter Brook",11,1,65,25,1,103,284
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 195B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,8
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 196","Sweet Bay",8,1,29,53,0,91,196
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 197","Open Hall--Red Cliff--Tickle Cove",3,1,34,34,0,72,119
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 198","Plate Cove West and East",10,0,85,48,0,143,255
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 199","Summerville",3,1,21,21,0,46,146
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 200","Southern Bay--Princeton",17,1,41,33,1,93,185
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 201","Duntara--Keels",6,1,30,31,0,68,118
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 202","King's Cove",26,3,43,58,0,130,189
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 203","Upper--Middle--Lower Amherst Cove",15,0,27,65,0,107,246
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 204","Bonavista",5,0,16,58,0,79,228
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 205","Bonavista",8,0,39,74,0,121,261
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 206","Bonavista",6,0,37,61,0,104,270
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 207","Bonavista",10,0,45,87,0,142,375
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 208","Bonavista",8,0,33,62,0,103,293
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 209","Bonavista",10,0,38,76,1,125,359
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 210","Bonavista",6,0,52,56,1,115,311
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 211","Bonavista",6,0,34,43,2,85,257
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 212","Bonavista",4,0,31,55,4,94,251
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 213","Bonavista",Merged with No. 214/Fusionné avec le nº 214,,,,,,146
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 214","Bonavista",7,4,54,78,0,143,230
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 215","Bonavista",3,0,35,44,1,83,262
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 216","Spillers Cove--Elliston",10,1,26,99,1,137,264
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 217","Little Catalina",4,0,34,51,0,89,189
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 218","Little Catalina",7,1,38,58,0,104,229
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 219","Catalina",6,2,43,42,0,93,262
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 220","Catalina",5,0,51,59,0,115,213
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 221","Catalina",8,0,58,47,0,113,217
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 222","Port Union",Merged with No. 223/Fusionné avec le nº 223,,,,,,108
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 223","Port Union",10,2,105,87,0,204,272
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 224","Melrose",8,2,75,36,0,121,211
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 225","English Harbour--Champney's East",8,0,21,27,1,57,97
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 226","Champney's West--Champney's Arm",8,0,20,44,0,72,168
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 227","Trinity East",22,1,40,85,0,148,290
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 228","Trinity--Lockston",14,0,27,52,0,93,178
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 229A","Goose Cove--Dunfield",11,0,16,37,1,65,179
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 229B","Goose Cove--Dunfield",7,0,12,70,0,89,145
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 500A","Mobile poll/Bureau itinérant",5,1,14,31,4,55,43
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 500B","Mobile poll/Bureau itinérant",3,0,10,39,0,52,21
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 501A","Mobile poll/Bureau itinérant",2,3,36,66,0,107,10
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 501B","Mobile poll/Bureau itinérant",2,1,4,39,1,47,69
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 502","Mobile poll/Bureau itinérant",2,2,20,42,0,66,120
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 503","Mobile poll/Bureau itinérant",2,0,12,34,0,48,113
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 504","Mobile poll/Bureau itinérant",2,2,26,64,6,100,168
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 600","Botwood",12,0,73,98,0,183,
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 601","Lewisporte",3,1,108,47,0,159,
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 602","Twillingate",3,0,21,51,0,75,
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 603","Fogo",0,0,15,12,0,27,
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 604","Musgrave Harbour",1,0,24,6,0,31,
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 605","Wesleyville",0,0,21,53,0,74,
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 606","Grand Falls-Windsor",26,0,211,237,1,475,
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 607","Bishop's Falls",2,0,70,73,1,146,
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 608","Gander",16,2,243,187,2,450,
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 609","Gambo",5,1,37,29,0,72,
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 610","Glovertown",7,1,31,48,0,87,
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 611","Buchans",2,0,11,13,0,26,
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 612","Port Blandford",5,0,30,32,0,67,
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 613","Bonavista",2,0,35,98,0,135,
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 614","Catalina",0,0,31,10,0,41,
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor",,Group 1/Groupe 1,7,2,75,94,6,184,548
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor",,Group 2/Groupe 2,40,4,228,320,5,597,
