Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Suzanne Courville,Mario Laframboise,François-Hugues Liberge,Claude Sabourin,Alain Senécal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 174B","Mirabel (Saint-Augustin)",55,176,13,9,15,5,273,415
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 175","Mirabel (Saint-Augustin)",51,182,22,11,24,6,296,488
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 176","Mirabel (Saint-Benoît)",79,117,23,12,17,7,255,413
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 177A","Mirabel (Saint-Benoît)",48,108,17,7,8,2,190,295
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 177B","Mirabel (Saint-Benoît)",39,95,11,10,11,1,167,273
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 178","Mirabel (Saint-Benoît)",50,128,21,9,9,7,224,346
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 179","Mirabel (Saint-Benoît)",64,135,20,13,28,2,262,394
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 180","Mirabel (Saint-Canut)",34,147,24,8,19,5,237,373
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 181","Mirabel (Saint-Canut)",44,128,15,7,22,1,217,332
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 182","Mirabel (Saint-Canut)",54,131,21,9,17,3,235,398
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 183","Mirabel (Saint-Canut)",51,187,21,8,20,4,291,457
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 184","Mirabel (Saint-Canut)",46,165,11,8,18,8,256,451
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 185","Mirabel (Saint-Canut)",56,183,7,9,22,9,286,551
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 186","Mirabel (Saint-Canut)",53,196,25,23,16,7,320,521
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 187A","Mirabel (Saint-Canut)",53,145,23,7,12,5,245,424
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 187B","Mirabel (Saint-Canut)",45,143,25,16,16,4,249,470
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 187C","Mirabel (Saint-Canut)",40,115,10,5,13,7,190,348
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 188A","Mirabel (Saint-Janvier)",49,89,20,5,9,2,174,315
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 188B","Mirabel (Saint-Janvier)",37,82,11,4,7,5,146,284
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 189","Mirabel (Saint-Janvier)",69,177,16,12,17,4,295,500
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 190","Mirabel (Saint-Janvier)",58,177,24,12,22,5,298,484
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 191","Mirabel (Saint-Janvier)",66,150,23,10,44,4,297,452
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 192","Mirabel (Saint-Janvier)",24,148,3,9,13,6,203,314
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 193","Mirabel (Saint-Janvier)",39,126,19,9,32,7,232,364
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 194","Mirabel (Saint-Janvier)",58,129,35,9,20,9,260,495
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 195","Mirabel (Saint-Janvier)",73,183,26,16,24,7,329,541
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 196","Mirabel (Saint-Janvier)",36,138,10,5,14,10,213,439
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 197","Mirabel (Saint-Janvier)",38,186,26,10,16,11,287,521
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 198","Mirabel (Saint-Janvier)",25,78,15,10,8,4,140,323
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 199","Mirabel (Saint-Janvier)",34,99,19,8,9,5,174,308
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 200","Mirabel (Saint-Janvier)",26,100,12,8,5,5,156,287
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 201A","Mirabel (Saint-Janvier)",23,82,9,5,8,3,130,237
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 201B","Mirabel (Saint-Janvier)",35,129,17,5,13,6,205,381
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 201C","Mirabel (Saint-Janvier)",26,113,11,5,15,5,175,309
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 202","Mirabel (Saint-Janvier)",58,192,23,12,26,15,326,521
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 203","Mirabel (Saint-Janvier)",46,146,21,10,9,7,239,433
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 204A","Mirabel (Saint-Janvier)",41,103,8,11,8,6,177,293
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 204B","Mirabel (Saint-Janvier)",41,102,15,4,7,2,171,294
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 205","Mirabel (Saint-Janvier)",36,147,18,10,28,4,243,392
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 500","Mobile poll/Bureau itinérant",22,15,19,4,7,9,76,113
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 501","Mobile poll/Bureau itinérant",26,37,54,7,2,4,130,203
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 600","Thurso",80,124,62,7,11,2,286,
