Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Cheryl Gallant,Paul Kelly,Don Lindsay,Gordon Scott McLeod,Sue McSheffrey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 502","Mobile poll/Bureau itinérant",44,4,31,2,10,2,93,124
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 503","Mobile poll/Bureau itinérant",57,4,16,1,5,1,84,114
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 504","Mobile poll/Bureau itinérant",56,0,37,1,11,2,107,167
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 505","Mobile poll/Bureau itinérant",81,2,45,6,9,2,145,168
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 600","Deep River",228,11,245,16,50,4,554,
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 601","Petawawa",555,42,252,27,78,4,958,
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 602","Pembroke",399,20,146,16,49,1,631,
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 603","Pembroke",752,53,425,22,98,1,1351,
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 604","Barry's Bay",596,10,197,17,72,4,896,
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 605","Eganville",559,13,187,24,63,1,847,
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 606","Cobden",335,3,72,13,44,3,470,
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 607","Renfrew",856,10,231,22,103,4,1226,
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 608","Arnprior",50,0,9,3,6,0,68,
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 609","Arnprior",817,14,180,22,87,3,1123,
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke",,Group 1/Groupe 1,257,14,89,20,21,3,404,1328
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke",,Group 2/Groupe 2,816,20,399,54,140,17,1446,
