Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,James Caron,Otto Casanova,Peter Creighton,Raminder Gill,Wajid Khan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Mississauga--Streetsville/Mississauga--Streetsville"," 143","Mississauga",25,5,4,65,132,1,232,463
"Mississauga--Streetsville/Mississauga--Streetsville"," 144","Mississauga",35,5,1,63,120,3,227,460
"Mississauga--Streetsville/Mississauga--Streetsville"," 145","Mississauga",26,3,0,57,88,1,175,449
"Mississauga--Streetsville/Mississauga--Streetsville"," 146A","Mississauga",23,9,4,42,77,0,155,332
"Mississauga--Streetsville/Mississauga--Streetsville"," 146B","Mississauga",30,2,7,46,82,1,168,306
"Mississauga--Streetsville/Mississauga--Streetsville"," 147","Mississauga",20,11,1,70,139,1,242,452
"Mississauga--Streetsville/Mississauga--Streetsville"," 148","Mississauga",9,4,3,54,132,1,203,359
"Mississauga--Streetsville/Mississauga--Streetsville"," 149","Mississauga",43,7,5,64,124,2,245,492
"Mississauga--Streetsville/Mississauga--Streetsville"," 150","Mississauga",16,9,2,67,111,1,206,422
"Mississauga--Streetsville/Mississauga--Streetsville"," 151A","Mississauga",27,3,1,76,108,1,216,381
"Mississauga--Streetsville/Mississauga--Streetsville"," 151B","Mississauga",18,3,2,57,93,1,174,309
"Mississauga--Streetsville/Mississauga--Streetsville"," 152A","Mississauga",21,3,6,65,103,0,198,333
"Mississauga--Streetsville/Mississauga--Streetsville"," 152B","Mississauga",29,4,3,77,106,1,220,371
"Mississauga--Streetsville/Mississauga--Streetsville"," 153","Mississauga",31,10,0,73,145,2,261,438
"Mississauga--Streetsville/Mississauga--Streetsville"," 154","Mississauga",29,4,3,83,106,0,225,385
"Mississauga--Streetsville/Mississauga--Streetsville"," 155","Mississauga",19,6,2,80,138,1,246,487
"Mississauga--Streetsville/Mississauga--Streetsville"," 156A","Mississauga",9,0,0,69,49,1,128,264
"Mississauga--Streetsville/Mississauga--Streetsville"," 156B","Mississauga",15,4,0,71,87,0,177,318
"Mississauga--Streetsville/Mississauga--Streetsville"," 157","Mississauga",14,3,2,51,79,1,150,271
"Mississauga--Streetsville/Mississauga--Streetsville"," 158","Mississauga",40,5,3,53,109,0,210,435
"Mississauga--Streetsville/Mississauga--Streetsville"," 159","Mississauga",25,5,3,62,127,0,222,416
"Mississauga--Streetsville/Mississauga--Streetsville"," 160","Mississauga",14,9,2,54,105,1,185,376
"Mississauga--Streetsville/Mississauga--Streetsville"," 161","Mississauga",25,7,1,84,135,3,255,498
"Mississauga--Streetsville/Mississauga--Streetsville"," 162","Mississauga",11,4,1,63,56,2,137,236
"Mississauga--Streetsville/Mississauga--Streetsville"," 163","Mississauga",11,8,1,71,127,0,218,391
