Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mike Allen,Robert Bérubé Jr.,Alice Finnamore,Andy Savoy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Tobique--Mactaquac/Tobique--Mactaquac"," 124","Parker Ridge",131,5,31,73,3,243,395
"Tobique--Mactaquac/Tobique--Mactaquac"," 125","Maple Grove",54,5,34,42,1,136,218
"Tobique--Mactaquac/Tobique--Mactaquac"," 126","McGivney",85,1,38,43,3,170,283
"Tobique--Mactaquac/Tobique--Mactaquac"," 127","Taymouth",114,4,43,66,2,229,355
"Tobique--Mactaquac/Tobique--Mactaquac"," 128A","Durham Bridge",58,8,28,80,3,177,282
"Tobique--Mactaquac/Tobique--Mactaquac"," 128B","Durham Bridge",95,3,24,48,0,170,257
"Tobique--Mactaquac/Tobique--Mactaquac"," 129","Penniac",133,5,56,77,3,274,388
"Tobique--Mactaquac/Tobique--Mactaquac"," 130","Napadogan",71,3,9,39,3,125,218
"Tobique--Mactaquac/Tobique--Mactaquac"," 131","Fredericksburg",57,7,34,33,1,132,220
"Tobique--Mactaquac/Tobique--Mactaquac"," 132","Stanley",51,7,23,36,1,118,232
"Tobique--Mactaquac/Tobique--Mactaquac"," 133","Stanley",104,7,37,57,2,207,332
"Tobique--Mactaquac/Tobique--Mactaquac"," 134","Stanley",116,5,54,83,5,263,447
"Tobique--Mactaquac/Tobique--Mactaquac"," 135A","Nashwaak Village",94,4,46,64,1,209,334
"Tobique--Mactaquac/Tobique--Mactaquac"," 135B","Nashwaak Village",91,4,27,74,0,196,306
"Tobique--Mactaquac/Tobique--Mactaquac"," 136A","Royal Road West",80,4,38,53,2,177,265
"Tobique--Mactaquac/Tobique--Mactaquac"," 136B","Royal Road West",66,2,24,47,0,139,215
"Tobique--Mactaquac/Tobique--Mactaquac"," 137A","McLeod Hill",94,1,38,68,0,201,308
"Tobique--Mactaquac/Tobique--Mactaquac"," 137B","McLeod Hill",88,3,22,57,2,172,261
"Tobique--Mactaquac/Tobique--Mactaquac"," 138","McLeod Hill",83,2,38,78,0,201,307
"Tobique--Mactaquac/Tobique--Mactaquac"," 139","Bright",74,2,14,56,2,148,297
"Tobique--Mactaquac/Tobique--Mactaquac"," 140","Springfield",102,3,24,35,0,164,262
"Tobique--Mactaquac/Tobique--Mactaquac"," 141","Bear Island",78,1,33,62,1,175,238
"Tobique--Mactaquac/Tobique--Mactaquac"," 142","Scotch Settlement",100,5,66,33,2,206,299
"Tobique--Mactaquac/Tobique--Mactaquac"," 143","Bear Island",109,7,28,64,1,209,297
"Tobique--Mactaquac/Tobique--Mactaquac"," 144","Brewers Mills",92,4,32,43,0,171,383
"Tobique--Mactaquac/Tobique--Mactaquac"," 145","Upper Keswick",81,5,50,51,0,187,383
"Tobique--Mactaquac/Tobique--Mactaquac"," 146","Keswick Ridge",110,5,26,87,2,230,302
"Tobique--Mactaquac/Tobique--Mactaquac"," 147A","Tripp Settlement",80,3,42,62,0,187,292
"Tobique--Mactaquac/Tobique--Mactaquac"," 147B","Tripp Settlement",84,2,34,43,0,163,250
"Tobique--Mactaquac/Tobique--Mactaquac"," 148","Keswick Ridge",116,6,42,93,1,258,342
"Tobique--Mactaquac/Tobique--Mactaquac"," 149","Upper Stoneridge",85,2,24,64,0,175,344
"Tobique--Mactaquac/Tobique--Mactaquac"," 150","Upper Stoneridge",80,3,49,56,1,189,364
"Tobique--Mactaquac/Tobique--Mactaquac"," 151","Birdton",81,6,32,57,0,176,333
"Tobique--Mactaquac/Tobique--Mactaquac"," 152","Jones Forks",61,2,37,55,1,156,282
"Tobique--Mactaquac/Tobique--Mactaquac"," 153","Keswick",153,1,47,98,1,300,452
"Tobique--Mactaquac/Tobique--Mactaquac"," 154","Douglas",137,2,48,122,2,311,477
"Tobique--Mactaquac/Tobique--Mactaquac"," 155A","Douglas",83,5,31,71,2,192,290
"Tobique--Mactaquac/Tobique--Mactaquac"," 155B","Douglas",78,1,33,65,2,179,243
"Tobique--Mactaquac/Tobique--Mactaquac"," 500A","Mobile poll/Bureau itinérant",25,4,5,28,2,64,114
"Tobique--Mactaquac/Tobique--Mactaquac"," 500B","Mobile poll/Bureau itinérant",20,1,0,18,2,41,49
"Tobique--Mactaquac/Tobique--Mactaquac"," 500C","Mobile poll/Bureau itinérant",19,3,5,28,2,57,63
"Tobique--Mactaquac/Tobique--Mactaquac"," 600","Drummond",119,11,33,236,6,405,
"Tobique--Mactaquac/Tobique--Mactaquac"," 601","Grand Falls--Grand-Sault",203,7,62,451,12,735,
"Tobique--Mactaquac/Tobique--Mactaquac"," 602","Plaster Rock",201,4,26,350,1,582,
"Tobique--Mactaquac/Tobique--Mactaquac"," 603","Perth-Andover",129,5,27,318,0,479,
"Tobique--Mactaquac/Tobique--Mactaquac"," 604","Bath",156,2,33,136,0,327,
"Tobique--Mactaquac/Tobique--Mactaquac"," 605","Florenceville",103,0,16,84,1,204,
"Tobique--Mactaquac/Tobique--Mactaquac"," 606","Jacksonville",117,2,3,71,0,193,
"Tobique--Mactaquac/Tobique--Mactaquac"," 607","Hartland",90,4,7,90,3,194,
"Tobique--Mactaquac/Tobique--Mactaquac"," 608","Woodstock",142,6,13,136,2,299,
"Tobique--Mactaquac/Tobique--Mactaquac"," 609","Lower Woodstock",141,0,17,131,0,289,
"Tobique--Mactaquac/Tobique--Mactaquac"," 610","Nackawic",84,3,19,107,1,214,
"Tobique--Mactaquac/Tobique--Mactaquac"," 611","Stanley",150,2,17,82,1,252,
"Tobique--Mactaquac/Tobique--Mactaquac"," 612","Springfield",206,3,33,145,3,390,
"Tobique--Mactaquac/Tobique--Mactaquac",,Group 1/Groupe 1,49,6,8,31,3,97,245
"Tobique--Mactaquac/Tobique--Mactaquac",,Group 2/Groupe 2,656,15,115,953,41,1780,
