Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Johan Boyden,Philip Fernandez,Bill Graham,Michel Prairie,Lewis Reford,Michael Shapcott,Chris Tindal,Liz White,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Toronto Centre/Toronto-Centre"," 133","Toronto",1,0,67,0,11,65,7,1,0,152,226
"Toronto Centre/Toronto-Centre"," 134","Toronto",0,0,130,1,24,94,12,1,1,263,445
"Toronto Centre/Toronto-Centre"," 135","Toronto",1,1,137,1,37,102,16,0,3,298,584
"Toronto Centre/Toronto-Centre"," 136","Toronto",0,0,134,0,41,69,15,0,0,259,416
"Toronto Centre/Toronto-Centre"," 137","Toronto",0,1,158,0,22,108,7,0,0,296,454
"Toronto Centre/Toronto-Centre"," 138","Toronto",0,3,131,0,46,88,22,0,2,292,460
"Toronto Centre/Toronto-Centre"," 139","Toronto",Merged with No. 133/Fusionné avec le nº 133,,,,,,,,,,4
"Toronto Centre/Toronto-Centre"," 140A","Toronto",0,1,95,0,16,80,13,0,1,206,335
"Toronto Centre/Toronto-Centre"," 140B","Toronto",2,0,75,0,22,86,20,0,1,206,362
"Toronto Centre/Toronto-Centre"," 141A","Toronto",2,0,90,0,22,62,15,0,0,191,334
"Toronto Centre/Toronto-Centre"," 141B","Toronto",5,0,103,0,31,69,12,0,1,221,356
"Toronto Centre/Toronto-Centre"," 400","Toronto",0,0,128,0,36,33,21,0,0,218,302
"Toronto Centre/Toronto-Centre"," 401","Mobile poll/Bureau itinérant",Merged with No. 36C/Fusionné avec le nº 36C,,,,,,,,,,81
"Toronto Centre/Toronto-Centre"," 402","Toronto",0,0,101,0,49,29,7,0,0,186,293
"Toronto Centre/Toronto-Centre"," 403","Toronto",0,1,78,1,49,31,6,0,3,169,249
"Toronto Centre/Toronto-Centre"," 404","Toronto",1,0,167,1,37,71,21,0,0,298,456
"Toronto Centre/Toronto-Centre"," 405","Toronto",0,0,86,0,25,43,7,0,2,163,303
"Toronto Centre/Toronto-Centre"," 406","Toronto",0,0,74,0,22,34,15,0,0,145,274
"Toronto Centre/Toronto-Centre"," 407","Toronto",0,0,91,1,22,41,7,0,1,163,321
"Toronto Centre/Toronto-Centre"," 408","Toronto",0,1,76,0,12,33,3,0,0,125,246
"Toronto Centre/Toronto-Centre"," 409","Toronto",1,0,116,2,18,47,2,0,0,186,391
"Toronto Centre/Toronto-Centre"," 410","Toronto",0,0,97,0,22,40,7,0,2,168,245
"Toronto Centre/Toronto-Centre"," 411","Toronto",1,0,138,1,39,48,1,0,1,229,393
"Toronto Centre/Toronto-Centre"," 412","Toronto",2,0,123,1,29,30,2,1,3,191,370
"Toronto Centre/Toronto-Centre"," 413","Toronto",2,1,129,4,30,65,3,0,1,235,486
"Toronto Centre/Toronto-Centre"," 414","Toronto",Merged with No. 411/Fusionné avec le nº 411,,,,,,,,,,2
"Toronto Centre/Toronto-Centre"," 415","Toronto",0,0,96,0,15,39,7,0,0,157,303
"Toronto Centre/Toronto-Centre"," 416","Toronto",1,0,99,0,19,26,1,0,1,147,336
"Toronto Centre/Toronto-Centre"," 417","Toronto",0,0,136,0,39,43,12,0,1,231,360
"Toronto Centre/Toronto-Centre"," 418","Toronto",Merged with No. 410/Fusionné avec le nº 410,,,,,,,,,,80
"Toronto Centre/Toronto-Centre"," 419","Toronto",1,0,105,0,34,63,12,0,0,215,340
"Toronto Centre/Toronto-Centre"," 420","Toronto",2,0,133,1,19,54,4,0,3,216,388
"Toronto Centre/Toronto-Centre"," 421","Toronto",2,0,130,1,20,56,5,0,3,217,430
"Toronto Centre/Toronto-Centre"," 422","Toronto",3,0,124,2,23,39,1,0,2,194,395
"Toronto Centre/Toronto-Centre"," 423","Toronto",2,1,152,2,14,43,2,0,2,218,421
"Toronto Centre/Toronto-Centre"," 424","Toronto",1,0,100,1,20,34,5,1,0,162,306
"Toronto Centre/Toronto-Centre"," 425","Toronto",0,0,100,0,19,44,3,0,2,168,319
"Toronto Centre/Toronto-Centre"," 426","Toronto",1,0,94,0,12,37,7,0,0,151,319
"Toronto Centre/Toronto-Centre"," 427","Toronto",1,1,98,1,10,30,9,1,1,152,333
"Toronto Centre/Toronto-Centre"," 428","Toronto",0,0,84,0,12,54,7,0,0,157,325
"Toronto Centre/Toronto-Centre"," 429","Toronto",0,0,111,1,17,33,2,0,2,166,304
"Toronto Centre/Toronto-Centre"," 430","Toronto",0,0,145,1,54,88,14,0,1,303,306
"Toronto Centre/Toronto-Centre"," 431","Toronto",1,0,160,0,64,33,7,0,1,266,404
"Toronto Centre/Toronto-Centre"," 432","Toronto",0,0,189,0,67,32,8,1,0,297,452
"Toronto Centre/Toronto-Centre"," 433","Toronto",Merged with No. 430/Fusionné avec le nº 430,,,,,,,,,,168
"Toronto Centre/Toronto-Centre"," 434","Toronto",0,0,53,0,32,77,4,0,0,166,438
"Toronto Centre/Toronto-Centre"," 435","Toronto",0,0,98,0,42,47,8,1,0,196,268
