Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,François Bédard,Guy Caron,Roger Picard,Louise Thibault,Michel Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 170","Notre-Dame-du-Lac",6,14,35,60,32,2,149,275
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 171","Saint-Eusèbe",7,20,81,104,34,2,248,467
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 172","Saint-Pierre-de-Lamy",2,0,24,29,8,1,64,95
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 173","Saint-Honoré-de-Témiscouata",5,8,58,75,18,1,165,283
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 174","Saint-Louis-du-Ha! Ha!",3,7,27,43,24,5,109,202
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 175A","Saint-Louis-du-Ha! Ha!",6,10,38,43,23,3,123,248
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 175B","Mobile poll/Bureau itinérant",Merged with No. 506/Fusionné avec le nº 506,,,,,,,31
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 176","Saint-Louis-du-Ha! Ha!",2,10,65,88,34,6,205,401
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 177","Saint-Louis-du-Ha! Ha!",4,10,18,52,14,2,100,202
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 178","Saint-Honoré-de-Témiscouata",6,21,54,97,16,2,196,339
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 179","Saint-Elzéar",3,9,33,75,24,1,145,239
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 180","Saint-Athanase",2,10,37,50,26,0,125,237
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 181A","Pohénégamook",1,9,39,39,30,4,122,238
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 181B","Pohénégamook",5,8,50,56,25,5,149,281
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 182","Saint-Éleuthère",14,16,84,105,32,1,252,435
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 183","Pohénégamook",4,8,24,30,12,0,78,205
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 184","Pohénégamook",5,14,61,77,39,3,199,389
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 185","Pohénégamook",5,19,57,102,34,3,220,488
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 186","Pohénégamook",2,9,37,44,20,6,118,265
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 187","Rivière-Bleue",5,16,60,79,37,2,199,380
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 188","Rivière-Bleue",5,9,59,89,26,0,188,403
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 189","Saint-Marc-du-Lac-Long",8,12,72,91,45,6,234,380
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 190","Rivière-Bleue",6,12,49,45,27,0,139,273
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 500","Mobile poll/Bureau itinérant",1,3,17,20,57,6,104,284
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 501","Mobile poll/Bureau itinérant",1,8,33,57,83,7,189,251
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 502","Mobile poll/Bureau itinérant",1,7,17,41,99,11,176,246
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 503","Mobile poll/Bureau itinérant",4,7,28,48,69,7,163,224
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 504","Mobile poll/Bureau itinérant",3,5,39,17,40,4,108,142
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 505","Mobile poll/Bureau itinérant",Merged with No. 504/Fusionné avec le nº 504,,,,,,,42
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 506","Mobile poll/Bureau itinérant",0,2,21,20,28,0,71,104
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 600","Rimouski--Pointe-au-Père",7,21,71,183,67,2,351,
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 601","Rimouski",8,30,93,240,152,4,527,
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 602","Rimouski",7,24,66,269,148,3,517,
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 603","Rimouski",9,46,99,271,228,4,657,
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 604","Sainte-Blandine",2,4,23,110,30,1,170,
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 605","Le Bic",4,17,39,131,68,0,259,
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 606","Trois-Pistoles",9,20,86,182,113,4,414,
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 607","Saint-Jean-de-Dieu",0,5,23,26,15,0,69,
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 608","Saint-Michel-du-Squatec",3,6,22,58,23,1,113,
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 609","Dégelis",1,18,40,77,55,4,195,
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 610","Cabano",8,19,53,95,55,3,233,
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 611","Saint-Louis-du-Ha! Ha!",2,8,25,39,23,1,98,
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 612","Pohénégamook",4,11,44,75,39,4,177,
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques",,Group 1/Groupe 1,3,5,50,40,17,9,124,300
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques",,Group 2/Groupe 2,29,77,110,611,357,41,1225,
