Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raymond Côté,Odina Desrochers,Jacques Gourde,Eric Paradis,Shirley Picknell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 129","Sainte-Hélène-de-Breakeyville",15,76,112,15,14,2,234,364
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 130","Sainte-Hélène-de-Breakeyville",21,65,147,13,5,0,251,389
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 131","Sainte-Hélène-de-Breakeyville",24,110,167,16,11,2,330,557
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 132","Saint-Rédempteur",27,88,114,8,8,0,245,369
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 133","Saint-Rédempteur",18,65,120,13,14,0,230,420
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 134","Saint-Rédempteur",17,71,105,11,8,0,212,347
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 135","Saint-Rédempteur",13,67,118,11,9,4,222,421
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 136A","Saint-Rédempteur",15,82,129,7,10,4,247,432
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 136B","Mobile poll/Bureau itinérant",Merged with No. 55C/Fusionné avec le nº 55C,,,,,,,16
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 137","Saint-Rédempteur",19,95,105,13,11,1,244,436
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 138","Saint-Rédempteur",15,80,153,8,8,4,268,414
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 139A","Saint-Rédempteur",14,57,143,7,8,2,231,354
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 139B","Saint-Rédempteur",15,52,141,3,12,1,224,310
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 140","Saint-Rédempteur",25,101,157,5,12,3,303,446
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 141","Saint-Rédempteur",23,106,159,5,8,1,302,515
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 142A","Saint-Rédempteur",27,79,128,15,14,2,265,413
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 142B","Saint-Rédempteur",14,52,106,9,13,0,194,303
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 143","Saint-Étienne-de-Lauzon",23,68,129,6,18,1,245,498
