Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carol Hughes,Sarah Hutchinson,Will Morin,Donald Milton Polmateer,Brent St. Denis,Ian West,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 191","Big Lake--Sandfield",18,8,0,1,29,56,1,113,216
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 192","Tehkummah",50,12,0,2,78,96,1,239,373
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 193","Meldrum Bay",11,1,0,0,5,14,0,31,51
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 194","Silver Water",23,5,0,0,53,31,1,113,121
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 195","Zhiibaahaasing 19A",Merged with No. 194/Fusionné avec le nº 194,,,,,,,,20
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 196","Sheshegwaning",8,0,5,0,36,2,0,51,66
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 197","Burpee and Mills",59,7,3,0,34,66,3,172,257
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 198","Gordon--Barrie Island",35,6,0,1,36,54,1,133,240
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 199","Gore Bay",37,8,3,1,72,58,0,179,356
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 200","Gore Bay",60,9,0,0,69,107,2,247,458
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 201","Kagawong",70,6,1,0,84,90,2,253,421
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 500","Mobile poll/Bureau itinérant",17,3,0,1,48,18,8,95,154
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 501","Mobile poll/Bureau itinérant",14,3,0,0,35,6,0,58,109
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 502","Mobile poll/Bureau itinérant",12,4,2,0,23,13,1,55,100
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 600","Manitouwadge",44,4,1,0,58,47,0,154,
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 601","Hornepayne",32,4,0,1,42,16,2,97,
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 602","White River",36,2,0,0,29,20,1,88,
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 603","Hearst",68,6,2,0,141,41,5,263,
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 604","Kapuskasing",129,11,5,0,217,89,4,455,
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 605","Smooth Rock Falls",33,5,2,3,72,14,3,132,
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 606","Wawa",69,8,3,0,85,62,0,227,
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 607","Chapleau",96,12,1,2,138,66,2,317,
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 608","Thessalon",39,6,0,0,64,76,0,185,
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 609","Blind River",156,7,1,0,307,156,4,631,
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 610","Elliot Lake",152,12,5,2,208,130,1,510,
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 611","Elliot Lake",226,12,6,2,281,236,1,764,
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 612","Massey",51,4,3,2,56,48,1,165,
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 613","Espanola",141,8,4,1,185,127,2,468,
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 614","Little Current",43,10,3,0,103,81,0,240,
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 615","Central Manitoulin",36,8,0,0,57,55,0,156,
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 616","Gore Bay",44,5,1,0,29,77,2,158,
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing",,Group 1/Groupe 1,12,8,3,0,46,49,7,125,285
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing",,Group 2/Groupe 2,326,37,8,8,606,275,11,1271,
