Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Steven Elgersma,Diane Finley,Valya Roberts,Bob Speller,Carolyn Van Nort,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Haldimand--Norfolk/Haldimand--Norfolk"," 176","Haldimand",3,144,47,78,10,0,282,547
"Haldimand--Norfolk/Haldimand--Norfolk"," 177","Dunnville",6,161,34,56,8,0,265,407
"Haldimand--Norfolk/Haldimand--Norfolk"," 178","Dunnville",1,99,28,72,11,1,212,407
"Haldimand--Norfolk/Haldimand--Norfolk"," 179","Dunnville",2,137,33,78,7,0,257,426
"Haldimand--Norfolk/Haldimand--Norfolk"," 180","Dunnville",2,84,31,33,7,0,157,267
"Haldimand--Norfolk/Haldimand--Norfolk"," 181","Dunnville",10,165,37,48,5,0,265,405
"Haldimand--Norfolk/Haldimand--Norfolk"," 182","Dunnville",6,94,10,32,5,0,147,267
"Haldimand--Norfolk/Haldimand--Norfolk"," 183","Dunnville",11,166,53,55,17,0,302,470
"Haldimand--Norfolk/Haldimand--Norfolk"," 184","Dunnville",9,148,16,45,1,1,220,306
"Haldimand--Norfolk/Haldimand--Norfolk"," 185","Dunnville",9,121,22,41,10,1,204,348
"Haldimand--Norfolk/Haldimand--Norfolk"," 186","Dunnville",13,153,45,59,7,1,278,419
"Haldimand--Norfolk/Haldimand--Norfolk"," 187A","Dunnville",4,112,33,48,13,0,210,440
"Haldimand--Norfolk/Haldimand--Norfolk"," 187B","Dunnville",3,117,36,49,8,0,213,389
"Haldimand--Norfolk/Haldimand--Norfolk"," 188","Dunnville",9,123,52,71,7,0,262,390
"Haldimand--Norfolk/Haldimand--Norfolk"," 189","Dunnville",3,61,30,51,5,2,152,389
"Haldimand--Norfolk/Haldimand--Norfolk"," 190","Dunnville",6,141,38,60,12,0,257,494
"Haldimand--Norfolk/Haldimand--Norfolk"," 191","Dunnville",2,131,33,78,12,0,256,404
"Haldimand--Norfolk/Haldimand--Norfolk"," 192","Dunnville",4,102,30,64,8,1,209,390
"Haldimand--Norfolk/Haldimand--Norfolk"," 193","Dunnville",0,113,44,80,6,1,244,402
"Haldimand--Norfolk/Haldimand--Norfolk"," 194","Dunnville",0,47,25,52,10,0,134,313
