Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean Crowder,Jack East,Harold Henn,Brian Scott,Norm Sowden,Jeff Warr,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 189","Cobble Hill",123,1,11,68,85,2,0,290,446
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 190","Cowichan Bay",160,0,13,46,106,0,1,326,495
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 191","Cowichan Bay",105,1,12,28,73,0,1,220,347
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 192","Cowichan Bay",88,0,10,38,50,2,0,188,287
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 193","Cowichan Bay",96,0,4,28,96,1,0,225,396
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 194","Cobble Hill",71,0,10,39,95,0,1,216,372
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 195","Cobble Hill",70,0,19,39,79,1,0,208,365
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 196A","Cobble Hill",90,1,12,27,49,2,1,182,281
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 196B","Cobble Hill",74,1,11,29,40,1,0,156,266
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 197","Cobble Hill",93,0,10,42,65,0,0,210,343
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 198A","Cobble Hill--Hatch Point 12",72,0,6,34,44,0,0,156,274
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 198B","Cobble Hill--Hatch Point 12",78,0,11,25,52,0,0,166,285
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 199A","Hatch Point 12",99,1,9,29,61,2,0,201,288
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 199B","Hatch Point 12",60,0,6,29,53,0,0,148,249
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 200","Hatch Point 12",64,0,3,65,155,0,0,287,399
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 201","Hatch Point 12",31,0,3,41,151,0,0,226,362
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 202A","Shawnigan Lake",83,0,32,60,55,1,1,232,379
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 202B","Shawnigan Lake",91,0,20,29,46,4,0,190,378
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 203A","Shawnigan Lake",98,0,11,31,48,0,0,188,276
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 203B","Shawnigan Lake",73,0,9,32,35,1,0,150,262
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 204A","Shawnigan Lake",91,0,13,38,58,0,0,200,279
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 204B","Shawnigan Lake",66,0,6,32,46,1,0,151,238
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 205","Shawnigan Lake",153,0,18,56,113,0,0,340,529
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 206A","Cliffside",79,0,17,36,72,0,0,204,313
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 206B","Cliffside",71,0,14,24,48,0,0,157,284
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 207A","Shawnigan Lake",69,0,10,51,53,0,0,183,295
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 207B","Shawnigan Lake",61,0,14,21,32,1,0,129,228
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 208","Shawnigan",139,0,21,50,78,1,1,290,471
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 209","Shawnigan",86,0,14,22,67,0,0,189,298
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 210A","Cobble Hill",80,1,6,23,61,0,0,171,276
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 210B","Cobble Hill",56,0,8,36,75,0,0,175,282
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 211","Mill Bay",67,0,6,40,75,0,0,188,319
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 212A","Mill Bay",55,0,11,43,65,0,1,175,329
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 212B","Mill Bay",58,1,11,30,79,1,0,180,298
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 213","Hatch Point 12",86,0,12,55,111,2,0,266,455
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 214A","Mill Bay",57,0,8,32,47,0,0,144,260
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 214B","Mill Bay",60,0,4,28,53,1,0,146,248
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 215","Mill Bay",92,0,17,52,120,2,0,283,469
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 216","Malahat",97,0,21,50,85,0,0,253,429
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 500","Mobile poll/Bureau itinérant",25,2,4,15,11,0,0,57,70
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 501","Mobile poll/Bureau itinérant",41,6,3,18,11,1,0,80,194
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 502A","Mobile poll/Bureau itinérant",15,2,0,5,6,0,0,28,48
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 502B","Mobile poll/Bureau itinérant",24,0,2,6,16,0,2,50,8
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 503A","Mobile poll/Bureau itinérant",33,0,2,8,14,0,4,61,72
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 503B","Mobile poll/Bureau itinérant",20,1,2,19,10,0,0,52,85
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 504","Mobile poll/Bureau itinérant",29,4,2,8,25,0,0,68,80
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 600","Lake Cowichan",141,1,10,42,117,1,1,313,
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 601","Nanaimo (Regional District)",223,0,23,55,177,1,0,479,
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 602","Nanaimo",202,0,19,59,171,3,1,455,
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 603","Nanaimo",297,2,38,112,211,1,2,663,
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 604","Nanaimo",214,0,18,71,194,1,1,499,
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 605","Gabriola Island 5",148,0,18,40,91,1,2,300,
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 606","Ladysmith",336,0,29,111,393,3,0,872,
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 607","North Cowichan",297,2,12,124,405,1,0,841,
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 608","Duncan",475,7,20,154,425,2,5,1088,
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 609","Cowichan Station",64,0,8,20,69,1,0,162,
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 610","Cowichan Bay",154,2,17,68,226,0,1,468,
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 611","Shawnigan Lake",60,0,8,32,75,0,0,175,
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 612","Mill Bay",155,1,17,93,243,0,2,511,
"Nanaimo--Cowichan/Nanaimo--Cowichan",,Group 1/Groupe 1,50,1,10,21,59,1,5,147,319
"Nanaimo--Cowichan/Nanaimo--Cowichan",,Group 2/Groupe 2,435,0,34,167,484,3,19,1142,
