Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Don Bell,Michael Hill,Sherry Shaghaghi,Cindy Silver,Jim Stephenson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"North Vancouver/North Vancouver"," 26","North Vancouver",126,0,14,123,26,0,289,463
"North Vancouver/North Vancouver"," 27","North Vancouver",113,0,19,130,13,3,278,423
"North Vancouver/North Vancouver"," 28","North Vancouver",143,2,24,103,30,0,302,448
"North Vancouver/North Vancouver"," 29","North Vancouver",133,0,31,99,24,0,287,432
"North Vancouver/North Vancouver"," 30","North Vancouver",129,0,31,124,26,0,310,458
"North Vancouver/North Vancouver"," 31","North Vancouver",128,0,28,102,21,0,279,442
"North Vancouver/North Vancouver"," 32","North Vancouver",90,0,10,96,12,0,208,331
"North Vancouver/North Vancouver"," 33","North Vancouver",152,3,32,110,23,1,321,438
"North Vancouver/North Vancouver"," 34","North Vancouver",110,0,33,111,28,0,282,444
"North Vancouver/North Vancouver"," 35","North Vancouver",145,1,16,92,24,0,278,401
"North Vancouver/North Vancouver"," 36","North Vancouver",159,1,21,123,21,0,325,484
"North Vancouver/North Vancouver"," 37","North Vancouver",118,0,24,103,25,0,270,460
"North Vancouver/North Vancouver"," 38","North Vancouver",102,1,31,96,14,2,246,434
"North Vancouver/North Vancouver"," 39","North Vancouver",78,0,31,50,9,0,168,308
"North Vancouver/North Vancouver"," 40","North Vancouver",92,0,34,86,19,0,231,358
"North Vancouver/North Vancouver"," 41","North Vancouver",102,0,40,99,23,0,264,408
"North Vancouver/North Vancouver"," 42","North Vancouver",98,0,18,127,36,2,281,417
"North Vancouver/North Vancouver"," 43","North Vancouver",122,0,29,106,31,1,289,416
"North Vancouver/North Vancouver"," 44","North Vancouver",100,0,30,91,17,0,238,365
"North Vancouver/North Vancouver"," 45","North Vancouver",73,0,11,73,13,0,170,276
"North Vancouver/North Vancouver"," 46","North Vancouver",138,0,30,118,22,1,309,465
"North Vancouver/North Vancouver"," 47","North Vancouver",98,0,21,114,19,0,252,406
"North Vancouver/North Vancouver"," 48","North Vancouver",133,0,36,115,29,0,313,478
"North Vancouver/North Vancouver"," 49","North Vancouver",93,0,40,135,21,0,289,446
"North Vancouver/North Vancouver"," 50","North Vancouver",114,0,26,95,23,0,258,355
"North Vancouver/North Vancouver"," 51","North Vancouver",138,1,37,89,22,0,287,396
"North Vancouver/North Vancouver"," 52","North Vancouver",87,1,24,136,23,1,272,375
"North Vancouver/North Vancouver"," 53","North Vancouver",110,0,35,121,28,0,294,430
