Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Cannis,Roxanne James,Dorothy Laxton,Andrew Strachan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Scarborough Centre/Scarborough-Centre"," 121","Scarborough",101,56,18,5,0,180,380
"Scarborough Centre/Scarborough-Centre"," 122","Scarborough",133,52,34,8,1,228,373
"Scarborough Centre/Scarborough-Centre"," 123","Scarborough",185,73,48,8,0,314,552
"Scarborough Centre/Scarborough-Centre"," 124A","Scarborough",103,26,30,1,3,163,305
"Scarborough Centre/Scarborough-Centre"," 124B","Scarborough",132,21,21,3,2,179,311
"Scarborough Centre/Scarborough-Centre"," 125","Scarborough",170,46,31,4,3,254,480
"Scarborough Centre/Scarborough-Centre"," 126","Scarborough",145,72,37,5,1,260,419
"Scarborough Centre/Scarborough-Centre"," 127","Scarborough",92,49,27,8,0,176,300
"Scarborough Centre/Scarborough-Centre"," 128","Scarborough",93,55,23,6,1,178,296
"Scarborough Centre/Scarborough-Centre"," 129","Scarborough",116,83,47,17,2,265,398
"Scarborough Centre/Scarborough-Centre"," 130","Scarborough",134,88,55,9,0,286,429
"Scarborough Centre/Scarborough-Centre"," 131","Scarborough",93,56,27,9,0,185,395
"Scarborough Centre/Scarborough-Centre"," 132","Scarborough",100,42,17,2,0,161,366
"Scarborough Centre/Scarborough-Centre"," 133","Scarborough",100,55,34,2,0,191,336
"Scarborough Centre/Scarborough-Centre"," 134","Scarborough",105,44,28,7,1,185,366
"Scarborough Centre/Scarborough-Centre"," 135","Scarborough",137,44,16,8,1,206,403
"Scarborough Centre/Scarborough-Centre"," 136","Scarborough",109,59,32,8,1,209,386
"Scarborough Centre/Scarborough-Centre"," 137","Scarborough",65,33,26,4,3,131,213
"Scarborough Centre/Scarborough-Centre"," 138","Scarborough",133,52,19,12,0,216,369
"Scarborough Centre/Scarborough-Centre"," 139","Scarborough",86,60,22,4,0,172,292
"Scarborough Centre/Scarborough-Centre"," 140","Scarborough",109,73,58,6,1,247,449
"Scarborough Centre/Scarborough-Centre"," 141","Scarborough",87,42,22,3,1,155,278
"Scarborough Centre/Scarborough-Centre"," 142","Scarborough",68,29,25,6,0,128,279
"Scarborough Centre/Scarborough-Centre"," 143","Scarborough",94,52,19,2,0,167,315
"Scarborough Centre/Scarborough-Centre"," 144","Scarborough",106,60,27,18,0,211,338
"Scarborough Centre/Scarborough-Centre"," 145","Scarborough",85,41,31,5,0,162,327
"Scarborough Centre/Scarborough-Centre"," 146","Scarborough",142,69,25,5,1,242,455
"Scarborough Centre/Scarborough-Centre"," 147","Scarborough",87,52,31,4,1,175,505
"Scarborough Centre/Scarborough-Centre"," 148","Scarborough",133,32,21,4,0,190,361
"Scarborough Centre/Scarborough-Centre"," 149","Scarborough",91,6,19,0,1,117,256
"Scarborough Centre/Scarborough-Centre"," 150","Scarborough",58,30,32,1,0,121,247
"Scarborough Centre/Scarborough-Centre"," 151","Scarborough",120,41,18,5,0,184,337
"Scarborough Centre/Scarborough-Centre"," 152","Scarborough",121,30,22,5,1,179,396
"Scarborough Centre/Scarborough-Centre"," 153","Scarborough",207,51,34,5,1,298,460
"Scarborough Centre/Scarborough-Centre"," 154","Scarborough",136,70,35,3,0,244,396
"Scarborough Centre/Scarborough-Centre"," 155","Scarborough",162,102,29,6,1,300,434
"Scarborough Centre/Scarborough-Centre"," 156","Scarborough",104,43,30,4,0,181,288
"Scarborough Centre/Scarborough-Centre"," 157","Scarborough",191,51,42,3,1,288,489
"Scarborough Centre/Scarborough-Centre"," 158","Scarborough",66,43,20,7,1,137,295
"Scarborough Centre/Scarborough-Centre"," 159","Scarborough",163,52,43,2,0,260,479
"Scarborough Centre/Scarborough-Centre"," 400","Scarborough",167,66,51,5,0,289,396
"Scarborough Centre/Scarborough-Centre"," 401","Scarborough",Void/Supprimé,,,,,,
"Scarborough Centre/Scarborough-Centre"," 402","Scarborough",54,47,19,1,0,121,181
"Scarborough Centre/Scarborough-Centre"," 403","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,132
"Scarborough Centre/Scarborough-Centre"," 404","Scarborough",43,21,16,3,2,85,204
"Scarborough Centre/Scarborough-Centre"," 405","Scarborough",111,46,43,6,3,209,317
"Scarborough Centre/Scarborough-Centre"," 406","Scarborough",126,73,31,12,0,242,383
"Scarborough Centre/Scarborough-Centre"," 407A","Scarborough",85,48,10,11,0,154,334
"Scarborough Centre/Scarborough-Centre"," 407B","Scarborough",73,57,27,3,0,160,367
"Scarborough Centre/Scarborough-Centre"," 408","Scarborough",126,54,22,2,0,204,400
"Scarborough Centre/Scarborough-Centre"," 409","Scarborough",121,64,28,6,0,219,453
"Scarborough Centre/Scarborough-Centre"," 410","Scarborough",44,23,15,3,0,85,189
"Scarborough Centre/Scarborough-Centre"," 411","Scarborough",198,64,36,3,0,301,543
"Scarborough Centre/Scarborough-Centre"," 412","Scarborough",91,41,27,5,0,164,318
"Scarborough Centre/Scarborough-Centre"," 413","Scarborough",113,43,43,5,0,204,313
"Scarborough Centre/Scarborough-Centre"," 414","Scarborough",Void/Supprimé,,,,,,
"Scarborough Centre/Scarborough-Centre"," 415","Scarborough",109,47,29,5,0,190,339
"Scarborough Centre/Scarborough-Centre"," 416","Scarborough",117,38,22,8,1,186,322
"Scarborough Centre/Scarborough-Centre"," 417","Scarborough",Void/Supprimé,,,,,,
"Scarborough Centre/Scarborough-Centre"," 418","Scarborough",34,14,15,5,0,68,179
"Scarborough Centre/Scarborough-Centre"," 419","Scarborough",56,20,21,3,0,100,266
"Scarborough Centre/Scarborough-Centre"," 420","Scarborough",44,12,13,0,0,69,210
"Scarborough Centre/Scarborough-Centre"," 421","Scarborough",87,42,21,4,0,154,295
"Scarborough Centre/Scarborough-Centre"," 500","Mobile poll/Bureau itinérant",106,15,19,4,1,145,70
"Scarborough Centre/Scarborough-Centre"," 600","Toronto",197,144,32,4,0,377,
"Scarborough Centre/Scarborough-Centre"," 601","Toronto",239,190,56,19,4,508,
"Scarborough Centre/Scarborough-Centre"," 602","Toronto",162,160,50,9,0,381,
"Scarborough Centre/Scarborough-Centre"," 603","Toronto",240,212,64,11,0,527,
"Scarborough Centre/Scarborough-Centre"," 604","Toronto",165,113,25,8,0,311,
"Scarborough Centre/Scarborough-Centre"," 605","Toronto",86,107,28,6,5,232,
"Scarborough Centre/Scarborough-Centre"," 606","Toronto",200,164,37,13,0,414,
"Scarborough Centre/Scarborough-Centre"," 607","Toronto",114,68,20,6,0,208,
"Scarborough Centre/Scarborough-Centre"," 608","Toronto",191,111,45,12,0,359,
"Scarborough Centre/Scarborough-Centre",,Group 1/Groupe 1,23,20,2,4,3,52,91
"Scarborough Centre/Scarborough-Centre",,Group 2/Groupe 2,322,218,65,13,15,633,
