Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Serge Cardin,Claudia Laroche-Martel,Marc Nadeau,Martin Plaisance,Robert Pouliot,Michel Quirion,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Sherbrooke/Sherbrooke"," 174A","Sherbrooke",66,3,20,17,25,7,0,138,290
"Sherbrooke/Sherbrooke"," 174B","Sherbrooke",71,0,21,12,20,6,2,132,289
"Sherbrooke/Sherbrooke"," 175","Sherbrooke",56,0,33,5,17,11,1,123,244
"Sherbrooke/Sherbrooke"," 176","Sherbrooke",64,2,18,8,15,6,1,114,275
"Sherbrooke/Sherbrooke"," 177","Sherbrooke",145,3,70,27,27,15,2,289,449
"Sherbrooke/Sherbrooke"," 178","Sherbrooke",135,2,77,22,34,8,2,280,377
"Sherbrooke/Sherbrooke"," 179","Sherbrooke",140,2,52,19,21,9,1,244,328
"Sherbrooke/Sherbrooke"," 180","Sherbrooke",127,0,35,21,25,11,1,220,346
"Sherbrooke/Sherbrooke"," 181","Sherbrooke",149,3,31,15,18,11,2,229,373
"Sherbrooke/Sherbrooke"," 182","Sherbrooke",105,1,25,26,16,18,1,192,309
"Sherbrooke/Sherbrooke"," 183","Sherbrooke",128,2,50,16,35,10,3,244,336
"Sherbrooke/Sherbrooke"," 184","Sherbrooke",132,2,48,24,28,7,3,244,365
"Sherbrooke/Sherbrooke"," 185","Sherbrooke",133,1,53,20,29,13,4,253,346
"Sherbrooke/Sherbrooke"," 186","Sherbrooke",103,0,46,25,29,14,3,220,328
"Sherbrooke/Sherbrooke"," 187","Sherbrooke",125,1,35,33,13,11,2,220,331
"Sherbrooke/Sherbrooke"," 188","Sherbrooke",105,0,35,19,17,19,0,195,320
"Sherbrooke/Sherbrooke"," 189","Sherbrooke",132,1,46,25,26,10,2,242,395
"Sherbrooke/Sherbrooke"," 190","Sherbrooke",83,0,17,15,20,6,1,142,533
"Sherbrooke/Sherbrooke"," 191","Sherbrooke",120,0,29,18,12,10,7,196,324
"Sherbrooke/Sherbrooke"," 192","Sherbrooke",150,2,28,13,14,12,2,221,384
"Sherbrooke/Sherbrooke"," 193","Sherbrooke",96,1,57,21,45,13,3,236,489
"Sherbrooke/Sherbrooke"," 194A","Sherbrooke",103,0,20,20,13,5,2,163,287
"Sherbrooke/Sherbrooke"," 194B","Mobile poll/Bureau itinérant",Merged with No. 505A/Fusionné avec le nº 505A,,,,,,,,76
"Sherbrooke/Sherbrooke"," 195","Sherbrooke",118,2,36,11,19,13,0,199,360
"Sherbrooke/Sherbrooke"," 196","Sherbrooke",94,0,32,17,16,9,0,168,309
"Sherbrooke/Sherbrooke"," 197","Sherbrooke",128,1,21,41,24,21,3,239,431
"Sherbrooke/Sherbrooke"," 400","Sherbrooke",15,2,7,3,17,5,8,57,262
"Sherbrooke/Sherbrooke"," 500","Mobile poll/Bureau itinérant",48,2,60,6,71,2,1,190,248
"Sherbrooke/Sherbrooke"," 501","Mobile poll/Bureau itinérant",24,3,30,5,26,3,2,93,207
"Sherbrooke/Sherbrooke"," 502A","Mobile poll/Bureau itinérant",22,1,34,2,49,2,8,118,128
"Sherbrooke/Sherbrooke"," 502B","Mobile poll/Bureau itinérant",13,1,16,5,21,0,1,57,32
"Sherbrooke/Sherbrooke"," 503","Mobile poll/Bureau itinérant",23,3,24,4,29,1,8,92,148
"Sherbrooke/Sherbrooke"," 504","Mobile poll/Bureau itinérant",23,3,22,4,21,2,3,78,123
"Sherbrooke/Sherbrooke"," 505A","Mobile poll/Bureau itinérant",30,4,40,6,45,2,0,127,60
"Sherbrooke/Sherbrooke"," 505B","Mobile poll/Bureau itinérant",21,2,24,2,43,1,4,97,78
"Sherbrooke/Sherbrooke"," 506","Mobile poll/Bureau itinérant",38,1,23,7,41,2,0,112,200
"Sherbrooke/Sherbrooke"," 507A","Mobile poll/Bureau itinérant",14,1,9,2,14,0,3,43,50
"Sherbrooke/Sherbrooke"," 507B","Mobile poll/Bureau itinérant",52,2,36,5,44,2,3,144,214
"Sherbrooke/Sherbrooke"," 600","Sherbrooke",170,2,65,16,59,9,2,323,
"Sherbrooke/Sherbrooke"," 601","Sherbrooke",291,3,182,36,149,18,3,682,
"Sherbrooke/Sherbrooke"," 602","Sherbrooke",219,1,119,40,129,23,5,536,
"Sherbrooke/Sherbrooke"," 603","Sherbrooke",433,4,196,41,117,15,5,811,
"Sherbrooke/Sherbrooke"," 604","Sherbrooke",178,2,118,20,122,7,10,457,
"Sherbrooke/Sherbrooke"," 605","Sherbrooke",172,1,77,33,113,16,3,415,
"Sherbrooke/Sherbrooke"," 606","Sherbrooke",187,5,108,30,107,9,7,453,
"Sherbrooke/Sherbrooke"," 607","Sherbrooke",88,1,51,16,55,7,1,219,
"Sherbrooke/Sherbrooke"," 608","Sherbrooke",139,2,54,15,62,10,5,287,
"Sherbrooke/Sherbrooke"," 609","Sherbrooke",120,2,94,15,49,7,4,291,
"Sherbrooke/Sherbrooke",,Group 1/Groupe 1,48,3,48,7,22,9,4,141,306
"Sherbrooke/Sherbrooke",,Group 2/Groupe 2,1191,9,376,123,763,43,52,2557,
