Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,James Bender,Zoé Kunschner,Dave MacKenzie,John Markus,Greig Mordue,Kaye Sargent,Ronnee Sykes,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Oxford/Oxford"," 176","Vandecar",1,27,130,13,25,0,2,0,198,277
"Oxford/Oxford"," 177","Holbrook",1,23,114,44,34,3,2,0,221,325
"Oxford/Oxford"," 178","Burgessville",1,26,170,47,45,0,8,0,297,485
"Oxford/Oxford"," 179","Norwich",3,25,98,24,29,0,5,1,185,288
"Oxford/Oxford"," 180","Norwich",3,20,118,44,50,0,3,0,238,385
"Oxford/Oxford"," 181","Norwich",4,53,140,16,47,1,8,0,269,440
"Oxford/Oxford"," 182","Norwich",1,32,108,15,40,1,4,1,202,358
"Oxford/Oxford"," 183","Norwich",1,27,68,18,33,0,7,0,154,298
"Oxford/Oxford"," 184","Norwich",5,26,93,12,38,0,6,0,180,306
"Oxford/Oxford"," 185","Norwich",2,49,117,13,40,2,2,0,225,402
"Oxford/Oxford"," 186","Norwich",1,5,75,19,28,0,2,0,130,217
"Oxford/Oxford"," 187","Springford",2,34,132,13,26,0,15,0,222,350
"Oxford/Oxford"," 188","Norwich",7,34,154,13,39,2,9,0,258,393
"Oxford/Oxford"," 189","Otterville",1,32,171,10,70,2,13,2,301,448
"Oxford/Oxford"," 190","Hawtrey",1,23,75,7,35,0,5,0,146,196
"Oxford/Oxford"," 191","Otterville",2,22,99,6,31,0,1,1,162,251
"Oxford/Oxford"," 192","Hawtrey",2,16,90,1,48,1,5,1,164,297
"Oxford/Oxford"," 500","Mobile poll/Bureau itinérant",5,3,41,1,29,1,3,1,84,150
"Oxford/Oxford"," 501","Mobile poll/Bureau itinérant",3,3,46,4,11,4,0,1,72,97
"Oxford/Oxford"," 502","Mobile poll/Bureau itinérant",3,4,33,1,19,3,2,0,65,157
"Oxford/Oxford"," 503","Mobile poll/Bureau itinérant",0,2,23,6,10,0,0,0,41,62
"Oxford/Oxford"," 504","Mobile poll/Bureau itinérant",2,9,20,1,17,0,3,2,54,160
"Oxford/Oxford"," 600","Zorra",6,46,148,4,88,0,11,0,303,
"Oxford/Oxford"," 601","East Zorra-Tavistock",2,24,157,10,85,0,11,0,289,
"Oxford/Oxford"," 602","Blandford-Blenheim",2,32,147,2,107,2,23,1,316,
"Oxford/Oxford"," 603","Woodstock",4,65,376,9,257,3,18,1,733,
"Oxford/Oxford"," 604","Woodstock",3,77,219,10,169,3,11,2,494,
"Oxford/Oxford"," 605","Woodstock",7,76,289,11,134,3,17,3,540,
"Oxford/Oxford"," 606","Ingersoll",5,105,341,14,176,6,35,1,683,
"Oxford/Oxford"," 607","South-West Oxford",2,48,255,15,62,1,12,1,396,
"Oxford/Oxford"," 608","Tillsonburg",2,54,336,4,147,1,10,0,554,
"Oxford/Oxford"," 609","Tillsonburg",4,37,288,2,171,2,11,2,517,
"Oxford/Oxford"," 610","Norwich",2,41,277,29,99,2,13,2,465,
"Oxford/Oxford",,Group 1/Groupe 1,4,7,33,3,16,0,3,1,67,161
"Oxford/Oxford",,Group 2/Groupe 2,14,196,948,23,667,10,47,12,1917,
