Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ken Bell,Jim Comiskey,Kathleen Kevany,Dave Van Kesteren,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 118","Chatham",6,53,53,48,0,160,341
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 119","Chatham",8,75,70,54,1,208,376
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 120","Chatham",4,27,24,37,1,93,192
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 121","Chatham",4,66,52,57,0,179,334
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 122","Chatham",11,71,36,72,0,190,382
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 123","Chatham",5,68,39,65,0,177,336
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 124","Chatham",11,68,50,60,0,189,381
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 125","Chatham",7,71,63,99,0,240,334
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 126","Chatham",4,59,59,85,1,208,291
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 127","Chatham",10,46,51,72,1,180,388
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 128","Chatham",12,60,50,54,2,178,349
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 129","Chatham",5,30,47,36,1,119,271
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 130","Chatham",6,74,58,98,1,237,383
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 131","Chatham",5,63,48,61,1,178,400
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 132","Chatham",6,66,20,40,1,133,217
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 133","Chatham",6,103,55,75,0,239,379
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 134","Chatham",4,63,46,82,0,195,341
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 135","Chatham",4,52,48,43,0,147,336
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 136","Chatham",11,79,36,76,0,202,325
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 137","Chatham",7,60,60,36,2,165,286
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 138","Chatham",2,52,40,22,0,116,250
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 139","Chatham",8,57,67,43,0,175,369
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 140","Chatham",5,33,58,51,0,147,341
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 141","Chatham",2,40,63,50,4,159,305
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 142","Chatham",2,13,25,34,0,74,155
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 143","Chatham",3,41,41,49,0,134,346
