Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Patty Donovan,Eldon Hunter,Rob Moir,Rob Moore,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Fundy Royal/Fundy Royal"," 122B","Quispamsis",2,55,28,99,0,184,291
"Fundy Royal/Fundy Royal"," 123","Quispamsis",4,47,24,75,1,151,263
"Fundy Royal/Fundy Royal"," 124","Quispamsis",9,32,42,79,3,165,294
"Fundy Royal/Fundy Royal"," 125","Quispamsis",7,26,30,33,2,98,214
"Fundy Royal/Fundy Royal"," 126","Quispamsis",4,23,27,30,0,84,203
"Fundy Royal/Fundy Royal"," 127","Quispamsis",1,38,30,43,0,112,244
"Fundy Royal/Fundy Royal"," 128A","Quispamsis",6,53,28,90,0,177,323
"Fundy Royal/Fundy Royal"," 128B","Quispamsis",7,63,31,88,0,189,312
"Fundy Royal/Fundy Royal"," 129A","Quispamsis",5,51,62,90,1,209,359
"Fundy Royal/Fundy Royal"," 129B","Quispamsis",6,61,42,108,3,220,371
"Fundy Royal/Fundy Royal"," 130","Quispamsis",6,71,34,82,0,193,296
"Fundy Royal/Fundy Royal"," 131","Quispamsis",1,75,38,90,2,206,376
"Fundy Royal/Fundy Royal"," 132A","Quispamsis",5,43,16,82,2,148,269
"Fundy Royal/Fundy Royal"," 132B","Quispamsis",2,64,27,91,1,185,321
"Fundy Royal/Fundy Royal"," 133A","Quispamsis",3,54,26,62,0,145,255
"Fundy Royal/Fundy Royal"," 133B","Quispamsis",3,56,24,91,0,174,272
"Fundy Royal/Fundy Royal"," 134","Quispamsis",11,90,28,96,0,225,395
"Fundy Royal/Fundy Royal"," 135A","Quispamsis",5,102,39,101,0,247,375
"Fundy Royal/Fundy Royal"," 135B","Quispamsis",5,99,34,133,1,272,432
"Fundy Royal/Fundy Royal"," 136","Quispamsis",12,88,48,128,0,276,459
"Fundy Royal/Fundy Royal"," 137","Quispamsis",13,111,50,101,2,277,433
"Fundy Royal/Fundy Royal"," 138A","Quispamsis",8,52,29,70,0,159,250
"Fundy Royal/Fundy Royal"," 138B","Quispamsis",3,60,24,56,0,143,244
"Fundy Royal/Fundy Royal"," 139","Quispamsis",10,80,53,116,0,259,429
"Fundy Royal/Fundy Royal"," 500","Mobile poll/Bureau itinérant",1,31,5,34,0,71,120
"Fundy Royal/Fundy Royal"," 501","Mobile poll/Bureau itinérant",4,10,5,13,0,32,85
"Fundy Royal/Fundy Royal"," 502","Mobile poll/Bureau itinérant",5,18,3,19,3,48,84
"Fundy Royal/Fundy Royal"," 600","Cumberland Bay",0,23,2,34,3,62,
"Fundy Royal/Fundy Royal"," 601","Petitcodiac",6,83,40,165,4,298,
"Fundy Royal/Fundy Royal"," 602","Salisbury",14,92,57,241,3,407,
"Fundy Royal/Fundy Royal"," 603","Riverview",11,132,45,162,1,351,
"Fundy Royal/Fundy Royal"," 604","Riverview",9,75,29,134,2,249,
"Fundy Royal/Fundy Royal"," 605","Hillsborough",2,33,25,120,1,181,
"Fundy Royal/Fundy Royal"," 606","Riverside-Albert",2,38,14,81,0,135,
"Fundy Royal/Fundy Royal"," 607","Sussex Corner",4,85,53,151,2,295,
"Fundy Royal/Fundy Royal"," 608","Sussex",9,94,32,239,2,376,
"Fundy Royal/Fundy Royal"," 609","St. Martins",2,43,15,83,1,144,
"Fundy Royal/Fundy Royal"," 610","Simonds",8,53,41,135,0,237,
"Fundy Royal/Fundy Royal"," 611","Norton",2,77,13,112,0,204,
"Fundy Royal/Fundy Royal"," 612","Hampton",13,133,83,290,3,522,
"Fundy Royal/Fundy Royal"," 613","Kingston",16,38,34,94,0,182,
"Fundy Royal/Fundy Royal"," 614","Quispamsis",13,156,94,285,3,551,
"Fundy Royal/Fundy Royal"," 615","Quispamsis",16,137,62,220,0,435,
"Fundy Royal/Fundy Royal",,Group 1/Groupe 1,10,33,19,50,5,117,284
"Fundy Royal/Fundy Royal",,Group 2/Groupe 2,22,261,103,370,17,773,
