Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Russ Hiebert,Brian Marlatt,Jim McMurtry,Pierre Rovtar,Libby Thornton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 187A","White Rock",59,1,56,12,25,0,153,258
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 187B","White Rock",47,0,79,15,38,1,180,292
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 188","White Rock",66,0,72,14,34,0,186,356
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 189","White Rock",93,1,76,15,41,0,226,448
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 190","White Rock",95,1,60,20,38,0,214,319
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 191A","White Rock",66,0,50,20,37,0,173,307
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 191B","Mobile poll/Bureau itinérant",Merged with No. 503B/Fusionné avec le nº 503B,,,,,,,39
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 192","White Rock",90,1,72,19,53,1,236,402
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 193","White Rock",74,1,61,10,54,0,200,377
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 194","White Rock",65,0,91,18,44,0,218,433
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 400","Surrey",88,0,83,12,42,1,226,473
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 401","Mobile poll/Bureau itinérant",Merged with No. 502B/Fusionné avec le nº 502B,,,,,,,52
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 500","Mobile poll/Bureau itinérant",73,0,51,4,22,1,151,173
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 501","Mobile poll/Bureau itinérant",73,1,44,3,20,1,142,223
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 502A","Mobile poll/Bureau itinérant",58,6,26,2,20,1,113,143
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 502B","Mobile poll/Bureau itinérant",43,2,14,3,20,2,84,60
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 503A","Mobile poll/Bureau itinérant",68,2,36,2,28,0,136,65
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 503B","Mobile poll/Bureau itinérant",29,1,24,3,26,0,83,32
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 504","Mobile poll/Bureau itinérant",Merged with No. 503B/Fusionné avec le nº 503B,,,,,,,27
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 505","Mobile poll/Bureau itinérant",45,2,29,2,27,1,106,144
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 600","Surrey",263,4,106,4,60,1,438,
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 601","Surrey",412,1,200,15,94,2,724,
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 602","Surrey",572,3,287,44,95,0,1001,
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 603","Surrey",370,3,190,33,62,1,659,
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 604","Surrey",490,3,291,24,150,1,959,
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 605","Semiahmoo--Surrey",397,5,166,25,42,0,635,
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 606","White Rock",382,2,284,41,105,2,816,
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 607","White Rock",350,4,199,34,120,0,707,
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale",,Group 1/Groupe 1,25,1,25,4,12,1,68,114
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale",,Group 2/Groupe 2,888,9,442,42,149,11,1541,
