Geographic code,Geographic name,"Geographic Name, province or territory","Geographic Code, province or territory",Global non-response rate,Data quality flag,Sex,Total (2016 Counts),Broad Age Groups: 0 to 14 (2016 Counts),Broad Age Groups: 15 to 64 (2016 Counts),Broad Age Groups: 65 years and over (2016 Counts),Broad Age Groups: 85 years and over (2016 Counts),Total (2011 Counts),Broad Age Groups: 0 to 14 (2011 Counts),Broad Age Groups: 15 to 64 (2011 Counts),Broad Age Groups: 65 years and over (2011 Counts),Broad Age Groups: 85 years and over (2011 Counts),Total (% Distribution 2016),Broad Age Groups: 0 to 14 (% Distribution 2016) ,Broad Age Groups: 15 to 64 (% Distribution 2016),Broad Age Groups: 65 years and over (% Distribution 2016),Broad Age Groups: 85 years and over (% Distribution 2016),Total (% Distribution 2011),Broad Age Groups: 0 to 14 (% Distribution 2011) ,Broad Age Groups: 15 to 64 (% Distribution 2011),Broad Age Groups: 65 years and over (% Distribution 2011),Broad Age Groups: 85 years and over (% Distribution 2011),Total (Percent Change 2011 to 2016),Broad Age Groups: 0 to 14 (Percent Change 2011 to 2016),Broad Age Groups: 15 to 64 (Percent Change 2011 to 2016),Broad Age Groups: 65 years and over (Percent Change 2011 to 2016),Broad Age Groups: 85 years and over (Percent Change 2011 to 2016)
24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Quebec,24,3.9,00000,Female,48020,6655,28870,12495,2110,49140,6665,31455,11015,1970,100,13.9,60.1,26,4.4,100,13.6,64,22.4,4,-2.3,-0.2,-8.2,13.4,7.1
24052,Mount Royal,Quebec,24,3.3,00000,Both sexes,103320,18900,64390,20030,4060,101260,18705,63655,18900,4000,100,18.3,62.3,19.4,3.9,100,18.5,62.9,18.7,4,2,1,1.2,6,1.5
24052,Mount Royal,Quebec,24,3.3,00000,Male,48690,9765,30610,8315,1435,47060,9600,29790,7670,1390,100,20.1,62.9,17.1,2.9,100,20.4,63.3,16.3,3,3.5,1.7,2.8,8.4,3.2
24052,Mount Royal,Quebec,24,3.3,00000,Female,54630,9130,33780,11715,2620,54195,9110,33860,11230,2615,100,16.7,61.8,21.4,4.8,100,16.8,62.5,20.7,4.8,0.8,0.2,-0.2,4.3,0.2
24053,Notre-Dame-de-Grâce--Westmount,Quebec,24,3.4,00000,Both sexes,104970,16455,69640,18885,3270,104700,15895,71795,17010,3130,100,15.7,66.3,18,3.1,100,15.2,68.6,16.2,3,0.3,3.5,-3,11,4.5
24053,Notre-Dame-de-Grâce--Westmount,Quebec,24,3.4,00000,Male,49535,8290,33415,7830,1040,49065,8005,34330,6730,870,100,16.7,67.5,15.8,2.1,100,16.3,70,13.7,1.8,1,3.6,-2.7,16.3,19.5
24053,Notre-Dame-de-Grâce--Westmount,Quebec,24,3.4,00000,Female,55435,8165,36225,11055,2225,55635,7900,37465,10275,2265,100,14.7,65.3,19.9,4,100,14.2,67.3,18.5,4.1,-0.4,3.4,-3.3,7.6,-1.8
24054,Outremont,Quebec,24,5.0,00000,Both sexes,102090,16470,71185,14435,2460,100915,15595,72105,13215,2230,100,16.1,69.7,14.1,2.4,100,15.5,71.5,13.1,2.2,1.2,5.6,-1.3,9.2,10.3
24054,Outremont,Quebec,24,5.0,00000,Male,49755,8495,35545,5710,710,48615,7960,35690,4965,595,100,17.1,71.4,11.5,1.4,100,16.4,73.4,10.2,1.2,2.3,6.7,-0.4,15,19.3
24054,Outremont,Quebec,24,5.0,00000,Female,52335,7970,35640,8720,1750,52300,7635,36415,8250,1635,100,15.2,68.1,16.7,3.3,100,14.6,69.6,15.8,3.1,0.1,4.4,-2.1,5.7,7
24055,Papineau,Quebec,24,3.4,00000,Both sexes,110750,17000,78755,14995,2320,108975,16870,77585,14515,1855,100,15.3,71.1,13.5,2.1,100,15.5,71.2,13.3,1.7,1.6,0.8,1.5,3.3,25.1
24055,Papineau,Quebec,24,3.4,00000,Male,55475,8760,40235,6485,795,54085,8615,39415,6055,565,100,15.8,72.5,11.7,1.4,100,15.9,72.9,11.2,1,2.6,1.7,2.1,7.1,40.7
24055,Papineau,Quebec,24,3.4,00000,Female,55275,8235,38520,8515,1525,54895,8255,38175,8465,1295,100,14.9,69.7,15.4,2.8,100,15,69.5,15.4,2.4,0.7,-0.2,0.9,0.6,17.8
24056,Pierrefonds--Dollard,Quebec,24,2.3,00000,Both sexes,108585,18365,71275,18945,2185,108740,19035,73780,15925,1800,100,16.9,65.6,17.4,2,100,17.5,67.8,14.6,1.7,-0.1,-3.5,-3.4,19,21.4
24056,Pierrefonds--Dollard,Quebec,24,2.3,00000,Male,52735,9375,34825,8535,775,52735,9770,35925,7040,575,100,17.8,66,16.2,1.5,100,18.5,68.1,13.3,1.1,0,-4,-3.1,21.2,34.8
24056,Pierrefonds--Dollard,Quebec,24,2.3,00000,Female,55850,8990,36450,10415,1405,56010,9265,37855,8885,1225,100,16.1,65.3,18.6,2.5,100,16.5,67.6,15.9,2.2,-0.3,-3,-3.7,17.2,14.7
24057,Pontiac,Quebec,24,3.6,20000,Both sexes,115535,22625,76910,15990,1190,106500,19905,74190,12400,945,100,19.6,66.6,13.8,1,100,18.7,69.7,11.6,0.9,8.5,13.7,3.7,29,25.9
24057,Pontiac,Quebec,24,3.6,20000,Male,57905,11470,38360,8075,460,53700,10260,37320,6115,290,100,19.8,66.2,13.9,0.8,100,19.1,69.5,11.4,0.5,7.8,11.8,2.8,32.1,58.6
24057,Pontiac,Quebec,24,3.6,20000,Female,57620,11155,38550,7920,730,52800,9640,36870,6285,655,100,19.4,66.9,13.7,1.3,100,18.3,69.8,11.9,1.2,9.1,15.7,4.6,26,11.5
24058,Portneuf--Jacques-Cartier,Quebec,24,3.5,00000,Both sexes,115315,22075,75025,18215,1905,104395,18825,71650,13925,1550,100,19.1,65.1,15.8,1.7,100,18,68.6,13.3,1.5,10.5,17.3,4.7,30.8,22.9
24058,Portneuf--Jacques-Cartier,Quebec,24,3.5,00000,Male,58585,11335,38360,8890,635,52875,9630,36705,6545,465,100,19.3,65.5,15.2,1.1,100,18.2,69.4,12.4,0.9,10.8,17.7,4.5,35.8,36.6
24058,Portneuf--Jacques-Cartier,Quebec,24,3.5,00000,Female,56730,10735,36665,9325,1270,51515,9195,34945,7380,1080,100,18.9,64.6,16.4,2.2,100,17.8,67.8,14.3,2.1,10.1,16.7,4.9,26.4,17.6
24059,Québec,Quebec,24,6.0,00000,Both sexes,97145,9850,64105,23185,4210,96525,8865,66985,20680,3820,100,10.1,66,23.9,4.3,100,9.2,69.4,21.4,4,0.6,11.1,-4.3,12.1,10.2
24059,Québec,Quebec,24,6.0,00000,Male,46885,4945,32595,9345,1140,46115,4370,34065,7680,895,100,10.5,69.5,19.9,2.4,100,9.5,73.9,16.7,1.9,1.7,13.2,-4.3,21.7,27.4
24059,Québec,Quebec,24,6.0,00000,Female,50260,4910,31510,13840,3070,50410,4490,32915,13000,2930,100,9.8,62.7,27.5,6.1,100,8.9,65.3,25.8,5.8,-0.3,9.4,-4.3,6.5,4.8
24060,Repentigny,Quebec,24,2.2,00000,Both sexes,116065,19860,76265,19940,2030,111190,18295,77205,15695,1405,100,17.1,65.7,17.2,1.7,100,16.5,69.4,14.1,1.3,4.4,8.6,-1.2,27,44.5
24060,Repentigny,Quebec,24,2.2,00000,Male,56600,10170,37415,9015,705,54320,9395,37890,7035,435,100,18,66.1,15.9,1.2,100,17.3,69.8,13,0.8,4.2,8.2,-1.3,28.1,62.1
24060,Repentigny,Quebec,24,2.2,00000,Female,59465,9685,38850,10930,1320,56870,8900,39310,8665,970,100,16.3,65.3,18.4,2.2,100,15.6,69.1,15.2,1.7,4.6,8.8,-1.2,26.1,36.1
24061,Richmond--Arthabaska,Quebec,24,4.3,00000,Both sexes,107240,17875,66375,22990,2985,103900,16965,68235,18695,2420,100,16.7,61.9,21.4,2.8,100,16.3,65.7,18,2.3,3.2,5.4,-2.7,23,23.3
24061,Richmond--Arthabaska,Quebec,24,4.3,00000,Male,53480,9260,33590,10635,990,51740,8840,34600,8300,700,100,17.3,62.8,19.9,1.9,100,17.1,66.9,16,1.4,3.4,4.8,-2.9,28.1,41.4
24061,Richmond--Arthabaska,Quebec,24,4.3,00000,Female,53765,8620,32790,12355,2000,52160,8130,33635,10390,1725,100,16,61,23,3.7,100,15.6,64.5,19.9,3.3,3.1,6,-2.5,18.9,15.9
24062,Rivière-des-Mille-Îles,Quebec,24,2.5,00000,Both sexes,102345,17820,68750,15775,1485,102815,18510,71755,12550,1175,100,17.4,67.2,15.4,1.5,100,18,69.8,12.2,1.1,-0.5,-3.7,-4.2,25.7,26.4
24062,Rivière-des-Mille-Îles,Quebec,24,2.5,00000,Male,50215,9185,33995,7035,515,50320,9535,35305,5480,340,100,18.3,67.7,14,1,100,18.9,70.2,10.9,0.7,-0.2,-3.7,-3.7,28.4,51.5
24062,Rivière-des-Mille-Îles,Quebec,24,2.5,00000,Female,52130,8630,34755,8745,965,52495,8970,36455,7070,830,100,16.6,66.7,16.8,1.9,100,17.1,69.4,13.5,1.6,-0.7,-3.8,-4.7,23.7,16.3
24063,Rivière-du-Nord,Quebec,24,4.0,00000,Both sexes,112155,18095,73315,20745,2320,102085,15820,69985,16280,1600,100,16.1,65.4,18.5,2.1,100,15.5,68.6,15.9,1.6,9.9,14.4,4.8,27.4,45
24063,Rivière-du-Nord,Quebec,24,4.0,00000,Male,55265,9310,36570,9390,760,50200,8105,34815,7275,485,100,16.8,66.2,17,1.4,100,16.1,69.4,14.5,1,10.1,14.9,5,29.1,56.7
24063,Rivière-du-Nord,Quebec,24,4.0,00000,Female,56890,8785,36750,11355,1560,51890,7710,35170,9005,1115,100,15.4,64.6,20,2.7,100,14.9,67.8,17.4,2.1,9.6,13.9,4.5,26.1,39.9
24064,Rosemont--La Petite-Patrie,Quebec,24,4.0,00000,Both sexes,110675,15070,81395,14215,2320,106295,13265,79855,13170,1990,100,13.6,73.5,12.8,2.1,100,12.5,75.1,12.4,1.9,4.1,13.6,1.9,7.9,16.6
24064,Rosemont--La Petite-Patrie,Quebec,24,4.0,00000,Male,53405,7655,40250,5500,570,51535,6765,39790,4975,520,100,14.3,75.4,10.3,1.1,100,13.1,77.2,9.7,1,3.6,13.2,1.2,10.6,9.6
24064,Rosemont--La Petite-Patrie,Quebec,24,4.0,00000,Female,57270,7415,41140,8720,1745,54760,6505,40065,8195,1465,100,12.9,71.8,15.2,3,100,11.9,73.2,15,2.7,4.6,14,2.7,6.4,19.1
24065,Marc-Aurèle-Fortin,Quebec,24,2.3,00000,Both sexes,101750,19720,69030,13000,1435,96070,18585,67110,10375,910,100,19.4,67.8,12.8,1.4,100,19.3,69.9,10.8,0.9,5.9,6.1,2.9,25.3,57.7
24065,Marc-Aurèle-Fortin,Quebec,24,2.3,00000,Male,49560,10015,33660,5885,470,46885,9450,32800,4635,255,100,20.2,67.9,11.9,0.9,100,20.2,70,9.9,0.5,5.7,6,2.6,27,84.3
24065,Marc-Aurèle-Fortin,Quebec,24,2.3,00000,Female,52190,9705,35370,7115,965,49185,9140,34310,5735,660,100,18.6,67.8,13.6,1.8,100,18.6,69.8,11.7,1.3,6.1,6.2,3.1,24.1,46.2
24066,Saint-Hyacinthe--Bagot,Quebec,24,4.1,00000,Both sexes,102690,16960,65330,20400,2780,99625,15985,66810,16840,2200,100,16.5,63.6,19.9,2.7,100,16,67.1,16.9,2.2,3.1,6.1,-2.2,21.1,26.4
24066,Saint-Hyacinthe--Bagot,Quebec,24,4.1,00000,Male,50625,8650,33000,8975,850,49050,8190,33700,7160,620,100,17.1,65.2,17.7,1.7,100,16.7,68.7,14.6,1.3,3.2,5.6,-2.1,25.3,37.1
24066,Saint-Hyacinthe--Bagot,Quebec,24,4.1,00000,Female,52065,8310,32330,11425,1930,50580,7795,33105,9680,1585,100,16,62.1,21.9,3.7,100,15.4,65.5,19.1,3.1,2.9,6.6,-2.3,18,21.8
24067,Saint-Jean,Quebec,24,3.5,00000,Both sexes,111190,18770,72495,19925,2240,108245,18270,74165,15810,1740,100,16.9,65.2,17.9,2,100,16.9,68.5,14.6,1.6,2.7,2.7,-2.3,26,28.7
24067,Saint-Jean,Quebec,24,3.5,00000,Male,54940,9625,36240,9075,720,53325,9270,37005,7050,505,100,17.5,66,16.5,1.3,100,17.4,69.4,13.2,0.9,3,3.8,-2.1,28.7,42.6
24067,Saint-Jean,Quebec,24,3.5,00000,Female,56250,9145,36250,10855,1520,54920,9000,37160,8755,1235,100,16.3,64.4,19.3,2.7,100,16.4,67.7,15.9,2.2,2.4,1.6,-2.4,24,23.1
24068,Saint-Laurent,Quebec,24,2.8,00000,Both sexes,98825,19775,63240,15815,2655,93840,18000,60630,15215,2550,100,20,64,16,2.7,100,19.2,64.6,16.2,2.7,5.3,9.9,4.3,3.9,4.1
24068,Saint-Laurent,Quebec,24,2.8,00000,Male,47810,10190,31000,6610,935,45015,9175,29710,6135,780,100,21.3,64.8,13.8,2,100,20.4,66,13.6,1.7,6.2,11.1,4.3,7.7,19.9
24068,Saint-Laurent,Quebec,24,2.8,00000,Female,51020,9580,32240,9200,1725,48825,8825,30920,9085,1770,100,18.8,63.2,18,3.4,100,18.1,63.3,18.6,3.6,4.5,8.6,4.3,1.3,-2.5
24069,Saint-Léonard--Saint-Michel,Quebec,24,2.9,00000,Both sexes,113215,23100,69805,20310,3120,110650,21355,70220,19075,2300,100,20.4,61.7,17.9,2.8,100,19.3,63.5,17.2,2.1,2.3,8.2,-0.6,6.5,35.7
24069,Saint-Léonard--Saint-Michel,Quebec,24,2.9,00000,Male,53800,11565,33730,8505,1140,52525,10750,33760,8020,830,100,21.5,62.7,15.8,2.1,100,20.5,64.3,15.3,1.6,2.4,7.6,-0.1,6,37.3
24069,Saint-Léonard--Saint-Michel,Quebec,24,2.9,00000,Female,59410,11535,36070,11805,1980,58120,10605,36460,11060,1470,100,19.4,60.7,19.9,3.3,100,18.2,62.7,19,2.5,2.2,8.8,-1.1,6.7,34.7
24070,Saint-Maurice--Champlain,Quebec,24,4.1,00000,Both sexes,110260,15355,68485,26425,3570,110265,14785,72675,22805,3010,100,13.9,62.1,24,3.2,100,13.4,65.9,20.7,2.7,0,3.9,-5.8,15.9,18.6
24070,Saint-Maurice--Champlain,Quebec,24,4.1,00000,Male,54960,7970,34705,12285,1200,54645,7635,36910,10100,880,100,14.5,63.1,22.4,2.2,100,14,67.5,18.5,1.6,0.6,4.4,-6,21.6,36.4
24070,Saint-Maurice--Champlain,Quebec,24,4.1,00000,Female,55305,7385,33780,14145,2370,55620,7150,35765,12705,2135,100,13.4,61.1,25.6,4.3,100,12.9,64.3,22.8,3.8,-0.6,3.3,-5.6,11.3,11
24071,Salaberry--Suroît,Quebec,24,4.3,00000,Both sexes,112825,17870,72070,22885,2700,107035,16090,71615,19335,2245,100,15.8,63.9,20.3,2.4,100,15,66.9,18.1,2.1,5.4,11.1,0.6,18.4,20.3
24071,Salaberry--Suroît,Quebec,24,4.3,00000,Male,56035,9210,36185,10645,980,52685,8185,35840,8660,700,100,16.4,64.6,19,1.7,100,15.5,68,16.4,1.3,6.4,12.5,1,22.9,40
24071,Salaberry--Suroît,Quebec,24,4.3,00000,Female,56795,8665,35885,12235,1715,54345,7905,35775,10670,1550,100,15.3,63.2,21.5,3,100,14.5,65.8,19.6,2.9,4.5,9.6,0.3,14.7,10.6
24072,Shefford,Quebec,24,3.9,00000,Both sexes,111140,18840,70790,21510,2415,107535,18050,72590,16900,1865,100,17,63.7,19.4,2.2,100,16.8,67.5,15.7,1.7,3.4,4.4,-2.5,27.3,29.5
24072,Shefford,Quebec,24,3.9,00000,Male,55270,9680,35685,9910,830,53295,9210,36535,7555,600,100,17.5,64.6,17.9,1.5,100,17.3,68.6,14.2,1.1,3.7,5.1,-2.3,31.2,38.3
24072,Shefford,Quebec,24,3.9,00000,Female,55865,9160,35105,11600,1585,54240,8840,36055,9345,1265,100,16.4,62.8,20.8,2.8,100,16.3,66.5,17.2,2.3,3,3.6,-2.6,24.1,25.3
24073,Sherbrooke,Quebec,24,4.7,00000,Both sexes,111175,15655,72370,23150,3640,107995,14785,73215,19995,3255,100,14.1,65.1,20.8,3.3,100,13.7,67.8,18.5,3,2.9,5.9,-1.2,15.8,11.8
24073,Sherbrooke,Quebec,24,4.7,00000,Male,53650,8150,36000,9500,1030,51500,7620,36085,7795,880,100,15.2,67.1,17.7,1.9,100,14.8,70.1,15.1,1.7,4.2,7,-0.2,21.9,17
24073,Sherbrooke,Quebec,24,4.7,00000,Female,57520,7500,36375,13650,2615,56495,7165,37130,12200,2375,100,13,63.2,23.7,4.5,100,12.7,65.7,21.6,4.2,1.8,4.7,-2,11.9,10.1
24074,Vaudreuil--Soulanges,Quebec,24,2.2,00000,Both sexes,119225,23430,79065,16740,1630,111905,22480,76635,12790,1295,100,19.7,66.3,14,1.4,100,20.1,68.5,11.4,1.2,6.5,4.2,3.2,30.9,25.9
24074,Vaudreuil--Soulanges,Quebec,24,2.2,00000,Male,58930,12070,39085,7780,520,55265,11480,37980,5810,385,100,20.5,66.3,13.2,0.9,100,20.8,68.7,10.5,0.7,6.6,5.1,2.9,33.9,35.1
24074,Vaudreuil--Soulanges,Quebec,24,2.2,00000,Female,60295,11365,39975,8955,1110,56640,11005,38655,6980,915,100,18.8,66.3,14.9,1.8,100,19.4,68.2,12.3,1.6,6.5,3.3,3.4,28.3,21.3
24075,Terrebonne,Quebec,24,1.8,00000,Both sexes,111575,22700,75535,13335,840,106320,21155,75260,9905,640,100,20.3,67.7,12,0.8,100,19.9,70.8,9.3,0.6,4.9,7.3,0.4,34.6,31.3
24075,Terrebonne,Quebec,24,1.8,00000,Male,55410,11670,37480,6255,290,52835,10900,37340,4595,185,100,21.1,67.6,11.3,0.5,100,20.6,70.7,8.7,0.4,4.9,7.1,0.4,36.1,56.8
24075,Terrebonne,Quebec,24,1.8,00000,Female,56160,11030,38050,7080,555,53490,10260,37925,5305,450,100,19.6,67.8,12.6,1,100,19.2,70.9,9.9,0.8,5,7.5,0.3,33.5,23.3
24076,Trois-Rivières,Quebec,24,4.9,00000,Both sexes,110515,14375,69410,26730,3905,108775,13560,72095,23120,3155,100,13,62.8,24.2,3.5,100,12.5,66.3,21.3,2.9,1.6,6,-3.7,15.6,23.8
24076,Trois-Rivières,Quebec,24,4.9,00000,Male,52715,7475,34045,11190,1160,51800,7000,35475,9325,820,100,14.2,64.6,21.2,2.2,100,13.5,68.5,18,1.6,1.8,6.8,-4,20,41.5
24076,Trois-Rivières,Quebec,24,4.9,00000,Female,57805,6900,35365,15540,2750,56980,6560,36625,13790,2330,100,11.9,61.2,26.9,4.8,100,11.5,64.3,24.2,4.1,1.4,5.2,-3.4,12.7,18
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Quebec,24,5.0,00100,Both sexes,114660,12340,87085,15235,1730,102785,10960,79020,12805,1555,100,10.8,76,13.3,1.5,100,10.7,76.9,12.5,1.5,11.6,12.6,10.2,19,11.3
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Quebec,24,5.0,00100,Male,57975,6325,44665,6985,610,52165,5560,40950,5655,495,100,10.9,77,12,1.1,100,10.7,78.5,10.8,0.9,11.1,13.8,9.1,23.5,23.2
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Quebec,24,5.0,00100,Female,56680,6015,42415,8250,1125,50620,5395,38070,7150,1060,100,10.6,74.8,14.6,2,100,10.7,75.2,14.1,2.1,12,11.5,11.4,15.4,6.1
24078,Vimy,Quebec,24,3.5,00000,Both sexes,111870,16935,71165,23765,4315,104385,14765,68180,21445,3280,100,15.1,63.6,21.2,3.9,100,14.1,65.3,20.5,3.1,7.2,14.7,4.4,10.8,31.6
24078,Vimy,Quebec,24,3.5,00000,Male,53510,8560,35250,9700,1425,49540,7425,33550,8570,995,100,16,65.9,18.1,2.7,100,15,67.7,17.3,2,8,15.3,5.1,13.2,43.2
24078,Vimy,Quebec,24,3.5,00000,Female,58360,8375,35915,14065,2895,54840,7335,34630,12875,2285,100,14.4,61.5,24.1,5,100,13.4,63.1,23.5,4.2,6.4,14.2,3.7,9.2,26.7
35001,Ajax,Ontario,35,2.4,00000,Both sexes,119675,23660,82885,13135,1265,109600,22640,77390,9570,905,100,19.8,69.3,11,1.1,100,20.7,70.6,8.7,0.8,9.2,4.5,7.1,37.3,39.8
35001,Ajax,Ontario,35,2.4,00000,Male,57865,12035,39980,5845,420,52895,11555,37190,4145,280,100,20.8,69.1,10.1,0.7,100,21.8,70.3,7.8,0.5,9.4,4.2,7.5,41,50
35001,Ajax,Ontario,35,2.4,00000,Female,61815,11620,42905,7285,845,56705,11080,40195,5430,625,100,18.8,69.4,11.8,1.4,100,19.5,70.9,9.6,1.1,9,4.9,6.7,34.2,35.2
35002,Algoma--Manitoulin--Kapuskasing,Ontario,35,6.2,00000,Both sexes,79485,11505,48680,19300,1890,79795,11785,51420,16585,1480,100,14.5,61.2,24.3,2.4,100,14.8,64.4,20.8,1.9,-0.4,-2.4,-5.3,16.4,27.7
35002,Algoma--Manitoulin--Kapuskasing,Ontario,35,6.2,00000,Male,39650,5815,24385,9450,755,39735,6095,25670,7975,480,100,14.7,61.5,23.8,1.9,100,15.3,64.6,20.1,1.2,-0.2,-4.6,-5,18.5,57.3
35002,Algoma--Manitoulin--Kapuskasing,Ontario,35,6.2,00000,Female,39835,5690,24300,9845,1140,40055,5690,25750,8615,995,100,14.3,61,24.7,2.9,100,14.2,64.3,21.5,2.5,-0.5,0,-5.6,14.3,14.6
35003,Aurora--Oak Ridges--Richmond Hill,Ontario,35,2.3,00000,Both sexes,115230,21820,80000,13400,1815,106065,22420,74065,9580,1350,100,18.9,69.4,11.6,1.6,100,21.1,69.8,9,1.3,8.6,-2.7,8,39.9,34.4
35003,Aurora--Oak Ridges--Richmond Hill,Ontario,35,2.3,00000,Male,56285,11215,38975,6095,600,51980,11595,36170,4210,360,100,19.9,69.2,10.8,1.1,100,22.3,69.6,8.1,0.7,8.3,-3.3,7.8,44.8,66.7
35003,Aurora--Oak Ridges--Richmond Hill,Ontario,35,2.3,00000,Female,58945,10610,41020,7310,1210,54090,10825,37895,5370,995,100,18,69.6,12.4,2.1,100,20,70.1,9.9,1.8,9,-2,8.2,36.1,21.6
35004,Barrie--Innisfil,Ontario,35,3.2,00000,Both sexes,109285,21400,73980,13905,1750,101590,21305,68940,11345,1365,100,19.6,67.7,12.7,1.6,100,21,67.9,11.2,1.3,7.6,0.4,7.3,22.6,28.2
35004,Barrie--Innisfil,Ontario,35,3.2,00000,Male,53825,10940,36555,6330,665,49960,10865,34000,5090,465,100,20.3,67.9,11.8,1.2,100,21.7,68.1,10.2,0.9,7.7,0.7,7.5,24.4,43
35004,Barrie--Innisfil,Ontario,35,3.2,00000,Female,55460,10455,37430,7575,1080,51630,10435,34935,6255,900,100,18.9,67.5,13.7,1.9,100,20.2,67.7,12.1,1.7,7.4,0.2,7.1,21.1,20
35005,Barrie--Springwater--Oro-Medonte,Ontario,35,3.6,00000,Both sexes,100785,15940,68415,16425,2180,97840,16075,67925,13835,1870,100,15.8,67.9,16.3,2.2,100,16.4,69.4,14.1,1.9,3,-0.8,0.7,18.7,16.6
35005,Barrie--Springwater--Oro-Medonte,Ontario,35,3.6,00000,Male,49220,8160,33820,7245,710,47790,8255,33560,5975,555,100,16.6,68.7,14.7,1.4,100,17.3,70.2,12.5,1.2,3,-1.2,0.8,21.3,27.9
35005,Barrie--Springwater--Oro-Medonte,Ontario,35,3.6,00000,Female,51570,7785,34605,9180,1470,50045,7820,34365,7865,1310,100,15.1,67.1,17.8,2.9,100,15.6,68.7,15.7,2.6,3,-0.4,0.7,16.7,12.2
35006,Bay of Quinte,Ontario,35,4.2,00000,Both sexes,109735,15980,68680,25075,3425,109490,16230,71295,21965,3005,100,14.6,62.6,22.9,3.1,100,14.8,65.1,20.1,2.7,0.2,-1.5,-3.7,14.2,14
35006,Bay of Quinte,Ontario,35,4.2,00000,Male,53280,8065,33830,11385,1225,52940,8235,34995,9710,920,100,15.1,63.5,21.4,2.3,100,15.6,66.1,18.3,1.7,0.6,-2.1,-3.3,17.3,33.2
35006,Bay of Quinte,Ontario,35,4.2,00000,Female,56455,7915,34850,13685,2205,56545,8000,36300,12250,2085,100,14,61.7,24.2,3.9,100,14.1,64.2,21.7,3.7,-0.2,-1.1,-4,11.7,5.8
35007,Beaches--East York,Ontario,35,3.3,00000,Both sexes,109470,19190,75950,14330,1830,107085,18490,76145,12455,1600,100,17.5,69.4,13.1,1.7,100,17.3,71.1,11.6,1.5,2.2,3.8,-0.3,15.1,14.4
35007,Beaches--East York,Ontario,35,3.3,00000,Male,52745,9735,36720,6295,605,51365,9325,36750,5285,470,100,18.5,69.6,11.9,1.1,100,18.2,71.5,10.3,0.9,2.7,4.4,-0.1,19.1,28.7
35007,Beaches--East York,Ontario,35,3.3,00000,Female,56715,9450,39230,8040,1225,55720,9160,39395,7165,1130,100,16.7,69.2,14.2,2.2,100,16.4,70.7,12.9,2,1.8,3.2,-0.4,12.2,8.4
35008,Brampton Centre,Ontario,35,2.7,00000,Both sexes,102270,18645,69690,13930,1045,103120,19955,71710,11460,775,100,18.2,68.1,13.6,1,100,19.4,69.5,11.1,0.8,-0.8,-6.6,-2.8,21.6,34.8
35008,Brampton Centre,Ontario,35,2.7,00000,Male,50105,9525,34170,6410,420,50755,10205,35260,5290,270,100,19,68.2,12.8,0.8,100,20.1,69.5,10.4,0.5,-1.3,-6.7,-3.1,21.2,55.6
35008,Brampton Centre,Ontario,35,2.7,00000,Female,52165,9125,35520,7515,630,52360,9745,36450,6165,505,100,17.5,68.1,14.4,1.2,100,18.6,69.6,11.8,1,-0.4,-6.4,-2.6,21.9,24.8
35009,Brampton East,Ontario,35,2.1,00000,Both sexes,122000,26890,83105,12005,895,99710,24690,67705,7315,575,100,22,68.1,9.8,0.7,100,24.8,67.9,7.3,0.6,22.4,8.9,22.7,64.1,55.7
35009,Brampton East,Ontario,35,2.1,00000,Male,61145,14245,41160,5740,345,49745,12875,33435,3435,205,100,23.3,67.3,9.4,0.6,100,25.9,67.2,6.9,0.4,22.9,10.6,23.1,67.1,68.3
35009,Brampton East,Ontario,35,2.1,00000,Female,60855,12645,41950,6260,550,49970,11810,34270,3885,370,100,20.8,68.9,10.3,0.9,100,23.6,68.6,7.8,0.7,21.8,7.1,22.4,61.1,48.6
35010,Brampton North,Ontario,35,2.4,00000,Both sexes,118180,22350,81780,14055,1080,111950,22880,79230,9840,830,100,18.9,69.2,11.9,0.9,100,20.4,70.8,8.8,0.7,5.6,-2.3,3.2,42.8,30.1
35010,Brampton North,Ontario,35,2.4,00000,Male,58250,11485,40095,6665,375,55450,11905,38855,4695,295,100,19.7,68.8,11.4,0.6,100,21.5,70.1,8.5,0.5,5,-3.5,3.2,42,27.1
35010,Brampton North,Ontario,35,2.4,00000,Female,59930,10865,41680,7390,700,56500,10980,40380,5145,535,100,18.1,69.5,12.3,1.2,100,19.4,71.5,9.1,0.9,6.1,-1,3.2,43.6,30.8
35011,Brampton South,Ontario,35,2.9,00000,Both sexes,121185,21960,83250,15980,2070,107370,20830,73970,12570,1690,100,18.1,68.7,13.2,1.7,100,19.4,68.9,11.7,1.6,12.9,5.4,12.5,27.1,22.5
35011,Brampton South,Ontario,35,2.9,00000,Male,60000,11400,41510,7090,705,52805,10915,36375,5515,525,100,19,69.2,11.8,1.2,100,20.7,68.9,10.4,1,13.6,4.4,14.1,28.6,34.3
35011,Brampton South,Ontario,35,2.9,00000,Female,61185,10555,41735,8895,1365,54565,9910,37590,7060,1160,100,17.3,68.2,14.5,2.2,100,18.2,68.9,12.9,2.1,12.1,6.5,11,26,17.7
