Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nadine Bailey,Christa Baxter,Mike Butler,Mike Lake,Naomi Rankin,Brent Schaffrick,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 209","Beaumont",43,10,13,167,0,9,2,244,477
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 210","Beaumont",52,7,9,156,0,9,0,233,427
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 211","Beaumont",43,5,12,143,0,5,1,209,405
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 212","Beaumont",23,9,15,125,0,1,0,173,304
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 213","Beaumont",39,11,18,160,0,7,1,236,471
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 214","Beaumont",22,7,5,111,0,1,2,148,329
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 215","Beaumont",Merged with No. 212/Fusionné avec le nº 212,,,,,,,,38
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 216","Beaumont",6,3,3,106,0,0,0,118,163
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 400","Edmonton",9,2,7,126,0,0,1,145,175
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 500","Mobile poll/Bureau itinérant",19,3,13,84,0,0,0,119,185
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 600","Edmonton",125,19,113,321,1,3,3,585,
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 601","Edmonton",103,14,57,343,0,1,0,518,
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 602","Edmonton",64,12,76,219,1,1,0,373,
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 603","Edmonton",69,9,47,221,1,4,0,351,
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 604","Edmonton",55,5,46,232,1,6,1,346,
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 605","Edmonton",80,8,61,149,0,0,2,300,
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 606","Edmonton",27,3,33,142,0,0,4,209,
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 607","Edmonton",64,9,45,276,2,3,1,400,
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 608","Edmonton",73,10,40,193,0,0,0,316,
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 609","Edmonton",37,8,44,160,0,2,1,252,
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 610","Edmonton",44,6,34,198,1,1,1,285,
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 611","Beaumont--Leduc County",40,10,31,304,1,9,3,398,
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 612","Beaumont--Leduc County",48,8,22,309,0,2,0,389,
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont",,Group 1/Groupe 1,11,2,52,38,0,2,9,114,180
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont",,Group 2/Groupe 2,137,28,140,475,2,2,6,790,
