Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Cailin Bartlett,Geoffrey Capp,Michael Cormican,Jim Hillyer,Mark Sandilands,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48019,"Lethbridge/Lethbridge"," 609","Lethbridge",18,10,65,200,62,1,356,
48019,"Lethbridge/Lethbridge"," 610","Lethbridge County--Coaldale",24,34,20,402,89,1,570,
48019,"Lethbridge/Lethbridge"," 611","Magrath--Raymond",10,3,21,235,35,0,304,
48019,"Lethbridge/Lethbridge"," 612","Cardston",16,1,7,264,17,0,305,
48019,"Lethbridge/Lethbridge"," 613","Milk River",5,8,11,96,9,1,130,
48019,"Lethbridge/Lethbridge"," 614","Lethbridge County--Picture Butte",3,8,9,76,8,0,104,
48019,"Lethbridge/Lethbridge"," 615","Lethbridge",24,3,63,213,113,2,418,
48019,"Lethbridge/Lethbridge"," 616","Lethbridge",9,13,33,111,73,0,239,
48019,"Lethbridge/Lethbridge",,Group 1/Groupe 1,4,0,38,47,18,3,110,179
48019,"Lethbridge/Lethbridge",,Group 2/Groupe 2,34,13,60,355,141,13,616,
