Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Adam DeVita,Cameron W. Hastings,Costas Menegakis,Bryon Wilfert,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35075,"Richmond Hill/Richmond Hill"," 67","Richmond Hill",45,14,85,75,0,219,417
35075,"Richmond Hill/Richmond Hill"," 68","Richmond Hill",22,5,52,55,0,134,297
35075,"Richmond Hill/Richmond Hill"," 68-1","Richmond Hill",38,9,49,58,0,154,321
35075,"Richmond Hill/Richmond Hill"," 69","Richmond Hill",47,17,97,83,0,244,461
35075,"Richmond Hill/Richmond Hill"," 70","Richmond Hill",37,11,55,49,1,153,265
35075,"Richmond Hill/Richmond Hill"," 70-1","Richmond Hill",41,7,77,62,0,187,338
35075,"Richmond Hill/Richmond Hill"," 71A","Richmond Hill",42,6,119,84,0,251,386
35075,"Richmond Hill/Richmond Hill"," 71B","Richmond Hill",44,12,127,95,1,279,458
35075,"Richmond Hill/Richmond Hill"," 72","Richmond Hill",18,1,56,25,0,100,170
35075,"Richmond Hill/Richmond Hill"," 73","Richmond Hill",39,4,60,28,0,131,344
35075,"Richmond Hill/Richmond Hill"," 74","Richmond Hill",24,11,66,37,0,138,305
35075,"Richmond Hill/Richmond Hill"," 75","Richmond Hill",22,16,71,52,0,161,326
35075,"Richmond Hill/Richmond Hill"," 76","Richmond Hill",50,17,106,42,1,216,508
35075,"Richmond Hill/Richmond Hill"," 77","Richmond Hill",Void/Supprimé,,,,,,
35075,"Richmond Hill/Richmond Hill"," 78","Richmond Hill",37,4,59,29,0,129,341
35075,"Richmond Hill/Richmond Hill"," 79","Richmond Hill",53,8,58,46,0,165,360
35075,"Richmond Hill/Richmond Hill"," 80","Richmond Hill",36,7,55,36,3,137,338
35075,"Richmond Hill/Richmond Hill"," 81","Richmond Hill",43,9,64,33,0,149,322
35075,"Richmond Hill/Richmond Hill"," 82","Richmond Hill",47,15,97,83,3,245,424
35075,"Richmond Hill/Richmond Hill"," 83","Richmond Hill",23,11,60,41,0,135,334
35075,"Richmond Hill/Richmond Hill"," 84","Richmond Hill",39,10,70,55,1,175,392
35075,"Richmond Hill/Richmond Hill"," 85","Richmond Hill",Void/Supprimé,,,,,,
35075,"Richmond Hill/Richmond Hill"," 86","Richmond Hill",59,12,82,72,2,227,538
35075,"Richmond Hill/Richmond Hill"," 87","Richmond Hill",37,8,106,84,2,237,436
35075,"Richmond Hill/Richmond Hill"," 88","Richmond Hill",18,5,38,53,0,114,241
35075,"Richmond Hill/Richmond Hill"," 89","Richmond Hill",36,7,79,81,1,204,481
35075,"Richmond Hill/Richmond Hill"," 90","Richmond Hill",70,7,79,85,1,242,550
35075,"Richmond Hill/Richmond Hill"," 91","Richmond Hill",50,7,91,76,0,224,652
35075,"Richmond Hill/Richmond Hill"," 92","Richmond Hill",Void/Supprimé,,,,,,
