Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Eduardo Gonzalo Agurto Catalán,Marie-France Charbonneau,Alain Giguère,Charles Sicotte,Johanne Théorêt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 602","Laval",99,296,371,13,72,9,860,
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 603","Laval",96,184,298,11,66,9,664,
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 604","Laval",95,205,335,14,67,1,717,
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 605","Laval",79,267,316,8,79,7,756,
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 606","Rosemère",122,135,274,11,74,6,622,
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 607","Rosemère",128,166,294,16,109,3,716,
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 608","Sainte-Thérèse",93,234,265,10,73,5,680,
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 609","Sainte-Thérèse",44,156,191,7,63,6,467,
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 610","Sainte-Thérèse",79,224,299,11,79,5,697,
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 611","Laval",124,201,283,8,65,7,688,
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin",,Group 1/Groupe 1,22,10,16,0,26,3,77,130
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin",,Group 2/Groupe 2,144,303,247,16,132,21,863,
