Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Charlie Angus,Lisa Bennett,Bill Greenberg,Marilyn Wood,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35092,"Timmins--James Bay/Timmins--Baie James"," 164","Kirkland Lake",43,5,9,2,0,59,192
35092,"Timmins--James Bay/Timmins--Baie James"," 165","Kirkland Lake",99,1,46,19,1,166,389
35092,"Timmins--James Bay/Timmins--Baie James"," 166","Kirkland Lake",70,1,29,15,0,115,288
35092,"Timmins--James Bay/Timmins--Baie James"," 167","Kirkland Lake",71,2,14,4,0,91,262
35092,"Timmins--James Bay/Timmins--Baie James"," 168","Kirkland Lake",93,9,27,12,1,142,378
35092,"Timmins--James Bay/Timmins--Baie James"," 169","Kirkland Lake",73,5,30,11,0,119,296
35092,"Timmins--James Bay/Timmins--Baie James"," 170","Kirkland Lake",79,5,36,20,0,140,335
35092,"Timmins--James Bay/Timmins--Baie James"," 171","Kirkland Lake",113,9,31,9,1,163,467
35092,"Timmins--James Bay/Timmins--Baie James"," 172","Kirkland Lake",106,11,50,12,0,179,448
35092,"Timmins--James Bay/Timmins--Baie James"," 173","Kirkland Lake",Void/Supprimé,,,,,,
35092,"Timmins--James Bay/Timmins--Baie James"," 174","Gowganda",26,1,28,1,0,56,62
35092,"Timmins--James Bay/Timmins--Baie James"," 175","James",128,8,100,16,2,254,392
35092,"Timmins--James Bay/Timmins--Baie James"," 176","Zeta",44,8,13,5,0,70,97
35092,"Timmins--James Bay/Timmins--Baie James"," 177","Chamberlain",72,4,52,7,0,135,206
35092,"Timmins--James Bay/Timmins--Baie James"," 178","Dack",85,2,67,6,1,161,260
35092,"Timmins--James Bay/Timmins--Baie James"," 179A","Englehart",60,4,35,9,1,109,216
35092,"Timmins--James Bay/Timmins--Baie James"," 179B","Mobile poll/Bureau itinérant",8,0,4,2,3,17,27
35092,"Timmins--James Bay/Timmins--Baie James"," 180A","Englehart",122,7,84,15,0,228,436
35092,"Timmins--James Bay/Timmins--Baie James"," 180B","Mobile poll/Bureau itinérant",Merged with No. 179B/Fusionné avec le nº 179B,,,,,,2
35092,"Timmins--James Bay/Timmins--Baie James"," 181","Englehart",109,3,86,9,0,207,431
35092,"Timmins--James Bay/Timmins--Baie James"," 182","Englehart",105,5,77,7,1,195,436
35092,"Timmins--James Bay/Timmins--Baie James"," 183","Evanturel",67,9,57,8,1,142,254
35092,"Timmins--James Bay/Timmins--Baie James"," 184","Hilliard",75,2,55,8,0,140,273
35092,"Timmins--James Bay/Timmins--Baie James"," 185","Earlton",106,2,29,17,1,155,278
35092,"Timmins--James Bay/Timmins--Baie James"," 186","Earlton",94,3,31,21,1,150,246
35092,"Timmins--James Bay/Timmins--Baie James"," 187","Earlton",110,2,35,22,1,170,335
35092,"Timmins--James Bay/Timmins--Baie James"," 188","Charlton",76,6,79,4,0,165,288
35092,"Timmins--James Bay/Timmins--Baie James"," 189","Cane",83,10,46,6,0,145,250
35092,"Timmins--James Bay/Timmins--Baie James"," 190","Kerns",106,3,60,6,1,176,327
35092,"Timmins--James Bay/Timmins--Baie James"," 191","Hanbury",100,5,60,21,0,186,342
35092,"Timmins--James Bay/Timmins--Baie James"," 192","Brethour",100,5,59,17,1,182,312
35092,"Timmins--James Bay/Timmins--Baie James"," 500","Mobile poll/Bureau itinérant",65,7,21,28,8,129,238
35092,"Timmins--James Bay/Timmins--Baie James"," 501","Mobile poll/Bureau itinérant",37,4,13,18,1,73,138
35092,"Timmins--James Bay/Timmins--Baie James"," 600","Moosonee",39,0,9,7,0,55,
35092,"Timmins--James Bay/Timmins--Baie James"," 601","Cochrane",189,12,160,89,0,450,
35092,"Timmins--James Bay/Timmins--Baie James"," 602","Cochrane",53,8,88,16,1,166,
35092,"Timmins--James Bay/Timmins--Baie James"," 603","Matheson",259,11,187,105,3,565,
35092,"Timmins--James Bay/Timmins--Baie James"," 604","Iroquois Falls",213,13,191,200,4,621,
35092,"Timmins--James Bay/Timmins--Baie James"," 605","Timmins",178,6,213,222,3,622,
35092,"Timmins--James Bay/Timmins--Baie James"," 606","Timmins",208,13,161,148,3,533,
35092,"Timmins--James Bay/Timmins--Baie James"," 607","Timmins",268,9,173,165,5,620,
35092,"Timmins--James Bay/Timmins--Baie James"," 608","Timmins",233,13,257,170,3,676,
35092,"Timmins--James Bay/Timmins--Baie James"," 609","Kirkland Lake",206,3,109,50,3,371,
35092,"Timmins--James Bay/Timmins--Baie James"," 610","Kirkland Lake",331,6,127,59,2,525,
35092,"Timmins--James Bay/Timmins--Baie James"," 611","Earlton",61,2,39,23,2,127,
35092,"Timmins--James Bay/Timmins--Baie James"," 612","Englehart",121,7,125,11,0,264,
35092,"Timmins--James Bay/Timmins--Baie James"," 613","Peawanuck",25,1,0,0,0,26,
35092,"Timmins--James Bay/Timmins--Baie James"," 614","Fort Albany 67",31,0,1,2,0,34,
35092,"Timmins--James Bay/Timmins--Baie James",,Group 1/Groupe 1,54,7,29,26,1,117,219
35092,"Timmins--James Bay/Timmins--Baie James",,Group 2/Groupe 2,195,3,151,122,13,484,
