Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Denis A. Carrière,Yves Fricot,Richard Harvey,Bruce Hyer,Scot Kyle,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 82","Thunder Bay",4,28,38,108,12,2,192,377
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 83","Thunder Bay",1,13,46,81,7,1,149,280
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 84","Thunder Bay",0,28,71,96,4,0,199,375
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 85","Thunder Bay",0,30,70,116,5,1,222,359
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 86","Thunder Bay",2,23,49,128,6,3,211,384
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 87","Thunder Bay",1,20,54,125,2,0,202,350
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 88","Thunder Bay",2,36,27,120,7,3,195,374
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 89","Thunder Bay",1,35,63,96,5,0,200,356
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 90","Thunder Bay",3,21,32,79,7,1,143,285
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 91A","Thunder Bay",1,16,29,71,6,1,124,250
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 91B","Thunder Bay",3,19,50,61,5,0,138,249
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 92","Thunder Bay",0,24,57,72,2,2,157,319
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 93","Thunder Bay",2,41,61,138,4,2,248,407
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 94","Thunder Bay",1,33,66,76,9,0,185,329
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 95","Thunder Bay",1,50,59,58,9,0,177,304
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 96","Thunder Bay",1,18,50,118,8,5,200,363
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 97","Thunder Bay",1,36,36,103,8,0,184,354
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 98","Thunder Bay",1,19,26,122,8,0,176,372
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 99","Thunder Bay",0,40,49,145,4,0,238,411
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 100","Thunder Bay",1,14,19,57,5,0,96,253
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 101","Thunder Bay",0,24,21,80,10,0,135,341
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 102","Thunder Bay",2,23,52,89,11,1,178,328
