Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shelly Glover,Patrice Miniely,Marc Payette,Raymond Simard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46009,"Saint Boniface/Saint-Boniface"," 120","Winnipeg",156,30,8,97,1,292,441
46009,"Saint Boniface/Saint-Boniface"," 121","Winnipeg",88,29,2,26,0,145,249
46009,"Saint Boniface/Saint-Boniface"," 122","Winnipeg",115,50,8,54,0,227,349
46009,"Saint Boniface/Saint-Boniface"," 123","Winnipeg",149,50,2,63,1,265,463
46009,"Saint Boniface/Saint-Boniface"," 124","Winnipeg",112,39,10,50,1,212,415
46009,"Saint Boniface/Saint-Boniface"," 125","Winnipeg",143,43,12,74,1,273,505
46009,"Saint Boniface/Saint-Boniface"," 126","Winnipeg",171,77,9,70,2,329,766
46009,"Saint Boniface/Saint-Boniface"," 127","Winnipeg",134,52,3,45,0,234,421
46009,"Saint Boniface/Saint-Boniface"," 128","Winnipeg",122,45,4,42,2,215,374
46009,"Saint Boniface/Saint-Boniface"," 129","Winnipeg",107,41,5,53,0,206,312
46009,"Saint Boniface/Saint-Boniface"," 130","Winnipeg",143,53,3,72,0,271,468
46009,"Saint Boniface/Saint-Boniface"," 131","Winnipeg",169,66,9,75,1,320,556
46009,"Saint Boniface/Saint-Boniface"," 132","Winnipeg",Void/Supprimé,,,,,,
46009,"Saint Boniface/Saint-Boniface"," 133","Winnipeg",132,50,5,41,0,228,438
46009,"Saint Boniface/Saint-Boniface"," 134","Winnipeg",121,57,13,91,3,285,474
46009,"Saint Boniface/Saint-Boniface"," 135","Winnipeg",78,32,2,33,0,145,326
46009,"Saint Boniface/Saint-Boniface"," 136","Winnipeg",112,38,4,60,0,214,306
46009,"Saint Boniface/Saint-Boniface"," 137","Winnipeg",144,29,3,76,0,252,389
46009,"Saint Boniface/Saint-Boniface"," 138","Winnipeg",194,33,8,56,1,292,474
46009,"Saint Boniface/Saint-Boniface"," 139","Winnipeg",189,48,7,62,0,306,513
46009,"Saint Boniface/Saint-Boniface"," 140","Winnipeg",78,58,4,30,0,170,386
46009,"Saint Boniface/Saint-Boniface"," 141","Winnipeg",77,32,1,37,1,148,351
46009,"Saint Boniface/Saint-Boniface"," 142","Winnipeg",145,22,4,80,0,251,424
46009,"Saint Boniface/Saint-Boniface"," 143","Winnipeg",112,26,6,58,2,204,341
46009,"Saint Boniface/Saint-Boniface"," 144","Winnipeg",95,20,5,50,0,170,294
46009,"Saint Boniface/Saint-Boniface"," 145","Winnipeg",116,35,8,78,0,237,368
46009,"Saint Boniface/Saint-Boniface"," 146","Winnipeg",115,20,2,51,0,188,340
46009,"Saint Boniface/Saint-Boniface"," 147","Winnipeg",135,24,10,56,1,226,343
46009,"Saint Boniface/Saint-Boniface"," 148","Winnipeg",132,20,6,94,0,252,439
46009,"Saint Boniface/Saint-Boniface"," 149","Winnipeg",155,38,6,91,0,290,485
46009,"Saint Boniface/Saint-Boniface"," 150","Winnipeg",96,19,2,83,2,202,391
46009,"Saint Boniface/Saint-Boniface"," 151","Winnipeg",84,14,2,56,0,156,250
46009,"Saint Boniface/Saint-Boniface"," 152","Winnipeg",175,39,8,64,0,286,437
46009,"Saint Boniface/Saint-Boniface"," 153","Winnipeg",118,31,9,58,1,217,356
46009,"Saint Boniface/Saint-Boniface"," 154","Winnipeg",225,20,5,78,0,328,524
46009,"Saint Boniface/Saint-Boniface"," 155","Winnipeg",143,20,2,75,1,241,427
46009,"Saint Boniface/Saint-Boniface"," 155-1A","Winnipeg",95,33,3,25,0,156,238
46009,"Saint Boniface/Saint-Boniface"," 155-1B","Winnipeg",35,13,1,8,0,57,96
46009,"Saint Boniface/Saint-Boniface"," 155-1C","Winnipeg",191,34,3,61,1,290,424
46009,"Saint Boniface/Saint-Boniface"," 156","Winnipeg",180,29,2,66,2,279,501
46009,"Saint Boniface/Saint-Boniface"," 157","Winnipeg",113,26,6,66,1,212,403
46009,"Saint Boniface/Saint-Boniface"," 158","Winnipeg",87,10,3,33,1,134,250
46009,"Saint Boniface/Saint-Boniface"," 159","Winnipeg",160,39,7,84,0,290,552
46009,"Saint Boniface/Saint-Boniface"," 160","Winnipeg",128,15,4,54,1,202,368
46009,"Saint Boniface/Saint-Boniface"," 161","Winnipeg",128,23,8,64,0,223,437
46009,"Saint Boniface/Saint-Boniface"," 162","Winnipeg",202,23,8,79,0,312,524
46009,"Saint Boniface/Saint-Boniface"," 162-1","Winnipeg",116,25,3,53,0,197,345
46009,"Saint Boniface/Saint-Boniface"," 162-2","Winnipeg",111,12,1,30,0,154,283
