Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paul Arsenault,Mike Farlow,Tim Lobzun,Dave MacKenzie,John Markus,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35067,"Oxford/Oxford"," 171","Tillsonburg",46,10,7,59,0,2,124,349
35067,"Oxford/Oxford"," 172","Tillsonburg",33,6,10,96,4,2,151,380
35067,"Oxford/Oxford"," 173","Tillsonburg",63,10,26,81,3,1,184,431
35067,"Oxford/Oxford"," 174","Oxford Centre",42,12,19,207,8,2,290,410
35067,"Oxford/Oxford"," 175","Curries",48,11,20,133,11,1,224,342
35067,"Oxford/Oxford"," 176","Vandecar",26,11,11,131,4,0,183,295
35067,"Oxford/Oxford"," 177","Holbrook",40,2,1,141,35,0,219,343
35067,"Oxford/Oxford"," 178","Burgessville",31,13,16,201,27,0,288,469
35067,"Oxford/Oxford"," 179","Norwich",24,7,7,132,12,0,182,281
35067,"Oxford/Oxford"," 180","Norwich",22,10,15,140,24,1,212,392
35067,"Oxford/Oxford"," 181A","Norwich",28,6,11,108,7,0,160,386
35067,"Oxford/Oxford"," 181B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,,8
35067,"Oxford/Oxford"," 182","Norwich",57,11,10,124,7,0,209,356
35067,"Oxford/Oxford"," 183","Norwich",37,7,9,86,7,0,146,291
35067,"Oxford/Oxford"," 184","Norwich",49,8,10,140,3,2,212,421
35067,"Oxford/Oxford"," 185","Norwich",41,9,14,126,4,1,195,394
35067,"Oxford/Oxford"," 186","Norwich",23,0,2,91,8,0,124,212
35067,"Oxford/Oxford"," 187","Springford",46,4,13,133,3,1,200,344
35067,"Oxford/Oxford"," 188","Norwich",37,7,15,170,10,1,240,409
35067,"Oxford/Oxford"," 189","Otterville",40,9,29,175,10,0,263,418
35067,"Oxford/Oxford"," 190","Otterville",29,2,10,97,3,0,141,209
35067,"Oxford/Oxford"," 191","Otterville",28,6,6,101,4,2,147,285
35067,"Oxford/Oxford"," 192","Hawtrey",27,1,8,104,11,0,151,293
35067,"Oxford/Oxford"," 400","Woodstock",25,3,21,68,1,1,119,264
35067,"Oxford/Oxford"," 401","Woodstock",2,1,6,27,0,1,37,69
35067,"Oxford/Oxford"," 402","Woodstock",24,8,14,73,0,0,119,182
35067,"Oxford/Oxford"," 403","Woodstock",48,3,13,74,0,0,138,186
35067,"Oxford/Oxford"," 404","Woodstock",27,5,20,88,3,2,145,174
35067,"Oxford/Oxford"," 405","Woodstock",29,2,11,108,3,0,153,182
35067,"Oxford/Oxford"," 406","Woodstock",28,1,4,77,1,2,113,165
35067,"Oxford/Oxford"," 500","Mobile poll/Bureau itinérant",7,9,13,41,0,3,73,142
35067,"Oxford/Oxford"," 501A","Mobile poll/Bureau itinérant",14,0,4,46,3,0,67,85
35067,"Oxford/Oxford"," 501B","Mobile poll/Bureau itinérant",12,3,20,108,3,5,151,49
35067,"Oxford/Oxford"," 502","Mobile poll/Bureau itinérant",5,0,14,48,3,0,70,139
35067,"Oxford/Oxford"," 503","Mobile poll/Bureau itinérant",8,2,12,28,4,0,54,115
35067,"Oxford/Oxford"," 504","Mobile poll/Bureau itinérant",7,2,8,34,2,1,54,98
35067,"Oxford/Oxford"," 600","Zorra",45,35,44,217,2,1,344,
35067,"Oxford/Oxford"," 601","East Zorra-Tavistock",30,11,21,180,5,1,248,
35067,"Oxford/Oxford"," 602","Blandford-Blenheim",50,18,57,247,0,3,375,
35067,"Oxford/Oxford"," 603","Woodstock",96,17,102,348,9,1,573,
35067,"Oxford/Oxford"," 604","Woodstock",121,25,61,227,4,0,438,
35067,"Oxford/Oxford"," 605","Woodstock",110,10,58,268,5,4,455,
35067,"Oxford/Oxford"," 606","Ingersoll",87,33,45,238,4,4,411,
35067,"Oxford/Oxford"," 607","South-West Oxford",50,18,27,198,2,0,295,
35067,"Oxford/Oxford"," 608","Tillsonburg",130,15,65,417,3,2,632,
35067,"Oxford/Oxford"," 609","Tillsonburg",118,17,92,375,7,3,612,
35067,"Oxford/Oxford"," 610","Norwich",83,15,35,345,13,0,491,
35067,"Oxford/Oxford"," 611","Woodstock",128,13,44,269,4,1,459,
35067,"Oxford/Oxford"," 612","Ingersoll",112,30,50,255,1,1,449,
35067,"Oxford/Oxford",,Group 1/Groupe 1,11,5,36,48,1,3,104,191
35067,"Oxford/Oxford",,Group 2/Groupe 2,166,39,138,592,15,4,954,
