Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stéphane Bakhos,Zaki Ghavitian,Mohamedali Jetha,Karine Joizil,Brent Neil,François Pilon,Polyvios Tsakanikas,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24033,"Laval--Les Îles/Laval--Les Îles"," 74","Laval",1,31,33,52,2,99,0,1,219,374
24033,"Laval--Les Îles/Laval--Les Îles"," 74-1","Laval",0,21,26,28,2,80,0,3,160,305
24033,"Laval--Les Îles/Laval--Les Îles"," 75","Laval",0,9,39,35,2,135,0,5,225,419
24033,"Laval--Les Îles/Laval--Les Îles"," 76","Laval",1,23,54,26,2,85,0,2,193,390
24033,"Laval--Les Îles/Laval--Les Îles"," 77","Laval",0,41,49,54,9,147,0,4,304,545
24033,"Laval--Les Îles/Laval--Les Îles"," 78","Laval",2,26,29,19,7,142,2,5,232,409
24033,"Laval--Les Îles/Laval--Les Îles"," 79","Laval",3,21,38,32,2,134,0,0,230,375
24033,"Laval--Les Îles/Laval--Les Îles"," 80","Laval",1,51,47,52,3,124,0,1,279,514
24033,"Laval--Les Îles/Laval--Les Îles"," 81","Laval",4,31,39,56,6,131,0,4,271,420
24033,"Laval--Les Îles/Laval--Les Îles"," 82","Laval",3,34,28,38,6,155,0,4,268,403
24033,"Laval--Les Îles/Laval--Les Îles"," 83","Laval",1,18,27,47,4,100,1,4,202,313
24033,"Laval--Les Îles/Laval--Les Îles"," 84","Laval",0,28,19,39,5,111,0,2,204,383
24033,"Laval--Les Îles/Laval--Les Îles"," 85","Laval",2,17,22,33,3,50,0,1,128,232
24033,"Laval--Les Îles/Laval--Les Îles"," 86","Laval",0,23,31,15,3,90,0,3,165,341
24033,"Laval--Les Îles/Laval--Les Îles"," 87","Laval",1,34,11,38,3,91,0,2,180,490
24033,"Laval--Les Îles/Laval--Les Îles"," 87-1","Laval",1,30,22,73,5,131,2,3,267,472
24033,"Laval--Les Îles/Laval--Les Îles"," 88","Laval",0,40,13,68,3,135,1,3,263,566
24033,"Laval--Les Îles/Laval--Les Îles"," 88-1","Laval",1,39,5,41,2,66,0,1,155,383
24033,"Laval--Les Îles/Laval--Les Îles"," 89","Laval",3,30,13,48,0,95,1,6,196,449
24033,"Laval--Les Îles/Laval--Les Îles"," 90","Laval",7,17,11,43,0,62,0,0,140,273
24033,"Laval--Les Îles/Laval--Les Îles"," 91","Laval",2,30,15,45,0,89,0,1,182,394
24033,"Laval--Les Îles/Laval--Les Îles"," 92","Laval",0,29,30,64,7,116,0,4,250,561
24033,"Laval--Les Îles/Laval--Les Îles"," 93","Laval",3,30,16,42,6,100,3,0,200,476
24033,"Laval--Les Îles/Laval--Les Îles"," 94","Laval",1,24,25,50,3,96,0,2,201,375
24033,"Laval--Les Îles/Laval--Les Îles"," 95","Laval",3,23,24,48,4,88,0,2,192,373
24033,"Laval--Les Îles/Laval--Les Îles"," 96","Laval",1,29,26,66,5,105,1,5,238,508
24033,"Laval--Les Îles/Laval--Les Îles"," 97","Laval",1,33,26,52,1,115,0,0,228,438
24033,"Laval--Les Îles/Laval--Les Îles"," 98","Laval",0,40,11,44,3,90,0,4,192,332
24033,"Laval--Les Îles/Laval--Les Îles"," 98-1","Laval",1,32,14,46,0,89,1,3,186,310
24033,"Laval--Les Îles/Laval--Les Îles"," 99","Laval",2,46,22,59,5,98,1,2,235,508
24033,"Laval--Les Îles/Laval--Les Îles"," 100","Laval",0,32,1,40,4,94,0,3,174,372
24033,"Laval--Les Îles/Laval--Les Îles"," 101","Laval",5,45,28,43,5,75,1,0,202,469
24033,"Laval--Les Îles/Laval--Les Îles"," 102","Laval",0,14,27,24,2,96,0,1,164,369
24033,"Laval--Les Îles/Laval--Les Îles"," 103","Laval",5,33,8,48,4,84,1,1,184,426
24033,"Laval--Les Îles/Laval--Les Îles"," 104","Laval",0,21,14,26,3,69,2,2,137,304
24033,"Laval--Les Îles/Laval--Les Îles"," 105","Laval",0,34,11,31,8,65,2,4,155,338
24033,"Laval--Les Îles/Laval--Les Îles"," 106","Laval",0,30,18,45,2,92,0,3,190,378
24033,"Laval--Les Îles/Laval--Les Îles"," 107","Laval",0,11,7,25,1,40,0,1,85,345
24033,"Laval--Les Îles/Laval--Les Îles"," 108","Laval",1,41,23,73,2,99,0,4,243,481
