Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Waseem Ahmed,Jaymini Bhikha,Pierre Chénier,Peter Fonseca,Wladyslaw Lizon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 451","Mississauga",61,6,0,68,59,1,195,324
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 452","Mississauga",41,10,0,44,58,1,154,329
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 453","Mississauga",55,8,0,62,100,0,225,413
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 454","Mississauga",61,5,1,58,85,0,210,398
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 455","Mississauga",40,3,0,47,51,0,141,316
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 456","Mississauga",52,10,1,69,50,0,182,414
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 457","Mississauga",23,2,0,28,37,1,91,185
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 500","Mobile poll/Bureau itinérant",5,1,0,20,21,2,49,77
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 501","Mobile poll/Bureau itinérant",8,1,0,21,17,1,48,120
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 502","Mobile poll/Bureau itinérant",21,1,0,35,50,1,108,164
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 600","Mississauga",65,3,2,199,193,1,463,
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 601","Mississauga",26,1,2,129,113,0,271,
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 602","Mississauga",28,9,0,211,188,0,436,
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 603","Mississauga",44,5,2,173,168,0,392,
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 604","Mississauga",27,12,2,202,140,2,385,
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 605","Mississauga",47,10,0,221,219,5,502,
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 606","Mississauga",57,11,6,211,186,2,473,
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 607","Mississauga",41,6,2,198,136,1,384,
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 608","Mississauga",48,9,0,205,141,1,404,
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 609","Mississauga",60,9,4,220,126,1,420,
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 610","Mississauga",63,12,0,209,161,0,445,
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 611","Mississauga",78,16,3,298,213,3,611,
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 612","Mississauga",46,3,3,190,165,3,410,
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 613","Mississauga",48,5,2,242,200,2,499,
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville",,Group 1/Groupe 1,5,1,0,32,29,4,71,138
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville",,Group 2/Groupe 2,42,6,1,189,138,7,383,
