Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Clive Edwards,Jamie Hoskins,Diane Janzen,Dorothy-Jean O'Donnell,Gwen O'Mahony,Mark Strahl,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 169","Chilliwack",1,8,19,2,42,147,0,219,404
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 169-1","Chilliwack",0,11,25,1,28,121,0,186,292
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 170A","Chilliwack",1,9,24,0,35,121,1,191,347
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 170B","Chilliwack",0,3,18,3,30,103,0,157,311
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 170-1","Chilliwack",2,8,20,1,46,129,0,206,425
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 171","Chilliwack",1,11,31,1,56,128,0,228,470
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 172","Chilliwack",1,15,36,1,46,159,0,258,401
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 173","Chilliwack",4,13,19,0,59,172,0,267,474
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 174","Chilliwack",3,10,29,1,41,145,0,229,423
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 175","Chilliwack",0,20,34,1,39,207,1,302,514
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 176","Cultus Lake",0,13,54,1,81,106,0,255,499
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 177","Lindell Beach",Merged with No. 178-1/Fusionné avec le nº 178-1,,,,,,,,17
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 178","Cultus Lake",0,16,31,0,54,56,0,157,314
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 178-1","Cultus Lake",0,9,21,1,39,88,0,158,265
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 179","Lindell Beach",0,15,17,0,70,138,1,241,438
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 180","Slesse Park",2,10,20,0,83,160,1,276,470
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 181","Slesse Park",0,14,4,0,36,56,1,111,200
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 182","Slesse Park",1,19,26,2,100,135,2,285,496
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 500","Mobile poll/Bureau itinérant",0,2,8,2,15,27,0,54,88
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 501A","Mobile poll/Bureau itinérant",2,5,13,2,23,67,2,114,162
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 501B","Mobile poll/Bureau itinérant",0,4,7,3,19,45,2,80,66
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 502","Mobile poll/Bureau itinérant",3,2,16,2,5,24,2,54,90
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 503","Mobile poll/Bureau itinérant",2,5,20,0,19,59,2,107,178
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 504","Mobile poll/Bureau itinérant",0,6,23,1,26,58,1,115,185
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 505","Mobile poll/Bureau itinérant",3,2,6,1,8,38,1,59,78
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 600","Squamish--Lillooet West",0,16,26,0,45,66,0,153,
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 601","Squamish--Lillooet East",0,11,13,1,68,109,0,202,
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 602","Ashcroft--Lytton",0,8,14,1,59,141,1,224,
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 603","Kent",2,21,66,2,88,272,0,451,
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 604","Boston Bar",0,4,3,0,26,38,0,71,
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 605","Hope",3,16,36,4,157,261,1,478,
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 606","Chilliwack--Tzeachten",2,23,108,1,146,501,0,781,
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 607","Chilliwack",5,26,93,0,109,400,1,634,
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 608","Chilliwack",3,9,46,2,77,313,2,452,
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 609","Chilliwack",3,19,70,1,103,419,1,616,
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 610","Chilliwack",2,21,59,4,128,291,3,508,
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 611","Chilliwack",0,23,96,2,94,311,2,528,
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 612","Dewdney--Squawkum Creek",0,2,2,0,9,23,0,36,
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 613","Chilliwack",3,9,67,1,68,297,2,447,
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 614","Chilliwack--Fraser valley",2,6,66,1,59,227,1,362,
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 615","Chilliwack--Fraser valley",0,7,26,0,34,64,1,132,
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon",,Group 1/Groupe 1,0,14,36,2,26,86,8,172,283
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon",,Group 2/Groupe 2,7,29,70,3,119,430,10,668,
