Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Couturier,Claude DeBellefeuille,François Deslandres,Rémi Pelletier,Anne Minh-Thu Quach,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 211","Saint-Bernard-de-Lacolle",28,68,26,5,111,3,241,446
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 212","Saint-Bernard-de-Lacolle",28,50,28,14,142,8,270,467
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 400","Salaberry-de-Valleyfield",16,19,16,1,5,5,62,121
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 401","Salaberry-de-Valleyfield",38,23,22,3,34,0,120,148
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 402","Salaberry-de-Valleyfield",26,20,28,5,27,0,106,146
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 500","Mobile poll/Bureau itinérant",8,14,13,3,6,2,46,70
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 501","Mobile poll/Bureau itinérant",6,21,14,1,7,1,50,113
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 502","Mobile poll/Bureau itinérant",5,14,14,0,3,1,37,57
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 503","Mobile poll/Bureau itinérant",12,12,18,1,22,1,66,24
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 504","Mobile poll/Bureau itinérant",9,22,17,2,20,3,73,170
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 505","Mobile poll/Bureau itinérant",20,16,12,2,7,5,62,84
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 506","Mobile poll/Bureau itinérant",16,5,17,1,8,1,48,103
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 600","Huntingdon--Akwesasne",57,84,31,4,109,0,285,
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 601","Saint-Stanislas-de-Kostka--Saint-Étienne-de-Beauharnois",43,93,35,7,120,2,300,
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 602","Salaberry-de-Valleyfield",67,254,59,1,226,8,615,
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 603","Salaberry-de-Valleyfield",108,303,84,13,311,21,840,
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 604","Salaberry-de-Valleyfield",30,192,32,1,167,3,425,
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 605","Salaberry-de-Valleyfield",68,182,43,6,159,6,464,
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 606","Salaberry-de-Valleyfield",89,253,64,9,314,10,739,
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 607","Beauharnois",74,159,49,8,191,14,495,
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 608","Saint-Chrysostome",43,89,29,7,98,5,271,
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 609","Ormstown--Franklin",108,130,74,12,151,1,476,
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 610","Hemmingford",93,51,59,11,119,3,336,
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 611","Saint-Rémi",90,217,55,9,183,7,561,
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 612","Saint-Édouard",39,101,31,3,78,1,253,
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 613","Napierville",56,85,44,7,135,3,330,
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 614","Huntingdon--Akwesasne",180,96,120,15,230,1,642,
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 615","Salaberry-de-Valleyfield",70,207,40,5,153,1,476,
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 616","Salaberry-de-Valleyfield",76,169,39,3,150,7,444,
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 617","Salaberry-de-Valleyfield",44,156,31,4,113,5,353,
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 618","Beauharnois",57,190,49,8,152,8,464,
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 619","Sainte-Martine",39,132,45,9,130,1,356,
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 620","Napierville",39,54,24,2,83,2,204,
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry",,Group 1/Groupe 1,33,39,18,10,14,7,121,213
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry",,Group 2/Groupe 2,83,404,72,10,101,8,678,
