Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Arseneault,Jean Cloutier,France Gagné,Alexandrine Latendresse,Philippe Mérel,Josée Verner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 603","Québec",2,5,91,169,37,174,7,485,
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 604","Québec",2,4,103,215,50,237,5,616,
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 605","Loretteville--Québec",0,1,70,143,39,113,2,368,
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 606","Loretteville--Québec",4,2,106,190,36,163,4,505,
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 607","Loretteville",2,5,76,158,59,162,4,466,
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 608","Loretteville",2,5,65,147,25,168,4,416,
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 609","Val-Bélair",1,5,54,135,28,201,4,428,
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 610","Val-Bélair",0,13,73,153,27,185,5,456,
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 611","Val-Bélair",1,2,60,105,9,116,7,300,
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 612","Val-Bélair",0,8,98,184,20,222,4,536,
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 613","Québec--Val-Bélair",0,3,81,121,38,132,5,380,
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 614","Québec",3,1,58,113,15,115,2,307,
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 615","Québec--Val-Bélair",2,3,73,138,18,209,3,446,
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 616","Québec",3,2,87,149,23,129,5,398,
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 617","Québec",2,4,72,155,32,148,6,419,
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 618","L'Ancienne-Lorette",0,6,93,215,43,262,4,623,
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 619","L'Ancienne-Lorette",2,9,115,252,30,320,10,738,
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 620","L'Ancienne-Lorette",2,8,127,283,65,348,10,843,
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 621","Val-Bélair",0,0,44,115,23,112,6,300,
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 622","Québec",1,3,122,180,40,183,4,533,
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 623","Québec",0,2,35,69,12,39,4,161,
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent",,Group 1/Groupe 1,1,8,48,78,36,464,27,662,1513
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent",,Group 2/Groupe 2,2,9,244,223,102,514,23,1117,
