Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Anderson,Duane Filson,Trevor Peterson,Helmi Scott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 120","Mankota",98,5,14,3,0,120,163
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 121","Coderre",127,20,20,0,0,167,222
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 122","Glenbain",55,10,10,4,0,79,144
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 123","Gravelbourg",96,11,36,9,0,152,274
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 124","Gravelbourg",55,11,18,3,0,87,140
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 125","Gravelbourg",154,49,97,2,0,302,531
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 126","Gravelbourg",44,16,19,2,0,81,157
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 127","Kincaid",81,10,16,3,0,110,178
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 128","Laflèche",95,42,29,4,0,170,236
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 129","Lafleche",132,42,61,6,1,242,369
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 130","McCord",91,8,19,3,0,121,167
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 131","Limerick",130,19,46,8,0,203,289
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 132","Assiniboia",189,8,53,7,0,257,367
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 133","Assiniboia",Void/Supprimé,,,,,,
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 134","Assiniboia",148,27,53,3,1,232,315
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 135A","Assiniboia",148,13,44,4,0,209,361
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 135B","Assiniboia",119,9,35,4,0,167,285
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 136","Assiniboia",87,17,57,4,0,165,234
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 137","Assiniboia",120,17,48,2,0,187,343
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 138","Assiniboia",121,14,58,2,2,197,273
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 139","Fir Mountain",112,23,24,7,3,169,232
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 140","Wood Mountain",55,11,32,6,1,105,191
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 141","Willow Bunch",69,8,23,4,0,104,180
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 142","Willow Bunch",95,25,69,7,0,196,279
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 143","Rockglen",181,13,34,7,0,235,340
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 144","Rockglen",134,17,62,4,0,217,322
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 500","Mobile poll/Bureau itinérant",43,8,27,1,0,79,148
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 501","Mobile poll/Bureau itinérant",71,5,59,8,2,145,210
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 502","Mobile poll/Bureau itinérant",7,11,19,0,2,39,80
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 503","Mobile poll/Bureau itinérant",102,8,34,2,0,146,179
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 504","Mobile poll/Bureau itinérant",14,7,3,0,2,26,35
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 505","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 600","Eston",125,20,15,5,1,166,
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 601","Leader",83,5,15,6,0,109,
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 602","Cabri",221,23,41,12,0,297,
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 603","Swift Current",246,27,62,10,4,349,
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 604","Chaplin",42,6,20,2,0,70,
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 605","Maple Creek",112,7,23,4,0,146,
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 606","Gull Lake",86,8,15,1,0,110,
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 607","Shaunavon",149,4,40,5,2,200,
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 608","Ponteix",46,15,7,0,0,68,
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 609","Gravelbourg",93,40,35,10,0,178,
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 610","Assiniboia",162,23,57,9,0,251,
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 611","Dinsmore",64,4,21,2,0,91,
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 612","Swift Current",213,29,62,8,0,312,
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands",,Group 1/Groupe 1,25,5,9,3,2,44,81
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands",,Group 2/Groupe 2,323,64,116,20,8,531,
