Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dave Braden,Jamilé Ghaddar,Anthony Giles,Nancy MacBain,Peter Michael Ormond,David Sweet,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 26","Flamborough",13,0,0,26,13,110,0,162,332
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 27","Flamborough",32,0,0,18,6,130,0,186,307
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 28","Flamborough",41,0,0,37,13,146,0,237,355
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 29","Flamborough",28,0,0,31,9,96,1,165,272
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 30","Flamborough",20,0,3,38,8,129,0,198,287
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 31","Flamborough",19,0,1,23,5,121,0,169,323
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 32","Flamborough",37,1,1,56,13,126,0,234,348
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 33","Flamborough",28,0,1,42,9,146,2,228,313
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 34","Flamborough",19,0,0,19,8,122,0,168,289
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 35","Flamborough",11,1,1,37,4,110,0,164,281
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 36","Flamborough",46,4,0,28,9,128,0,215,364
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 37","Flamborough",39,0,0,31,10,95,0,175,341
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 38","Flamborough",52,0,1,36,14,161,1,265,442
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 39","Flamborough",51,1,0,28,22,116,0,218,368
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 40","Flamborough",42,1,0,71,11,147,0,272,432
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 41","Flamborough",58,0,0,23,13,125,2,221,346
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 42","Flamborough",76,0,0,42,14,135,1,268,401
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 43","Flamborough",15,0,1,27,6,124,1,174,292
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 44","Flamborough",30,0,0,31,8,128,0,197,315
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 45","Flamborough",39,0,1,29,15,128,1,213,387
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 46","Flamborough",31,1,1,43,5,105,0,186,407
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 47","Flamborough",37,1,3,63,18,165,3,290,553
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 48A","Flamborough",28,0,1,34,10,112,0,185,320
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 48B","Flamborough",35,1,3,27,6,111,0,183,318
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 49","Flamborough",36,0,1,33,4,79,0,153,273
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 50","Flamborough",35,0,1,41,21,110,1,209,413
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 51","Flamborough",21,0,0,25,12,97,1,156,324
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 52","Flamborough",54,1,0,44,19,115,2,235,383
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 53","Flamborough",31,1,3,35,12,107,2,191,345
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 54","Flamborough",53,1,2,22,9,112,2,201,380
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 55A","Flamborough",21,1,1,30,13,111,1,178,333
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 55B","Flamborough",27,0,0,29,10,91,1,158,307
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 56","Flamborough",11,0,1,40,6,101,0,159,279
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 57","Flamborough",26,0,0,14,7,138,2,187,301
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 58","Flamborough",19,0,0,36,8,54,0,117,301
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 59","Flamborough",51,0,0,52,17,112,0,232,462
