Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ron Cannan,Alice Hooper,Tisha Kalmanovitch,Kris Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 506","Mobile poll/Bureau itinérant",100,2,25,16,1,144,228
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 507","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 508","Mobile poll/Bureau itinérant",97,2,43,14,2,158,218
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 509","Mobile poll/Bureau itinérant",107,0,20,25,1,153,172
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 510","Mobile poll/Bureau itinérant",80,5,13,8,0,106,130
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 511","Mobile poll/Bureau itinérant",63,6,23,11,0,103,129
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 512","Mobile poll/Bureau itinérant",113,4,16,11,0,144,205
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 513","Mobile poll/Bureau itinérant",66,5,17,11,0,99,111
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 600","Lake Country--Duck Lake",255,37,75,73,1,441,
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 601","Lake Country--Duck Lake",266,26,69,33,1,395,
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 602","Kelowna",320,30,97,51,0,498,
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 603","Kelowna",242,34,106,34,0,416,
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 604","Kelowna",224,25,67,36,0,352,
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 605","Kelowna",342,25,99,56,2,524,
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 606","Kelowna",266,40,109,48,0,463,
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 607","Kelowna",230,37,64,67,0,398,
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 608","Kelowna",375,42,97,111,0,625,
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 609","Kelowna",343,51,111,115,3,623,
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 610","Kelowna",201,40,102,65,2,410,
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 611","Kelowna",149,23,72,60,0,304,
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 612","Kelowna",171,29,78,48,3,329,
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 613","Kelowna",367,26,101,99,2,595,
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 614","Kelowna",319,30,96,105,3,553,
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 615","Kelowna",297,38,63,79,3,480,
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 616","Kelowna",383,32,69,134,1,619,
59011,"Kelowna--Lake Country/Kelowna--Lake Country",,Group 1/Groupe 1,48,22,18,44,10,142,208
59011,"Kelowna--Lake Country/Kelowna--Lake Country",,Group 2/Groupe 2,690,24,112,167,6,999,
