Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,François Beauchamp,Johanne Deschamps,Guy Joncas,Jean-Marc Lacoste,Marc-André Morin,Mikaël St-Louis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24030,"Laurentides--Labelle/Laurentides--Labelle"," 95","Saint-Jovite",4,59,18,24,91,0,3,199,439
24030,"Laurentides--Labelle/Laurentides--Labelle"," 96","Saint-Jovite",7,63,27,28,77,3,2,207,491
24030,"Laurentides--Labelle/Laurentides--Labelle"," 96-1","Saint-Jovite",3,43,16,7,72,1,2,144,395
24030,"Laurentides--Labelle/Laurentides--Labelle"," 96-2","Saint-Jovite",Void/Supprimé,,,,,,,,
24030,"Laurentides--Labelle/Laurentides--Labelle"," 97","Saint-Jovite",5,46,13,10,87,0,1,162,399
24030,"Laurentides--Labelle/Laurentides--Labelle"," 97-1","Saint-Jovite",6,57,26,23,74,0,0,186,379
24030,"Laurentides--Labelle/Laurentides--Labelle"," 98","Brébeuf",7,50,12,12,76,1,4,162,269
24030,"Laurentides--Labelle/Laurentides--Labelle"," 99","Brébeuf",11,109,21,19,156,1,8,325,543
24030,"Laurentides--Labelle/Laurentides--Labelle"," 100","Vendée",6,90,26,22,140,1,2,287,470
24030,"Laurentides--Labelle/Laurentides--Labelle"," 101","Saint-Rémi-d'Amherst",5,81,20,12,132,1,4,255,454
24030,"Laurentides--Labelle/Laurentides--Labelle"," 101-1","Saint-Rémi-d'Amherst",4,57,17,12,94,0,2,186,342
24030,"Laurentides--Labelle/Laurentides--Labelle"," 102","Boileau",Void/Supprimé,,,,,,,,
24030,"Laurentides--Labelle/Laurentides--Labelle"," 103","Huberdeau",9,48,14,15,65,1,1,153,263
24030,"Laurentides--Labelle/Laurentides--Labelle"," 104","Gray Valley",5,77,23,18,98,0,4,225,458
24030,"Laurentides--Labelle/Laurentides--Labelle"," 105","Arundel",6,44,49,53,142,0,1,295,526
24030,"Laurentides--Labelle/Laurentides--Labelle"," 106","Weir",10,52,26,48,125,0,0,261,499
24030,"Laurentides--Labelle/Laurentides--Labelle"," 107","Lac-Supérieur",7,88,27,28,106,0,4,260,477
24030,"Laurentides--Labelle/Laurentides--Labelle"," 108","Lac-Supérieur",11,81,16,30,111,0,4,253,485
24030,"Laurentides--Labelle/Laurentides--Labelle"," 109","Lac-Supérieur",9,77,13,16,130,0,6,251,505
24030,"Laurentides--Labelle/Laurentides--Labelle"," 110","Saint-Faustin",9,85,21,16,136,0,0,267,491
24030,"Laurentides--Labelle/Laurentides--Labelle"," 111","Lac-Carré",4,44,17,13,77,0,0,155,339
24030,"Laurentides--Labelle/Laurentides--Labelle"," 112","Lac-Carré",7,68,11,9,98,2,1,196,453
24030,"Laurentides--Labelle/Laurentides--Labelle"," 113","Saint-Faustin",8,86,28,16,171,1,0,310,621
24030,"Laurentides--Labelle/Laurentides--Labelle"," 114","Saint-Faustin",5,68,21,15,119,0,1,229,493
24030,"Laurentides--Labelle/Laurentides--Labelle"," 115","Saint-Faustin",6,49,21,9,71,0,2,158,291
24030,"Laurentides--Labelle/Laurentides--Labelle"," 116","Val-des-Lacs",1,40,4,2,40,0,1,88,168
24030,"Laurentides--Labelle/Laurentides--Labelle"," 116-1","Val-des-Lacs",3,96,7,13,111,0,3,233,455
24030,"Laurentides--Labelle/Laurentides--Labelle"," 117","Saint-Donat",Void/Supprimé,,,,,,,,
24030,"Laurentides--Labelle/Laurentides--Labelle"," 118","Lantier",3,37,9,9,64,0,3,125,221
24030,"Laurentides--Labelle/Laurentides--Labelle"," 118-1","Lantier",4,82,12,18,87,0,6,209,452
24030,"Laurentides--Labelle/Laurentides--Labelle"," 119","Sainte-Lucie-des-Laurentides",10,101,22,26,145,1,3,308,493
24030,"Laurentides--Labelle/Laurentides--Labelle"," 120","Sainte-Lucie-des-Laurentides",12,105,24,10,142,0,2,295,509
24030,"Laurentides--Labelle/Laurentides--Labelle"," 120-1","Sainte-Lucie-des-Laurentides",Void/Supprimé,,,,,,,,
24030,"Laurentides--Labelle/Laurentides--Labelle"," 121","Sainte-Agathe-des-Monts",2,51,7,10,54,0,1,125,298
24030,"Laurentides--Labelle/Laurentides--Labelle"," 122","Sainte-Agathe-des-Monts",2,24,5,1,45,0,3,80,212
24030,"Laurentides--Labelle/Laurentides--Labelle"," 123","Sainte-Agathe-des-Monts",2,30,3,9,37,1,1,83,209
24030,"Laurentides--Labelle/Laurentides--Labelle"," 123-1","Sainte-Agathe-des-Monts",8,86,12,6,96,0,1,209,402
24030,"Laurentides--Labelle/Laurentides--Labelle"," 124","Ivry",4,49,19,19,63,1,1,156,309
24030,"Laurentides--Labelle/Laurentides--Labelle"," 125","Sainte-Agathe-des-Monts",2,38,7,11,48,0,0,106,219
24030,"Laurentides--Labelle/Laurentides--Labelle"," 126","Sainte-Agathe-des-Monts",7,89,30,15,139,0,4,284,581
24030,"Laurentides--Labelle/Laurentides--Labelle"," 127","Sainte-Agathe-des-Monts",7,64,10,16,103,0,7,207,509
24030,"Laurentides--Labelle/Laurentides--Labelle"," 128","Sainte-Agathe-des-Monts",5,59,20,23,81,1,2,191,434
24030,"Laurentides--Labelle/Laurentides--Labelle"," 129","Sainte-Agathe-des-Monts",3,59,7,16,68,0,4,157,444
24030,"Laurentides--Labelle/Laurentides--Labelle"," 130","Sainte-Agathe-des-Monts",5,29,11,16,30,1,2,94,220
24030,"Laurentides--Labelle/Laurentides--Labelle"," 131","Sainte-Agathe-des-Monts",0,49,10,12,38,0,4,113,321
24030,"Laurentides--Labelle/Laurentides--Labelle"," 132","Sainte-Agathe-des-Monts",4,54,8,9,39,1,1,116,332
24030,"Laurentides--Labelle/Laurentides--Labelle"," 133","Sainte-Agathe-des-Monts",4,58,9,9,87,0,4,171,389
24030,"Laurentides--Labelle/Laurentides--Labelle"," 134","Sainte-Agathe-des-Monts",2,49,4,19,43,0,0,117,303
24030,"Laurentides--Labelle/Laurentides--Labelle"," 135","Sainte-Agathe-des-Monts",3,49,15,11,46,0,0,124,303
24030,"Laurentides--Labelle/Laurentides--Labelle"," 136","Sainte-Agathe-des-Monts",5,51,2,5,33,1,1,98,303
24030,"Laurentides--Labelle/Laurentides--Labelle"," 137","Sainte-Agathe-des-Monts",5,41,9,17,75,0,5,152,343
24030,"Laurentides--Labelle/Laurentides--Labelle"," 138","Sainte-Agathe-des-Monts",3,37,20,19,71,0,0,150,362
24030,"Laurentides--Labelle/Laurentides--Labelle"," 139","Sainte-Agathe-des-Monts",1,67,12,9,67,1,4,161,424
24030,"Laurentides--Labelle/Laurentides--Labelle"," 140","Sainte-Agathe-des-Monts",6,65,8,14,96,0,1,190,459
24030,"Laurentides--Labelle/Laurentides--Labelle"," 141","Sainte-Agathe-des-Monts",7,59,18,18,109,0,3,214,435
24030,"Laurentides--Labelle/Laurentides--Labelle"," 142","Sainte-Agathe-des-Monts",3,66,14,15,96,0,1,195,407
24030,"Laurentides--Labelle/Laurentides--Labelle"," 143","Val-David",9,75,9,20,78,0,1,192,337
24030,"Laurentides--Labelle/Laurentides--Labelle"," 143-1","Val-David",11,60,13,11,74,0,1,170,363
24030,"Laurentides--Labelle/Laurentides--Labelle"," 144","Val-David",6,75,5,12,92,1,4,195,356
24030,"Laurentides--Labelle/Laurentides--Labelle"," 145","Val-David",9,77,20,18,129,0,7,260,500
24030,"Laurentides--Labelle/Laurentides--Labelle"," 146","Val-David",10,84,14,20,98,1,3,230,394
24030,"Laurentides--Labelle/Laurentides--Labelle"," 147","Val-David",12,78,8,19,85,1,2,205,348
24030,"Laurentides--Labelle/Laurentides--Labelle"," 147-1","Val-David",13,48,8,19,74,0,4,166,315
24030,"Laurentides--Labelle/Laurentides--Labelle"," 148","Val-David",10,59,18,5,59,1,3,155,339
24030,"Laurentides--Labelle/Laurentides--Labelle"," 148-1","Val-David",14,38,14,20,80,0,0,166,340
24030,"Laurentides--Labelle/Laurentides--Labelle"," 149","Val-David",4,43,5,6,95,0,1,154,316
24030,"Laurentides--Labelle/Laurentides--Labelle"," 149-1","Val-David",7,34,15,9,54,0,1,120,257
24030,"Laurentides--Labelle/Laurentides--Labelle"," 150","Val-Morin",6,81,17,24,102,0,5,235,429
24030,"Laurentides--Labelle/Laurentides--Labelle"," 151","Val-Morin",5,47,15,10,75,1,6,159,345
24030,"Laurentides--Labelle/Laurentides--Labelle"," 152","Val-Morin",8,86,15,20,135,0,0,264,528
24030,"Laurentides--Labelle/Laurentides--Labelle"," 153","Val-Morin",8,63,25,16,110,0,1,223,421
24030,"Laurentides--Labelle/Laurentides--Labelle"," 154","Val-Morin",10,75,14,16,119,0,2,236,510
24030,"Laurentides--Labelle/Laurentides--Labelle"," 155","Sainte-Marguerite-du-Lac-Masson",4,49,13,17,72,0,1,156,325
24030,"Laurentides--Labelle/Laurentides--Labelle"," 156","Sainte-Marguerite-du-Lac-Masson",2,43,11,9,57,0,2,124,276
24030,"Laurentides--Labelle/Laurentides--Labelle"," 156-1","Sainte-Marguerite-du-Lac-Masson",4,73,25,13,102,0,2,219,443
