Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,François Cloutier,Carol Hughes,Lorraine A. Rekmans,Ray Sturgeon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 189","Mindemoya",26,87,12,86,0,211,387
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 190","M'Chigeeng 22",19,200,12,27,0,258,524
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 190-1","M'Chigeeng 22",5,45,3,4,0,57,121
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 191","Big Lake--Sandfield",7,34,8,73,0,122,212
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 192","Tehkummah",21,100,8,149,1,279,402
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 193","Meldrum Bay",1,10,0,23,0,34,53
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 194","Silver Water",7,39,3,35,0,84,112
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 195","Zhiibaahaasing 19A",Merged with No. 196/Fusionné avec le nº 196,,,,,,24
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 196","Sheshegwaning",10,58,1,2,0,71,69
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 197","Burpee and Mills",5,60,5,99,0,169,269
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 198","Gordon--Barrie Island",10,78,11,97,1,197,303
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 199","Gore Bay",18,81,7,69,3,178,336
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 200","Gore Bay",17,78,7,138,2,242,472
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 201","Kagawong",27,92,6,142,1,268,401
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 500","Mobile poll/Bureau itinérant",35,28,3,14,1,81,118
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 501","Mobile poll/Bureau itinérant",16,28,2,19,4,69,105
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 502","Mobile poll/Bureau itinérant",13,12,1,19,2,47,122
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 503","Mobile poll/Bureau itinérant",27,17,2,11,0,57,81
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 600","Manitouwadge",25,118,3,70,1,217,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 601","Hornepayne",13,69,6,20,0,108,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 602","White River",15,39,7,21,0,82,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 603","Hearst",117,142,3,41,4,307,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 604","Kapuskasing",97,153,4,63,2,319,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 605","Smooth Rock Falls",73,78,1,39,1,192,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 606","Michipicoten",21,100,1,61,0,183,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 607","Chapleau",63,185,10,100,2,360,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 608","Thessalon",20,64,7,174,1,266,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 609","Blind River",107,226,16,223,6,578,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 610","Elliot Lake",94,202,20,178,0,494,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 611","Elliot Lake",66,150,20,162,1,399,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 612","Massey",30,110,6,74,0,220,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 613","Espanola",48,72,4,97,2,223,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 614","Little Current",44,79,8,101,0,232,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 615","Central Manitoulin",16,72,9,109,1,207,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 616","Gore Bay",28,56,10,100,1,195,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 617","Elliot Lake",46,176,13,183,0,418,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 618","Kapuskasing",81,156,6,38,0,281,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 619","Dubreuilville",6,31,0,3,0,40,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 620","Espanola",53,106,5,103,2,269,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing",,Group 1/Groupe 1,41,25,14,66,6,152,292
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing",,Group 2/Groupe 2,273,487,36,375,17,1188,
