Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tyrone Benskin,Mark Bruneau,Pierre Lafontaine,Richard Noël,Thierry St-Cyr,Eileen Studd,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 199","Verdun",80,17,14,4,28,0,0,143,272
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 200","Verdun",74,14,17,2,42,0,1,150,270
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 201","Verdun",106,21,23,6,40,1,3,200,379
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 202","Verdun",65,19,9,4,32,0,5,134,267
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 203","Verdun",67,32,14,2,46,0,3,164,311
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 204","Verdun",68,22,7,1,21,0,2,121,321
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 205","Verdun",103,33,30,5,76,0,2,249,450
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 206","Verdun",103,34,28,4,68,1,1,239,392
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 207","Verdun",117,33,15,3,68,0,2,238,366
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 208","Verdun",91,27,23,4,56,0,0,201,388
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 400","Montréal",Void/Supprimé,,,,,,,,
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 401","Montréal",Void/Supprimé,,,,,,,,
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 402","Montréal",13,7,4,0,13,1,1,39,151
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 403","Montréal",40,27,13,1,24,2,6,113,164
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 404","Montréal",12,17,15,1,9,0,5,59,121
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 405","Montréal",41,82,31,1,18,1,4,178,227
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 406","Montréal",66,63,30,2,19,0,1,181,334
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 407","Montréal",33,23,9,1,14,0,0,80,141
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 408","Montréal",31,32,8,1,14,0,1,87,149
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 409","Montréal",46,50,39,4,25,0,0,164,284
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 410","Montréal",25,27,20,1,27,0,0,100,157
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 411","Montréal",27,47,25,0,11,0,0,110,180
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 412","Montréal",45,57,32,2,25,1,0,162,233
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 413","Montréal",62,26,13,2,27,0,1,131,202
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 414","Montréal",40,19,9,0,13,0,2,83,215
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 415","Montréal",37,24,9,2,10,0,1,83,169
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 416","Montréal",33,28,5,3,12,0,3,84,183
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 417","Montréal",41,26,10,4,21,0,0,102,258
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 418","Montréal",25,31,8,0,12,0,0,76,155
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 419","Montréal",41,14,6,2,21,0,0,84,211
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 420","Montréal",56,22,14,0,14,0,2,108,225
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 421","Montréal",31,21,7,1,11,0,1,72,210
