Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Wendy Menzies,Cheryl Osborne,Robert Sopuck,Kate Storey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 108B","Ebb and Flow 52",2,55,5,1,0,63,191
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 108C","Ebb and Flow 52",3,71,1,1,0,76,255
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 109","Alonsa",7,25,37,1,0,70,215
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 110","McCreary",9,10,45,5,0,69,121
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 111","McCreary",9,36,131,10,1,187,376
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 112","McCreary",13,21,61,1,0,96,230
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 113","Alonsa",7,34,117,4,0,162,279
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 114","Amaranth",5,20,75,1,1,102,200
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 115A","Sandy Bay 5",0,3,1,0,0,4,294
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 115B","Sandy Bay 5",4,42,6,3,0,55,323
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 115C","Sandy Bay 5",3,20,7,1,0,31,419
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 116","Sandy Bay 5",1,19,1,0,2,23,335
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 117","St-Lazare",30,30,131,2,2,195,382
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 118","Foxwarren",5,21,119,5,0,150,257
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 119","Solsgirth",10,35,114,8,1,168,290
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 120","Birtle",12,26,55,5,0,98,179
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 121","Birtle",5,29,68,4,0,106,255
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 122","McAuley",12,26,102,6,0,146,239
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 123","Beulah",4,17,44,5,1,71,258
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 124","Miniota",6,68,217,14,0,305,533
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 125","Shoal Lake",7,29,70,8,0,114,160
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 126","Shoal Lake",9,24,111,8,1,153,277
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 127","Shoal Lake",7,34,88,4,0,133,210
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 128","Strathclair",6,27,76,6,1,116,179
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 129","Strathclair",15,27,108,9,1,160,272
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 130","Oakner",10,22,123,13,0,168,301
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 131","Hamiota",10,50,96,6,1,163,319
