Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean Marie Gionet,Yvon Godin,Louis Robichaud,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13001,"Acadie--Bathurst/Acadie--Bathurst"," 180","Saumarez",15,114,17,2,148,304
13001,"Acadie--Bathurst/Acadie--Bathurst"," 181","Benoit",31,130,23,4,188,285
13001,"Acadie--Bathurst/Acadie--Bathurst"," 182","Saint-Irénée",46,230,17,6,299,405
13001,"Acadie--Bathurst/Acadie--Bathurst"," 183","Saint-Irénée",23,146,21,0,190,284
13001,"Acadie--Bathurst/Acadie--Bathurst"," 184","Haut Sheila",20,168,28,5,221,325
13001,"Acadie--Bathurst/Acadie--Bathurst"," 185","Saint-Pons",13,118,29,0,160,227
13001,"Acadie--Bathurst/Acadie--Bathurst"," 186","Haut Sheila",29,143,17,8,197,283
13001,"Acadie--Bathurst/Acadie--Bathurst"," 187","Val-Comeau",37,193,45,1,276,399
13001,"Acadie--Bathurst/Acadie--Bathurst"," 188","Tracadie Beach",31,184,32,5,252,381
13001,"Acadie--Bathurst/Acadie--Bathurst"," 189","Leech",10,160,13,0,183,264
13001,"Acadie--Bathurst/Acadie--Bathurst"," 189-1","Leech",15,123,22,3,163,264
13001,"Acadie--Bathurst/Acadie--Bathurst"," 190","Pont-Lafrance",21,181,22,1,225,352
13001,"Acadie--Bathurst/Acadie--Bathurst"," 191","Pont-Lafrance",29,117,22,1,169,283
13001,"Acadie--Bathurst/Acadie--Bathurst"," 192","Tracadie-Sheila",27,106,34,2,169,346
13001,"Acadie--Bathurst/Acadie--Bathurst"," 193","Tracadie-Sheila",28,115,33,3,179,361
13001,"Acadie--Bathurst/Acadie--Bathurst"," 194","Tracadie-Sheila",19,92,16,3,130,321
13001,"Acadie--Bathurst/Acadie--Bathurst"," 195","Tracadie-Sheila",24,130,33,7,194,356
13001,"Acadie--Bathurst/Acadie--Bathurst"," 196","Tracadie-Sheila",21,124,20,4,169,379
13001,"Acadie--Bathurst/Acadie--Bathurst"," 197","Tracadie-Sheila",23,135,36,3,197,414
13001,"Acadie--Bathurst/Acadie--Bathurst"," 198A","Tracadie-Sheila",25,175,43,10,253,482
13001,"Acadie--Bathurst/Acadie--Bathurst"," 198B","Mobile poll/Bureau itinérant",Merged with No. 506A/Fusionné avec le nº 506A,,,,,25
13001,"Acadie--Bathurst/Acadie--Bathurst"," 199","Pointe-à-Boileau",38,190,40,8,276,482
13001,"Acadie--Bathurst/Acadie--Bathurst"," 200","Tracadie-Sheila",38,191,23,7,259,457
13001,"Acadie--Bathurst/Acadie--Bathurst"," 201","Tracadie-Sheila",38,151,50,8,247,390
13001,"Acadie--Bathurst/Acadie--Bathurst"," 500","Mobile poll/Bureau itinérant",25,35,7,1,68,106
13001,"Acadie--Bathurst/Acadie--Bathurst"," 501","Mobile poll/Bureau itinérant",43,65,24,2,134,171
13001,"Acadie--Bathurst/Acadie--Bathurst"," 502","Mobile poll/Bureau itinérant",24,31,5,0,60,68
13001,"Acadie--Bathurst/Acadie--Bathurst"," 503A","Mobile poll/Bureau itinérant",11,15,6,2,34,39
13001,"Acadie--Bathurst/Acadie--Bathurst"," 503B","Mobile poll/Bureau itinérant",6,13,4,3,26,35
13001,"Acadie--Bathurst/Acadie--Bathurst"," 504","Mobile poll/Bureau itinérant",21,30,16,1,68,98
13001,"Acadie--Bathurst/Acadie--Bathurst"," 505","Mobile poll/Bureau itinérant",17,37,12,0,66,99
13001,"Acadie--Bathurst/Acadie--Bathurst"," 506A","Mobile poll/Bureau itinérant",29,25,10,1,65,42
13001,"Acadie--Bathurst/Acadie--Bathurst"," 506B","Mobile poll/Bureau itinérant",7,9,5,3,24,80
13001,"Acadie--Bathurst/Acadie--Bathurst"," 507","Mobile poll/Bureau itinérant",15,29,23,0,67,133
13001,"Acadie--Bathurst/Acadie--Bathurst"," 508","Mobile poll/Bureau itinérant",7,58,15,2,82,106
13001,"Acadie--Bathurst/Acadie--Bathurst"," 509","Mobile poll/Bureau itinérant",11,30,7,3,51,62
13001,"Acadie--Bathurst/Acadie--Bathurst"," 510","Mobile poll/Bureau itinérant",25,40,16,0,81,118
13001,"Acadie--Bathurst/Acadie--Bathurst"," 511","Mobile poll/Bureau itinérant",15,20,11,2,48,57
13001,"Acadie--Bathurst/Acadie--Bathurst"," 512","Mobile poll/Bureau itinérant",19,51,12,2,84,105
13001,"Acadie--Bathurst/Acadie--Bathurst"," 513A","Mobile poll/Bureau itinérant",13,13,1,1,28,15
13001,"Acadie--Bathurst/Acadie--Bathurst"," 513B","Mobile poll/Bureau itinérant",3,16,3,0,22,25
13001,"Acadie--Bathurst/Acadie--Bathurst"," 514","Mobile poll/Bureau itinérant",6,19,6,0,31,46
13001,"Acadie--Bathurst/Acadie--Bathurst"," 515","Mobile poll/Bureau itinérant",6,32,9,2,49,58
13001,"Acadie--Bathurst/Acadie--Bathurst"," 516","Mobile poll/Bureau itinérant",28,29,14,2,73,120
13001,"Acadie--Bathurst/Acadie--Bathurst"," 517","Mobile poll/Bureau itinérant",33,35,17,0,85,122
13001,"Acadie--Bathurst/Acadie--Bathurst"," 518","Mobile poll/Bureau itinérant",13,32,13,5,63,81
13001,"Acadie--Bathurst/Acadie--Bathurst"," 600","Petit-Rocher",85,256,74,2,417,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 601","Robertville",38,140,44,3,225,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 602","Beresford",74,304,95,3,476,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 603","Bathurst",117,261,132,5,515,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 604","Bathurst",97,245,132,3,477,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 605","Bathurst",83,282,166,6,537,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 606","Nipisiguit",19,74,50,1,144,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 607","Allardville",17,147,66,1,231,
