Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Will Arlow,John Fisher,Carl Hiemstra,Joe Preston,Fred Sinclair,Graham Warwick,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 608","Port Stanley",1,12,0,212,68,93,0,386,
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 609","St. Thomas",0,7,2,260,87,51,1,408,
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 610","St. Thomas--Central Elgin",1,4,1,109,26,24,0,165,
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 611","St. Thomas",1,5,6,93,68,28,3,204,
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 612","St. Thomas",2,17,2,200,75,45,0,341,
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 613","St. Thomas",1,7,5,327,85,72,1,498,
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 614","St. Thomas",1,7,2,335,109,90,2,546,
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 615","St. Thomas--Central Elgin",1,17,2,337,77,108,0,542,
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 616","Sparta",0,5,1,123,36,31,0,196,
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 617","Malahide",1,5,5,130,27,26,0,194,
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 618","Aylmer",1,14,11,460,99,116,3,704,
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 619","Bayham",0,9,4,215,26,24,0,278,
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London",,Group 1/Groupe 1,0,3,1,67,12,37,5,125,244
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London",,Group 2/Groupe 2,1,9,4,253,78,99,13,457,
