Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Vivian Barbot,Shama Chopra,Peter Macrisopoulos,Danny Polifroni,Marcos Radhames Tejada,Justin Trudeau,Joseph Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24048,"Papineau/Papineau"," 118","Montréal",107,7,1,8,91,45,0,2,261,406
24048,"Papineau/Papineau"," 119","Montréal",64,3,1,2,64,44,0,3,181,341
24048,"Papineau/Papineau"," 120","Montréal",69,12,2,3,70,56,0,2,214,318
24048,"Papineau/Papineau"," 121","Montréal",82,11,0,3,75,43,0,2,216,339
24048,"Papineau/Papineau"," 122","Montréal",91,4,0,6,84,63,1,0,249,406
24048,"Papineau/Papineau"," 123","Montréal",89,9,0,3,91,40,0,0,232,375
24048,"Papineau/Papineau"," 124","Montréal",62,2,0,1,71,44,1,2,183,316
24048,"Papineau/Papineau"," 125","Montréal",70,10,0,6,82,54,0,0,222,335
24048,"Papineau/Papineau"," 126","Montréal",83,1,2,11,80,48,0,2,227,347
24048,"Papineau/Papineau"," 127","Montréal",60,7,0,7,70,43,0,1,188,384
24048,"Papineau/Papineau"," 128","Montréal",66,7,0,5,66,40,0,3,187,308
24048,"Papineau/Papineau"," 129","Montréal",85,9,0,5,66,48,4,3,220,340
24048,"Papineau/Papineau"," 130","Montréal",58,13,0,2,71,60,0,4,208,385
24048,"Papineau/Papineau"," 131A","Montréal",49,7,2,3,36,33,0,0,130,246
24048,"Papineau/Papineau"," 131B","Montréal",37,3,0,0,55,31,0,0,126,233
24048,"Papineau/Papineau"," 132","Montréal",67,6,1,8,77,48,0,2,209,357
24048,"Papineau/Papineau"," 133","Montréal",49,7,2,4,62,53,0,0,177,352
24048,"Papineau/Papineau"," 134A","Montréal",41,4,0,5,52,49,0,0,151,239
24048,"Papineau/Papineau"," 134B","Montréal",48,1,0,4,48,38,1,3,143,231
24048,"Papineau/Papineau"," 135","Montréal",47,11,0,4,71,73,1,5,212,361
24048,"Papineau/Papineau"," 136","Montréal",42,21,2,1,46,106,1,0,219,330
24048,"Papineau/Papineau"," 137","Montréal",55,9,1,2,70,79,0,2,218,376
24048,"Papineau/Papineau"," 138","Montréal",47,2,0,2,60,32,0,0,143,302
24048,"Papineau/Papineau"," 139","Montréal",43,4,0,1,78,69,0,2,197,363
24048,"Papineau/Papineau"," 139-1","Montréal",Void/Supprimé,,,,,,,,,
24048,"Papineau/Papineau"," 140A","Montréal",63,6,0,3,60,54,0,0,186,337
24048,"Papineau/Papineau"," 140B","Montréal",54,4,1,2,55,61,1,0,178,340
24048,"Papineau/Papineau"," 141","Montréal",6,8,2,1,21,137,0,1,176,418
24048,"Papineau/Papineau"," 142A","Montréal",3,10,1,1,15,95,0,2,127,290
24048,"Papineau/Papineau"," 142B","Montréal",4,9,2,2,14,103,0,1,135,259
24048,"Papineau/Papineau"," 143A","Montréal",1,4,2,4,24,69,0,1,105,266
24048,"Papineau/Papineau"," 143B","Montréal",4,5,3,4,11,73,0,2,102,238
