Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Judy Foote,Tanya Gutmanis,Stella Magalios,John Ottenheimer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 207","Grand Bank",95,0,2,15,0,112,245
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 208A","Grand Bank",139,1,11,31,1,183,307
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 208B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,1
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 209","Grand Beach",13,0,3,6,0,22,55
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 210","Point May",69,1,6,27,0,103,234
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 211","Lamaline",101,0,19,37,1,158,219
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 212","Point au Gaul",27,0,7,14,0,48,79
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 213","Lord's Cove",47,1,0,25,0,73,156
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 214","Lawn",126,1,10,30,1,168,364
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 215","Lawn",57,1,4,33,0,95,187
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 216","St. Lawrence",116,2,13,31,0,162,294
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 217","St. Lawrence",142,0,16,34,0,192,426
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 218","St. Lawrence",73,2,7,9,0,91,192
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 219","St. Lawrence",69,1,7,26,0,103,184
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 500","Mobile poll/Bureau itinérant",30,0,4,19,1,54,101
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 501","Mobile poll/Bureau itinérant",58,1,0,5,1,65,75
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 502","Mobile poll/Bureau itinérant",46,0,5,29,2,82,124
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 503","Mobile poll/Bureau itinérant",31,1,1,23,2,58,78
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 600","Kippens",43,1,17,40,0,101,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 601","Stephenville",92,1,25,71,0,189,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 602","Stephenville Crossing--Gallants",20,1,10,15,2,48,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 603","St. George's",26,1,3,11,1,42,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 604","Heatherton",11,0,2,7,0,20,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 605","Codroy",25,0,13,17,0,55,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 606","Burnt Islands",9,0,1,2,0,12,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 607","Channel-Port aux Basques",31,1,15,18,0,65,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 608","Burgeo",26,0,2,8,0,36,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 609","Ramea",17,0,3,3,0,23,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 610","Harbour Breton",20,0,2,8,0,30,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 611","St. Alban's",15,0,11,29,1,56,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 612","Terrenceville",7,0,5,8,0,20,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 613","Shoal Harbour",115,1,28,79,2,225,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 614","North West Brook",17,0,2,14,0,33,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 615","Belleoram",11,0,2,4,0,17,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 616","Bay L'Argent",8,0,1,9,0,18,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 617","Marystown",43,1,11,39,0,94,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 618","Grand Bank",90,0,3,37,0,130,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 619","St. Lawrence",34,3,2,5,0,44,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 620","Burin",45,1,10,25,0,81,
10005,"Random--Burin--St. George's/Random--Burin--St. George's",,Group 1/Groupe 1,77,8,16,147,6,254,770
10005,"Random--Burin--St. George's/Random--Burin--St. George's",,Group 2/Groupe 2,322,4,40,138,3,507,
