Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Blanchard,Sheila Brown-Eckersley,Devinder Shory,Colette Singh,Cam Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48004,"Calgary Northeast/Calgary-Nord-Est"," 65","Calgary",3,5,83,8,67,0,166,384
48004,"Calgary Northeast/Calgary-Nord-Est"," 66","Calgary",2,2,73,19,40,0,136,352
48004,"Calgary Northeast/Calgary-Nord-Est"," 67","Calgary",1,8,62,16,31,2,120,325
48004,"Calgary Northeast/Calgary-Nord-Est"," 68","Calgary",0,5,69,22,25,0,121,325
48004,"Calgary Northeast/Calgary-Nord-Est"," 69","Calgary",0,6,73,15,103,2,199,488
48004,"Calgary Northeast/Calgary-Nord-Est"," 70","Calgary",1,8,60,17,17,2,105,330
48004,"Calgary Northeast/Calgary-Nord-Est"," 71","Calgary",0,9,71,16,32,0,128,389
48004,"Calgary Northeast/Calgary-Nord-Est"," 72","Calgary",0,9,79,18,74,0,180,498
48004,"Calgary Northeast/Calgary-Nord-Est"," 73","Calgary",1,7,46,11,32,1,98,252
48004,"Calgary Northeast/Calgary-Nord-Est"," 74","Calgary",1,3,60,9,31,0,104,228
48004,"Calgary Northeast/Calgary-Nord-Est"," 75","Calgary",1,6,70,13,27,1,118,314
48004,"Calgary Northeast/Calgary-Nord-Est"," 76","Calgary",1,12,92,15,35,0,155,457
48004,"Calgary Northeast/Calgary-Nord-Est"," 77","Calgary",0,7,69,11,19,0,106,304
48004,"Calgary Northeast/Calgary-Nord-Est"," 78","Calgary",1,8,94,16,27,0,146,345
48004,"Calgary Northeast/Calgary-Nord-Est"," 79","Calgary",0,6,40,7,15,1,69,199
48004,"Calgary Northeast/Calgary-Nord-Est"," 80","Calgary",0,5,87,16,42,2,152,481
48004,"Calgary Northeast/Calgary-Nord-Est"," 81","Calgary",1,7,76,10,46,2,142,370
48004,"Calgary Northeast/Calgary-Nord-Est"," 82","Calgary",0,7,90,23,30,1,151,440
48004,"Calgary Northeast/Calgary-Nord-Est"," 83","Calgary",2,3,97,15,80,2,199,472
48004,"Calgary Northeast/Calgary-Nord-Est"," 84","Calgary",0,9,95,32,33,0,169,386
48004,"Calgary Northeast/Calgary-Nord-Est"," 85","Calgary",0,1,61,10,32,0,104,294
48004,"Calgary Northeast/Calgary-Nord-Est"," 86","Calgary",0,9,63,25,81,2,180,403
48004,"Calgary Northeast/Calgary-Nord-Est"," 87","Calgary",0,14,135,22,48,2,221,505
48004,"Calgary Northeast/Calgary-Nord-Est"," 88","Calgary",1,9,74,14,34,0,132,317
48004,"Calgary Northeast/Calgary-Nord-Est"," 89","Calgary",3,9,76,18,47,1,154,395
48004,"Calgary Northeast/Calgary-Nord-Est"," 90","Calgary",0,6,75,18,41,1,141,387
48004,"Calgary Northeast/Calgary-Nord-Est"," 91","Calgary",2,12,124,11,70,4,223,448
48004,"Calgary Northeast/Calgary-Nord-Est"," 92","Calgary",2,5,100,18,58,3,186,418
48004,"Calgary Northeast/Calgary-Nord-Est"," 93","Calgary",1,7,47,9,34,0,98,275
48004,"Calgary Northeast/Calgary-Nord-Est"," 94","Calgary",0,11,62,12,31,0,116,336
48004,"Calgary Northeast/Calgary-Nord-Est"," 95","Calgary",3,8,83,22,43,2,161,409
48004,"Calgary Northeast/Calgary-Nord-Est"," 96","Calgary",1,6,88,14,44,0,153,336
48004,"Calgary Northeast/Calgary-Nord-Est"," 97","Calgary",1,8,86,31,62,0,188,439
48004,"Calgary Northeast/Calgary-Nord-Est"," 98","Calgary",1,10,111,23,45,1,191,468
48004,"Calgary Northeast/Calgary-Nord-Est"," 99","Calgary",1,4,75,6,19,0,105,319
